Epoch,Before Cost,After Cost
"[0, 220162.91094970703, 155009.25048828125]"
"[1, 219348.8394165039, 153316.916015625]"
"[2, 218687.712890625, 153435.09963989258]"
"[3, 216265.6357421875, 152413.90173339844]"
"[4, 221301.94268798828, 155496.99645996094]"
"[5, 214551.15911865234, 150605.66680908203]"
"[6, 217123.57635498047, 152530.88623046875]"
"[7, 206439.5902709961, 144903.46084594727]"
"[8, 217298.98248291016, 151651.82318115234]"
"[9, 219052.8120727539, 155190.16149902344]"
"[10, 218811.18719482422, 153799.47192382812]"
"[11, 222649.98809814453, 154211.64556884766]"
"[12, 223372.0308227539, 157406.9603881836]"
"[13, 224661.74334716797, 156987.68731689453]"
"[14, 210117.98223876953, 147330.4337158203]"
"[15, 224961.3853149414, 159538.34344482422]"
"[16, 211039.92474365234, 147457.451171875]"
"[17, 210454.611328125, 147729.9578552246]"
"[18, 220173.7534790039, 153459.72204589844]"
"[19, 219468.37438964844, 153364.42965698242]"
"[20, 219425.30792236328, 152324.3394165039]"
"[21, 222345.22357177734, 154996.52279663086]"
"[22, 225083.76177978516, 159159.84051513672]"
"[23, 215333.2000732422, 151568.69567871094]"
"[24, 216110.12823486328, 151624.56768798828]"
"[25, 218757.93572998047, 153258.87182617188]"
"[26, 222728.87799072266, 156839.4087524414]"
"[27, 214510.1011352539, 152239.2791748047]"
"[28, 221449.25036621094, 156871.5562133789]"
"[29, 231512.43225097656, 163566.24340820312]"
"[30, 223282.52172851562, 155581.7130126953]"
"[31, 222673.93267822266, 153929.84893798828]"
"[32, 215787.3712158203, 151038.7587890625]"
"[33, 214698.97143554688, 151212.60388183594]"
"[34, 223545.85552978516, 157230.9496459961]"
"[35, 213187.38623046875, 152280.3748779297]"
"[36, 223146.9292602539, 155401.57122802734]"
"[37, 217732.1333618164, 152738.3433227539]"
"[38, 220760.81024169922, 154968.95880126953]"
"[39, 211214.93255615234, 149050.3621826172]"
"[40, 226078.27325439453, 157766.7509765625]"
"[41, 228821.86419677734, 160902.64123535156]"
"[42, 211156.19873046875, 147912.49908447266]"
"[43, 214895.38342285156, 149505.93005371094]"
"[44, 222063.46209716797, 152586.76300048828]"
"[45, 217735.34405517578, 153154.89990234375]"
"[46, 220385.73468017578, 156792.38732910156]"
"[47, 211813.35040283203, 148286.17413330078]"
"[48, 221889.37896728516, 156453.91632080078]"
"[49, 212533.6182861328, 150063.8754272461]"
"[50, 214500.7046508789, 152291.1309814453]"
"[51, 213066.2908935547, 148798.95559692383]"
"[52, 210032.94274902344, 147207.6247253418]"
"[53, 213220.7817993164, 149530.9052734375]"
"[54, 215579.60681152344, 148724.0115966797]"
"[55, 223099.72326660156, 156529.91241455078]"
"[56, 227254.06842041016, 158108.0951538086]"
"[57, 217716.49865722656, 153392.58489990234]"
"[58, 213094.8724975586, 148144.6128540039]"
"[59, 216484.9974975586, 153488.09985351562]"
"[60, 218444.91943359375, 150794.3790283203]"
"[61, 216700.6675415039, 152305.62280273438]"
"[62, 215821.07232666016, 149766.95532226562]"
"[63, 223591.45672607422, 158039.53845214844]"
"[64, 217439.6534423828, 151629.33923339844]"
"[65, 227687.6826171875, 159878.67343139648]"
"[66, 226098.57623291016, 160675.7607421875]"
"[67, 212172.60974121094, 148598.36163330078]"
"[68, 223755.53979492188, 157631.15594482422]"
"[69, 215464.4559326172, 151748.35192871094]"
"[70, 220768.66094970703, 152433.30572509766]"
"[71, 228737.20233154297, 162089.94122314453]"
"[72, 211407.8930053711, 147442.3126220703]"
"[73, 210058.5916748047, 148752.74090576172]"
"[74, 212162.66693115234, 149001.05645751953]"
"[75, 223313.48168945312, 156388.04907226562]"
"[76, 215846.0258178711, 151143.18487548828]"
"[77, 220565.14453125, 154521.74365234375]"
"[78, 216006.28143310547, 152429.48406982422]"
"[79, 227074.2283935547, 161291.0469970703]"
"[80, 212365.99969482422, 149509.10766601562]"
"[81, 226746.05072021484, 157854.0626220703]"
"[82, 208557.24395751953, 146768.78942871094]"
"[83, 219260.25744628906, 152718.18072509766]"
"[84, 224915.83166503906, 157956.99047851562]"
"[85, 213431.2651977539, 151073.67474365234]"
"[86, 216657.64129638672, 150890.16354370117]"
"[87, 215771.93280029297, 151116.59283447266]"
"[88, 229913.14666748047, 160573.14837646484]"
"[89, 225894.31561279297, 159200.1332397461]"
"[90, 213568.48022460938, 148265.88494873047]"
"[91, 220934.8631591797, 153962.6492614746]"
"[92, 217829.8373413086, 151072.80206298828]"
"[93, 223747.01782226562, 157519.17532348633]"
"[94, 213578.8857421875, 151053.65460205078]"
"[95, 232903.87371826172, 164220.84951782227]"
