*
* Haltestellen
*
$STOPPOINT:ID;Code;Name;MealPlaceCapacity;BreakFacility;Depot;DriverBase;VehicleCapacity;TotalVehicleCapacity;MaxStandingTime;VehicleChangeProhibited;UnguardedParking
4;KPL 3;KAISERPLATZ;-1;1;0;0;-1;-1;-1;1;0
5;H  721;Berg Wendepl.;-1;1;0;0;-1;-1;-1;1;0
6;KPL 1;KAISERPLATZ;-1;1;0;0;-1;-1;-1;1;0
7;MEWA2;Merk.Wassertrm;-1;1;0;0;-1;-1;-1;1;0
15;H  862;Nid.DürenerTor;-1;1;0;0;-1;-1;-1;1;0
16;H 9207A;Bahnh.DN/ZOB(S;-1;1;0;0;-1;-1;-1;1;0
24;SZRA1;Schoph.Z.R.Ack;-1;1;0;0;-1;-1;-1;1;0
25;H 9204D;Bahnh.DN/ZOB(B;-1;1;0;0;-1;-1;-1;1;0
26;H  481;Winden Üd.Weg;-1;1;0;0;-1;-1;-1;1;0
29;KPL 2;KAISERPLATZ;-1;1;0;0;-1;-1;-1;1;0
42;H 1231;Birgel Rotdorn;-1;1;0;0;-1;-1;-1;1;0
45;H 1271;Derw.Dampfmühl;-1;1;0;0;-1;-1;-1;1;0
55;JZOB6F;;-1;1;0;0;-1;-1;-1;1;0
80;H 1191;Gürz.Schlagb.;-1;1;0;0;-1;-1;-1;1;0
88;H 9203C;Bahnh.DN/ZOB(B;-1;1;0;0;-1;-1;-1;1;0
89;H  652;Drove A.Sandb.;-1;1;0;0;-1;-1;-1;1;0
90;MEKI1;Merk.Kirche;-1;1;0;0;-1;-1;-1;1;0
93;H  672;Thum Schule;-1;1;0;0;-1;-1;-1;1;0
100;MEWA1;Merk.Wassertrm;-1;1;0;0;-1;-1;-1;1;0
113;H  482;Winden Üd.Weg;-1;1;0;0;-1;-1;-1;1;0
117;H  671;Thum Schule;-1;1;0;0;-1;-1;-1;1;0
159;H 4492;Arena Kreis DN;-1;1;0;0;-1;-1;-1;1;0
168;B001;BTH Düren;-1;1;1;1;352;-1;-1;0;1
*
* Linien
*
$LINE:ID;Code;Name;LineAbiding;LineAbidingBefore;LineAbidingAfter;DutyLineAbiding;LongLine;MinBreak;NightLine;SchoolLine;LimitedDurationLine;PreferredBlockOperator
211;211;211;0;0;0;0;0;;0;0;0;0
213;213;213;0;0;0;0;0;;0;0;0;0
216;216;216;0;0;0;0;0;;0;0;0;0
221;221;221;0;0;0;0;0;;0;0;0;0
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity;MinUsage;ReliefCar;MaxBlockTime;MaxRunTime;RefuelingDuration;MaxBlockDistance;Operator;FuelCapacity;FuelConsumptionPerMeter;FuelConsumptionPerSecond;RefuelingPower;RefuelingFunctionID
0;SL;SL;200000;120;30;300;20;0;0;0;-1;0;-1;-1;0;0;0;-1
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
0;SL;SL
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
0;0
*
* Fahrzeugkapazitaeten
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
0;168;0;200
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftEarlier;MaxShiftLater;FromStopBreakFacility;ToStopBreakFacility;CODE;BlockWish;WaitingTime;RecommendedShift;Distance
8;211;5;16;000:04:55:00;000:05:29:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185338880]/30;;0;0;17839
81;211;4;5;000:06:00:00;000:06:30:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556105051729]/46;;0;0;17253
99;211;5;6;000:06:15:00;000:06:55:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187177477]/34;;0;0;16460
169;211;5;16;000:06:45:00;000:07:29:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185299566]/26;;0;0;17839
185;211;88;89;000:06:55:00;000:07:20:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556109539362]/75;;0;0;11443
211;211;88;89;000:07:10:00;000:07:40:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556108665108]/61;;0;0;11594
235;211;89;16;000:07:26:00;000:07:59:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187355047]/39;;0;0;11064
266;211;88;89;000:07:40:00;000:08:10:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556109559954]/76;;0;0;11443
279;211;89;16;000:07:46:00;000:08:19:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187355047]/40;;0;0;11064
290;211;88;5;000:07:55:00;000:08:40:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556106946710]/50;;0;0;17880
314;211;89;16;000:08:11:00;000:08:44:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185413574]/32;;0;0;11555
375;211;5;6;000:08:45:00;000:09:25:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556183889973]/7;;0;0;16951
415;211;159;6;000:09:15:00;000:09:22:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185365833]/31;;0;0;1671
481;211;4;117;000:10:00:00;000:10:30:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556104860807]/32;;0;0;13397
542;211;93;16;000:10:51:00;000:11:29:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185187986]/24;;0;0;14151
560;211;4;89;000:11:00:00;000:11:26:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556109450413]/72;;0;0;10665
585;211;89;6;000:11:26:00;000:11:55:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187434158]/42;;0;0;10176
629;211;88;5;000:11:55:00;000:12:40:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556106946710]/51;;0;0;17880
705;211;5;6;000:12:45:00;000:13:25:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556183889973]/8;;0;0;16951
714;211;88;5;000:12:55:00;000:13:40:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556107001996]/53;;0;0;17880
756;211;88;5;000:13:25:00;000:14:10:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556104559397]/27;;0;0;18031
799;211;5;16;000:13:45:00;000:14:29:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185299566]/27;;0;0;17839
847;211;5;16;000:14:15:00;000:14:59:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556185299566]/28;;0;0;17839
922;211;88;5;000:15:00:00;000:15:45:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556107001996]/54;;0;0;17880
1025;211;4;117;000:16:00:00;000:16:30:00;0;0;0;0;0;0;0;[@1.0.224349758@][1][1556106833939]/49;;0;0;13246
1043;211;5;16;000:16:15:00;000:16:59:00;0;0;0;0;0;0;0;[@1.0.224349758@][2][1556187253418]/37;;0;0;17348
