*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;0;168
1;0;168
2;0;168
3;0;168
4;0;168
5;0;168
6;0;168
7;0;168
8;0;168
9;0;168
10;0;168
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
0;VD8;168;5;0:04:30:00;0:04:55:00;4;
0;8;5;16;0:04:55:00;0:05:29:00;1;
0;L8;16;6;0:05:29:00;0:05:34:00;2;
0;L8w;6;6;0:05:34:00;0:05:45:00;9;
0;47;6;90;0:05:45:00;0:06:00:00;1;
0;L47;90;25;0:06:00:00;0:06:12:00;2;
0;L47w;25;25;0:06:12:00;0:06:25:00;9;
0;118;25;15;0:06:25:00;0:07:05:00;1;
0;118w;15;15;0:07:05:00;0:07:15:00;9;
0;224;15;6;0:07:15:00;0:07:55:00;1;
0;ZD224;6;168;0:07:55:00;0:08:07:00;3;
0;VD476;168;6;0:09:48:00;0:10:00:00;4;
0;476;6;55;0:10:00:00;0:10:41:00;1;
0;476w;55;55;0:10:41:00;0:10:44:00;9;
0;531;55;4;0:10:44:00;0:11:25:00;1;
0;L531;4;6;0:11:25:00;0:11:25:00;2;
0;L531w;6;6;0:11:25:00;0:11:30:00;9;
0;598;6;100;0:11:30:00;0:11:49:00;1;
0;L598;100;7;0:11:49:00;0:11:50:00;2;
0;L598w;7;7;0:11:50:00;0:12:04:00;9;
0;644;7;4;0:12:04:00;0:12:25:00;1;
0;L644;4;6;0:12:25:00;0:12:25:00;2;
0;L644w;6;6;0:12:25:00;0:12:30:00;9;
0;675;6;90;0:12:30:00;0:12:48:00;1;
0;ZD675;90;168;0:12:48:00;0:13:11:00;3;
0;VD897;168;6;0:14:33:00;0:14:45:00;4;
0;897;6;45;0:14:45:00;0:15:17:00;1;
0;897w;45;45;0:15:17:00;0:15:20:00;9;
0;943;45;29;0:15:20:00;0:15:40:00;1;
0;L943;29;6;0:15:40:00;0:15:41:00;2;
0;L943w;6;6;0:15:41:00;0:15:45:00;9;
0;996;6;45;0:15:45:00;0:16:04:00;1;
0;L996;45;6;0:16:04:00;0:16:13:00;2;
0;L996w;6;6;0:16:13:00;0:16:15:00;9;
0;1042;6;42;0:16:15:00;0:16:34:00;1;
0;1042w;42;42;0:16:34:00;0:16:50:00;9;
0;1105;42;29;0:16:50:00;0:17:10:00;1;
0;ZD1105;29;168;0:17:10:00;0:17:22:00;3;
0;VD1270;168;25;0:18:13:00;0:18:25:00;4;
0;1270;25;15;0:18:25:00;0:19:05:00;1;
0;1270w;15;15;0:19:05:00;0:19:15:00;9;
0;1354;15;16;0:19:15:00;0:19:53:00;1;
0;ZD1354;16;168;0:19:53:00;0:20:05:00;3;
1;VD21;168;7;0:04:56:00;0:05:19:00;4;
1;21;7;4;0:05:19:00;0:05:38:00;1;
1;L21;4;6;0:05:38:00;0:05:38:00;2;
1;L21w;6;6;0:05:38:00;0:05:45:00;9;
1;48;6;80;0:05:45:00;0:05:55:00;1;
1;48w;80;80;0:05:55:00;0:05:57:00;9;
1;68;80;29;0:05:57:00;0:06:10:00;1;
1;L68;29;7;0:06:10:00;0:06:24:00;2;
1;L68w;7;7;0:06:24:00;0:06:34:00;9;
1;141;7;4;0:06:34:00;0:06:55:00;1;
1;L141;4;6;0:06:55:00;0:06:55:00;2;
1;L141w;6;6;0:06:55:00;0:07:00:00;9;
1;198;6;24;0:07:00:00;0:07:26:00;1;
1;198w;24;24;0:07:26:00;0:07:27:00;9;
1;236;24;4;0:07:27:00;0:07:55:00;1;
1;L236;4;6;0:07:55:00;0:07:55:00;2;
1;L236w;6;6;0:07:55:00;0:08:00:00;9;
1;300;6;55;0:08:00:00;0:08:41:00;1;
1;300w;55;55;0:08:41:00;0:08:44:00;9;
1;370;55;4;0:08:44:00;0:09:25:00;1;
1;ZD370;4;168;0:09:25:00;0:09:37:00;3;
1;VD602;168;4;0:11:18:00;0:11:30:00;4;
1;602;4;26;0:11:30:00;0:11:57:00;1;
1;L602;26;113;0:11:57:00;0:11:57:00;2;
1;L602w;113;113;0:11:57:00;0:11:58:00;9;
1;632;113;6;0:11:58:00;0:12:25:00;1;
1;632w;6;6;0:12:25:00;0:12:45:00;9;
1;706;6;45;0:12:45:00;0:13:04:00;1;
1;706w;45;45;0:13:04:00;0:13:20:00;9;
1;747;45;29;0:13:20:00;0:13:40:00;1;
1;L747;29;6;0:13:40:00;0:13:41:00;2;
1;L747w;6;6;0:13:41:00;0:14:00:00;9;
1;817;6;55;0:14:00:00;0:14:41:00;1;
1;817w;55;55;0:14:41:00;0:14:44:00;9;
1;889;55;4;0:14:44:00;0:15:25:00;1;
1;L889;4;6;0:15:25:00;0:15:25:00;2;
1;L889w;6;6;0:15:25:00;0:15:30:00;9;
1;964;6;100;0:15:30:00;0:15:49:00;1;
1;L964;100;7;0:15:49:00;0:15:50:00;2;
1;L964w;7;7;0:15:50:00;0:16:04:00;9;
1;1030;7;4;0:16:04:00;0:16:25:00;1;
1;L1030;4;6;0:16:25:00;0:16:25:00;2;
1;L1030w;6;6;0:16:25:00;0:16:30:00;9;
1;1067;6;90;0:16:30:00;0:16:48:00;1;
