Epoch,Before Cost,After Cost
"[0, 417478.78125, 407912.125]"
"[1, 211906.390625, 194664.875]"
"[2, 279740.71875, 265109.03125]"
"[3, 206582.40625, 202808.375]"
"[4, 419426.1875, 408089.78125]"
Epoch,Before Cost,After Cost
"[0, 214058.46875, 198831.5625]"
"[1, 205769.53125, 188534.609375]"
"[2, 183072.890625, 181885.1875]"
"[3, 426534.8125, 412129.25]"
"[4, 381703.9375, 353037.09375]"
Epoch,Before Cost,After Cost
"[0, 191478.484375, 186104.953125]"
"[1, 205024.59375, 183425.25]"
"[2, 148285.578125, 109859.1171875]"
"[3, 434448.15625, 354498.0]"
"[4, 426669.46875, 333375.65625]"
