Epoch,Before Cost,After Cost
"[0, 20955.759765625, 25421.83984375]"
Epoch,Before Cost,After Cost
"[0, 20955.759765625, 25421.83984375]"
Epoch,Before Cost,After Cost
"[0, 20955.759765625, 20955.759765625]"
Epoch,Before Cost,After Cost
"[0, 20955.759765625, 20955.759765625]"
Epoch,Before Cost,After Cost
"[0, 20955.759765625, 21849.83984375]"
Epoch,Before Cost,After Cost
"[0, 20955.759765625, 20955.759765625]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18587.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 19464.919921875]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 19464.919921875]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 19464.919921875]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18587.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 19464.919921875]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 22931.919921875]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 18465.83984375, 18465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 24931.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 21464.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 21464.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20587.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20587.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20587.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 21464.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 24931.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 21464.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20587.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20587.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20587.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 21464.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 24931.919921875]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
Epoch,Before Cost,After Cost
"[0, 20465.83984375, 20465.83984375]"
