Epoch,Before Cost,After Cost
"[0, 178561.4375, 108690.1953125]"
"[1, 247889.875, 176186.046875]"
"[2, 266932.875, 154474.671875]"
"[3, 126209.6796875, 83932.0546875]"
"[4, 291298.84375, 174696.421875]"
"[5, 342261.34375, 223250.375]"
"[6, 220454.421875, 115605.9453125]"
"[7, 211390.8125, 142586.1875]"
"[8, 224923.671875, 167831.71875]"
"[9, 185415.21875, 97147.6796875]"
"[10, 183525.5625, 141576.859375]"
"[11, 139508.84375, 91619.265625]"
"[12, 133661.59375, 82224.3984375]"
"[13, 193913.453125, 116589.15625]"
"[14, 117240.6953125, 82075.90625]"
"[15, 176169.859375, 111932.765625]"
"[16, 163114.96875, 113790.75]"
"[17, 255353.078125, 198871.53125]"
"[18, 111588.25, 67047.0]"
"[19, 245818.484375, 168510.71875]"
"[20, 322391.1875, 223905.796875]"
"[21, 226775.28125, 120089.0078125]"
"[22, 180488.578125, 97646.84375]"
"[23, 168751.484375, 108688.59375]"
"[24, 322101.84375, 187662.734375]"
"[25, 148266.09375, 100619.296875]"
"[26, 213232.96875, 128677.71875]"
"[27, 150234.078125, 90758.359375]"
"[28, 277468.9375, 206337.859375]"
"[29, 230463.8125, 118123.203125]"
"[30, 181291.296875, 111978.578125]"
"[31, 240431.078125, 168138.046875]"
"[32, 239110.875, 152862.734375]"
"[33, 248473.984375, 182994.890625]"
"[34, 120432.7421875, 71938.34375]"
"[35, 183670.75, 107557.5234375]"
"[36, 251352.75, 179209.546875]"
"[37, 176496.25, 101360.328125]"
"[38, 316117.15625, 223508.515625]"
"[39, 188007.515625, 133284.40625]"
"[40, 284457.1875, 240270.0625]"
"[41, 226270.203125, 153783.578125]"
"[42, 185383.796875, 119954.578125]"
"[43, 137226.0625, 78289.1171875]"
"[44, 195191.125, 128227.796875]"
"[45, 207296.796875, 133206.625]"
"[46, 149822.203125, 91547.6875]"
"[47, 211561.5, 144301.78125]"
"[48, 301482.71875, 159743.015625]"
"[49, 257941.296875, 167557.953125]"
"[50, 135295.109375, 87281.15625]"
"[51, 245579.453125, 145902.78125]"
"[52, 325862.40625, 225941.640625]"
"[53, 269921.78125, 174889.828125]"
"[54, 249462.90625, 156698.625]"
"[55, 239945.828125, 130522.9296875]"
"[56, 278248.1875, 162324.8125]"
"[57, 211210.25, 137145.546875]"
"[58, 264856.0625, 168776.625]"
"[59, 178482.53125, 115875.9140625]"
"[60, 236302.203125, 155568.625]"
"[61, 279502.1875, 224170.15625]"
"[62, 166271.375, 91754.578125]"
"[63, 167719.28125, 115983.0625]"
"[64, 185941.859375, 121508.3046875]"
"[65, 197517.546875, 92553.203125]"
"[66, 287086.65625, 207180.828125]"
"[67, 264945.0625, 164720.21875]"
"[68, 235274.0, 179456.6875]"
"[69, 219730.546875, 142735.5625]"
