Epoch,Before Cost,After Cost
"[0, 276467.5625, 251180.78125]"
Epoch,Before Cost,After Cost
"[0, 339699.75, 238230.265625]"
Epoch,Before Cost,After Cost
"[0, 348691.5, 325790.125]"
Epoch,Before Cost,After Cost
"[0, 273078.625, 268522.15625]"
Epoch,Before Cost,After Cost
"[0, 156565.484375, 149991.359375]"
Epoch,Before Cost,After Cost
"[0, 203701.453125, 197136.078125]"
Epoch,Before Cost,After Cost
"[0, 247614.328125, 241219.34375]"
Epoch,Before Cost,After Cost
"[0, 203701.453125, 198023.25]"
Epoch,Before Cost,After Cost
"[0, 348691.5, 333279.5625]"
Epoch,Before Cost,After Cost
"[0, 247614.328125, 247436.578125]"
Epoch,Before Cost,After Cost
"[0, 339699.75, 344260.03125]"
Epoch,Before Cost,After Cost
"[0, 156565.484375, 156565.484375]"
Epoch,Before Cost,After Cost
"[0, 273078.625, 273078.625]"
Epoch,Before Cost,After Cost
"[0, 156565.484375, 150571.75]"
Epoch,Before Cost,After Cost
"[0, 247614.328125, 239088.0]"
Epoch,Before Cost,After Cost
"[0, 273078.625, 256098.328125]"
Epoch,Before Cost,After Cost
"[0, 348691.5, 344226.6875]"
Epoch,Before Cost,After Cost
"[0, 348691.5, 348547.59375]"
Epoch,Before Cost,After Cost
"[0, 156565.484375, 155985.25]"
Epoch,Before Cost,After Cost
"[0, 339699.75, 334200.78125]"
Epoch,Before Cost,After Cost
"[0, 348691.5, 339616.875]"
Epoch,Before Cost,After Cost
"[0, 280835.78125, 277506.03125]"
Epoch,Before Cost,After Cost
"[0, 339699.75, 320252.0625]"
Epoch,Before Cost,After Cost
"[0, 469246.375, 456898.8125]"
Epoch,Before Cost,After Cost
"[0, 348691.5, 348691.5]"
Epoch,Before Cost,After Cost
"[0, 156565.484375, 155693.65625]"
Epoch,Before Cost,After Cost
"[0, 247614.328125, 244061.6875]"
Epoch,Before Cost,After Cost
"[0, 203701.453125, 198377.90625]"
Epoch,Before Cost,After Cost
"[0, 247614.328125, 247614.328125]"
Epoch,Before Cost,After Cost
"[0, 156565.484375, 151606.90625]"
Epoch,Before Cost,After Cost
"[0, 219931520.0, 219931520.0]"
Epoch,Before Cost,After Cost
"[0, 200353664.0, 198777728.0]"
Epoch,Before Cost,After Cost
"[0, 31281200.0, 31281200.0]"
Epoch,Before Cost,After Cost
"[0, 39530960.0, 39530960.0]"
Epoch,Before Cost,After Cost
"[0, 47039120.0, 47039120.0]"
Epoch,Before Cost,After Cost
"[0, 33294800.0, 33294800.0]"
Epoch,Before Cost,After Cost
"[0, 30756560.0, 30756560.0]"
Epoch,Before Cost,After Cost
"[0, 29618480.0, 29618480.0]"
