*
* Diensttypen
*
$DUTY:DutyID;DutyType
0;day-Tripper
23;day-Tripper
28;day-Tripper
38;day-Tripper
45;day-Tripper
12582;day-Block20
12709;day-Split
14767;day-Block20
15558;day-Block30
15966;day-Block30
16103;day-Block30
16536;day-Split
17148;day-Tripper
17353;day-Split
17899;day-Block30
18453;day-Split
19129;day-Block30
19401;day-Block20
19527;day-Split
19873;day-Tripper
20436;day-Split
20503;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
0;-3;-1;-1;168;0:04:20:00;0:04:30:00;5;
0;0;-1;168;5;0:04:30:00;0:04:55:00;4;
0;0;8;5;16;0:04:55:00;0:05:29:00;1;
0;0;-1;16;6;0:05:29:00;0:05:34:00;2;
0;0;-1;6;6;0:05:34:00;0:05:45:00;9;
0;0;47;6;90;0:05:45:00;0:06:00:00;1;
0;0;-1;90;25;0:06:00:00;0:06:12:00;2;
0;0;-1;25;25;0:06:12:00;0:06:25:00;9;
0;0;118;25;15;0:06:25:00;0:07:05:00;1;
0;0;-1;15;15;0:07:05:00;0:07:15:00;9;
0;0;224;15;6;0:07:15:00;0:07:55:00;1;
0;0;-1;6;168;0:07:55:00;0:08:07:00;3;
0;-3;-1;168;-1;0:08:07:00;0:08:17:00;6;
23;-3;-1;-1;168;0:16:01:00;0:16:11:00;5;
23;9;-1;168;7;0:16:11:00;0:16:34:00;4;
23;9;1077;7;4;0:16:34:00;0:16:55:00;1;
23;9;-1;4;6;0:16:55:00;0:16:55:00;2;
23;9;-1;6;6;0:16:55:00;0:17:00:00;9;
23;9;1129;6;24;0:17:00:00;0:17:26:00;1;
23;9;-1;24;24;0:17:26:00;0:17:27:00;9;
23;9;1171;24;4;0:17:27:00;0:17:55:00;1;
23;9;-1;4;4;0:17:55:00;0:18:00:00;9;
23;9;1242;4;89;0:18:00:00;0:18:26:00;1;
23;9;-1;89;89;0:18:26:00;0:18:41:00;9;
23;9;1301;89;16;0:18:41:00;0:19:09:00;1;
23;9;-1;16;168;0:19:09:00;0:19:21:00;3;
23;-3;-1;168;-1;0:19:21:00;0:19:31:00;6;
28;-3;-1;-1;168;0:17:03:00;0:17:13:00;5;
28;2;-1;168;88;0:17:13:00;0:17:25:00;4;
28;2;1166;88;5;0:17:25:00;0:18:10:00;1;
28;2;-1;5;5;0:18:10:00;0:18:15:00;9;
28;2;1261;5;16;0:18:15:00;0:18:59:00;1;
28;2;-1;16;168;0:18:59:00;0:19:11:00;3;
28;-3;-1;168;-1;0:19:11:00;0:19:21:00;6;
38;-3;-1;-1;168;0:05:53:00;0:06:03:00;5;
38;8;-1;168;6;0:06:03:00;0:06:15:00;4;
38;8;98;6;80;0:06:15:00;0:06:27:00;1;
38;8;123;80;29;0:06:27:00;0:06:40:00;1;
38;8;-1;29;6;0:06:40:00;0:06:41:00;2;
38;8;-1;6;6;0:06:41:00;0:06:45:00;9;
38;8;170;6;45;0:06:45:00;0:07:04:00;1;
38;8;-1;45;45;0:07:04:00;0:07:20:00;9;
38;8;230;45;29;0:07:20:00;0:07:40:00;1;
38;8;-1;29;6;0:07:40:00;0:07:41:00;2;
38;8;-1;6;6;0:07:41:00;0:07:45:00;9;
38;8;278;6;45;0:07:45:00;0:08:17:00;1;
38;8;-1;45;7;0:08:17:00;0:08:30:00;2;
38;8;-1;7;7;0:08:30:00;0:08:34:00;9;
38;8;356;7;4;0:08:34:00;0:08:55:00;1;
38;8;-1;4;6;0:08:55:00;0:08:55:00;2;
38;8;-1;6;6;0:08:55:00;0:09:00:00;9;
38;8;395;6;24;0:09:00:00;0:09:26:00;1;
38;8;-1;24;24;0:09:26:00;0:09:27:00;9;
38;8;424;24;4;0:09:27:00;0:09:55:00;1;
38;8;-1;4;4;0:09:55:00;0:10:00:00;9;
38;-1;-1;4;168;0:10:00:00;0:10:05:00;7;
38;-3;-1;168;-1;0:10:05:00;0:10:15:00;6;
45;-3;-1;-1;168;0:07:08:00;0:07:18:00;5;
45;10;-1;168;4;0:07:18:00;0:07:30:00;4;
45;10;250;4;15;0:07:30:00;0:08:10:00;1;
45;10;-1;15;15;0:08:10:00;0:08:15:00;9;
45;10;324;15;6;0:08:15:00;0:08:55:00;1;
45;10;-1;6;113;0:08:55:00;0:09:13:00;2;
45;10;-1;113;113;0:09:13:00;0:09:28:00;9;
45;10;427;113;16;0:09:28:00;0:09:59:00;1;
45;10;-1;16;45;0:09:59:00;0:10:09:00;2;
45;10;-1;45;45;0:10:09:00;0:10:20:00;9;
45;10;500;45;29;0:10:20:00;0:10:40:00;1;
45;10;-1;29;6;0:10:40:00;0:10:41:00;2;
45;10;-1;6;6;0:10:41:00;0:10:45:00;9;
45;10;537;6;45;0:10:45:00;0:11:04:00;1;
45;10;-1;45;6;0:11:04:00;0:11:13:00;2;
45;10;-1;6;6;0:11:13:00;0:11:15:00;9;
45;-1;-1;6;168;0:11:15:00;0:11:20:00;7;
45;-3;-1;168;-1;0:11:20:00;0:11:30:00;6;
12582;-3;-1;-1;4;0:09:45:00;0:09:55:00;5;
12582;-1;-1;4;4;0:09:55:00;0:10:00:00;7;
12582;8;481;4;117;0:10:00:00;0:10:30:00;1;
12582;8;-1;117;93;0:10:30:00;0:10:30:00;2;
12582;8;-1;93;93;0:10:30:00;0:10:51:00;9;
12582;8;542;93;16;0:10:51:00;0:11:29:00;1;
12582;8;-1;16;168;0:11:29:00;0:11:41:00;3;
12582;-1;P;-1;-1;0:11:41:00;0:12:13:00;8;
12582;4;-1;168;25;0:12:13:00;0:12:25:00;4;
12582;4;664;25;15;0:12:25:00;0:13:10:00;1;
12582;4;-1;15;15;0:13:10:00;0:13:15:00;9;
12582;4;742;15;6;0:13:15:00;0:13:55:00;1;
12582;4;-1;6;7;0:13:55:00;0:14:10:00;2;
12582;4;-1;7;7;0:14:10:00;0:14:34:00;9;
12582;4;880;7;4;0:14:34:00;0:14:55:00;1;
12582;4;-1;4;6;0:14:55:00;0:14:55:00;2;
12582;4;-1;6;6;0:14:55:00;0:15:00:00;9;
12582;4;917;6;24;0:15:00:00;0:15:26:00;1;
12582;4;-1;24;24;0:15:26:00;0:15:27:00;9;
12582;4;952;24;4;0:15:27:00;0:15:55:00;1;
12582;4;-1;4;168;0:15:55:00;0:16:07:00;3;
12582;-1;P;-1;-1;0:16:07:00;0:16:43:00;8;
12582;4;-1;168;25;0:16:43:00;0:16:55:00;4;
12582;4;1115;25;15;0:16:55:00;0:17:40:00;1;
12582;4;-1;15;15;0:17:40:00;0:17:45:00;9;
12582;4;1209;15;6;0:17:45:00;0:18:25:00;1;
12582;4;-1;6;6;0:18:25:00;0:18:30:00;9;
12582;4;1281;6;90;0:18:30:00;0:18:48:00;1;
12582;4;-1;90;168;0:18:48:00;0:19:11:00;3;
12582;-3;-1;168;-1;0:19:11:00;0:19:21:00;6;
12709;-3;-1;-1;168;0:05:08:00;0:05:18:00;5;
12709;3;-1;168;6;0:05:18:00;0:05:30:00;4;
12709;3;30;6;24;0:05:30:00;0:05:52:00;1;
12709;3;-1;24;24;0:05:52:00;0:05:57:00;9;
12709;3;67;24;4;0:05:57:00;0:06:25:00;1;
12709;3;-1;4;6;0:06:25:00;0:06:25:00;2;
12709;3;-1;6;6;0:06:25:00;0:06:30:00;9;
12709;3;131;6;90;0:06:30:00;0:06:48:00;1;
12709;3;-1;90;88;0:06:48:00;0:07:00:00;2;
12709;3;-1;88;88;0:07:00:00;0:07:10:00;9;
12709;3;211;88;89;0:07:10:00;0:07:40:00;1;
12709;3;-1;89;89;0:07:40:00;0:07:46:00;9;
12709;3;279;89;16;0:07:46:00;0:08:19:00;1;
12709;3;-1;16;6;0:08:19:00;0:08:24:00;2;
12709;3;-1;6;6;0:08:24:00;0:08:30:00;9;
12709;3;348;6;90;0:08:30:00;0:08:48:00;1;
12709;3;-1;90;45;0:08:48:00;0:09:00:00;2;
12709;3;-1;45;45;0:09:00:00;0:09:20:00;9;
12709;3;419;45;29;0:09:20:00;0:09:40:00;1;
12709;3;-1;29;6;0:09:40:00;0:09:41:00;2;
12709;3;-1;6;6;0:09:41:00;0:09:45:00;9;
12709;3;458;6;45;0:09:45:00;0:10:17:00;1;
12709;3;-1;45;7;0:10:17:00;0:10:30:00;2;
12709;3;-1;7;7;0:10:30:00;0:10:34:00;9;
12709;3;523;7;4;0:10:34:00;0:10:55:00;1;
12709;3;-1;4;168;0:10:55:00;0:11:07:00;3;
12709;-1;P;-1;-1;0:11:07:00;0:12:43:00;8;
12709;8;-1;168;88;0:12:43:00;0:12:55:00;4;
12709;8;714;88;5;0:12:55:00;0:13:40:00;1;
12709;8;-1;5;5;0:13:40:00;0:13:45:00;9;
12709;8;799;5;16;0:13:45:00;0:14:29:00;1;
12709;8;-1;16;168;0:14:29:00;0:14:41:00;3;
12709;-3;-1;168;-1;0:14:41:00;0:14:51:00;6;
14767;-3;-1;-1;6;0:11:00:00;0:11:10:00;5;
14767;-1;-1;6;6;0:11:10:00;0:11:15:00;7;
14767;10;577;6;42;0:11:15:00;0:11:34:00;1;
14767;10;-1;42;88;0:11:34:00;0:11:46:00;2;
14767;10;-1;88;88;0:11:46:00;0:11:55:00;9;
14767;10;629;88;5;0:11:55:00;0:12:40:00;1;
14767;10;-1;5;5;0:12:40:00;0:12:45:00;9;
14767;10;705;5;6;0:12:45:00;0:13:25:00;1;
14767;10;-1;6;6;0:13:25:00;0:13:45:00;9;
14767;10;802;6;45;0:13:45:00;0:14:04:00;1;
14767;10;-1;45;45;0:14:04:00;0:14:20:00;9;
14767;10;853;45;29;0:14:20:00;0:14:40:00;1;
14767;10;-1;29;168;0:14:40:00;0:14:52:00;3;
14767;-1;P;-1;-1;0:14:52:00;0:15:13:00;8;
14767;8;-1;168;25;0:15:13:00;0:15:25:00;4;
14767;8;948;25;26;0:15:25:00;0:15:57:00;1;
14767;8;-1;26;113;0:15:57:00;0:15:57:00;2;
14767;8;-1;113;113;0:15:57:00;0:15:58:00;9;
14767;8;1013;113;6;0:15:58:00;0:16:25:00;1;
14767;8;-1;6;168;0:16:25:00;0:16:37:00;3;
14767;-1;P;-1;-1;0:16:37:00;0:17:03:00;8;
14767;8;-1;168;6;0:17:03:00;0:17:15:00;4;
14767;8;1152;6;42;0:17:15:00;0:17:34:00;1;
14767;8;-1;42;42;0:17:34:00;0:17:50:00;9;
14767;8;1215;42;29;0:17:50:00;0:18:10:00;1;
14767;8;-1;29;45;0:18:10:00;0:18:19:00;2;
14767;8;-1;45;45;0:18:19:00;0:18:20:00;9;
14767;8;1267;45;29;0:18:20:00;0:18:40:00;1;
14767;8;-1;29;6;0:18:40:00;0:18:41:00;2;
14767;8;-1;6;6;0:18:41:00;0:18:45:00;9;
14767;8;1312;6;45;0:18:45:00;0:19:17:00;1;
14767;8;-1;45;168;0:19:17:00;0:19:35:00;3;
14767;-3;-1;168;-1;0:19:35:00;0:19:45:00;6;
15558;-3;-1;-1;168;0:15:38:00;0:15:48:00;5;
15558;10;-1;168;4;0:15:48:00;0:16:00:00;4;
15558;10;1025;4;117;0:16:00:00;0:16:30:00;1;
15558;10;-1;117;93;0:16:30:00;0:16:30:00;2;
15558;10;-1;93;93;0:16:30:00;0:16:51:00;9;
15558;10;1107;93;6;0:16:51:00;0:17:25:00;1;
15558;10;-1;6;6;0:17:25:00;0:17:30:00;9;
15558;10;1182;6;100;0:17:30:00;0:17:49:00;1;
15558;10;-1;100;7;0:17:49:00;0:17:50:00;2;
15558;10;-1;7;7;0:17:50:00;0:18:04:00;9;
15558;10;1245;7;4;0:18:04:00;0:18:25:00;1;
15558;10;-1;4;88;0:18:25:00;0:18:30:00;2;
15558;10;-1;88;88;0:18:30:00;0:18:40:00;9;
15558;10;1299;88;5;0:18:40:00;0:19:20:00;1;
15558;10;-1;5;5;0:19:20:00;0:19:25:00;9;
15558;10;1364;5;16;0:19:25:00;0:19:58:00;1;
15558;10;-1;16;168;0:19:58:00;0:20:10:00;3;
15558;-1;P;-1;-1;0:20:10:00;0:21:18:00;8;
15558;2;-1;168;6;0:21:18:00;0:21:30:00;4;
15558;2;1434;6;24;0:21:30:00;0:21:52:00;1;
15558;2;-1;24;24;0:21:52:00;0:21:59:00;9;
15558;2;1446;24;4;0:21:59:00;0:22:25:00;1;
15558;2;-1;4;6;0:22:25:00;0:22:25:00;2;
15558;2;-1;6;6;0:22:25:00;0:22:30:00;9;
15558;2;1453;6;100;0:22:30:00;0:22:46:00;1;
15558;2;-1;100;168;0:22:46:00;0:23:11:00;3;
15558;-3;-1;168;-1;0:23:11:00;0:23:21:00;6;
15966;-3;-1;-1;168;0:13:03:00;0:13:13:00;5;
15966;7;-1;168;88;0:13:13:00;0:13:25:00;4;
15966;7;756;88;5;0:13:25:00;0:14:10:00;1;
15966;7;-1;5;5;0:14:10:00;0:14:15:00;9;
15966;7;847;5;16;0:14:15:00;0:14:59:00;1;
15966;7;-1;16;168;0:14:59:00;0:15:11:00;3;
15966;-1;P;-1;-1;0:15:11:00;0:16:13:00;8;
15966;5;-1;168;88;0:16:13:00;0:16:25:00;4;
15966;5;1055;88;5;0:16:25:00;0:17:10:00;1;
15966;5;-1;5;5;0:17:10:00;0:17:15:00;9;
15966;5;1153;5;6;0:17:15:00;0:17:55:00;1;
15966;5;-1;6;6;0:17:55:00;0:18:00:00;9;
15966;5;1237;6;55;0:18:00:00;0:18:41:00;1;
15966;5;-1;55;55;0:18:41:00;0:18:44:00;9;
15966;5;1304;55;4;0:18:44:00;0:19:25:00;1;
15966;5;-1;4;6;0:19:25:00;0:19:25:00;2;
15966;5;-1;6;6;0:19:25:00;0:19:30:00;9;
15966;5;1373;6;100;0:19:30:00;0:19:49:00;1;
15966;5;-1;100;7;0:19:49:00;0:19:50:00;2;
15966;5;-1;7;7;0:19:50:00;0:20:06:00;9;
15966;5;1399;7;4;0:20:06:00;0:20:25:00;1;
15966;5;-1;4;6;0:20:25:00;0:20:25:00;2;
15966;5;-1;6;6;0:20:25:00;0:20:30:00;9;
15966;5;1406;6;24;0:20:30:00;0:20:52:00;1;
15966;5;-1;24;24;0:20:52:00;0:20:59:00;9;
15966;5;1424;24;4;0:20:59:00;0:21:25:00;1;
15966;5;-1;4;6;0:21:25:00;0:21:25:00;2;
15966;5;-1;6;6;0:21:25:00;0:21:30:00;9;
15966;5;1437;6;80;0:21:30:00;0:21:40:00;1;
15966;5;1441;80;29;0:21:40:00;0:21:50:00;1;
15966;5;-1;29;168;0:21:50:00;0:22:02:00;3;
15966;-3;-1;168;-1;0:22:02:00;0:22:12:00;6;
16103;-3;-1;-1;168;0:06:25:00;0:06:35:00;5;
16103;9;-1;168;42;0:06:35:00;0:06:50:00;4;
16103;9;178;42;29;0:06:50:00;0:07:10:00;1;
16103;9;-1;29;25;0:07:10:00;0:07:14:00;2;
16103;9;-1;25;25;0:07:14:00;0:07:25:00;9;
16103;9;234;25;26;0:07:25:00;0:07:57:00;1;
16103;9;-1;26;113;0:07:57:00;0:07:57:00;2;
16103;9;-1;113;113;0:07:57:00;0:07:58:00;9;
16103;9;294;113;16;0:07:58:00;0:08:29:00;1;
16103;9;-1;16;168;0:08:29:00;0:08:41:00;3;
16103;-1;P;-1;-1;0:08:41:00;0:09:48:00;8;
16103;0;-1;168;6;0:09:48:00;0:10:00:00;4;
16103;0;476;6;55;0:10:00:00;0:10:41:00;1;
16103;0;-1;55;55;0:10:41:00;0:10:44:00;9;
16103;0;531;55;4;0:10:44:00;0:11:25:00;1;
16103;0;-1;4;6;0:11:25:00;0:11:25:00;2;
16103;0;-1;6;6;0:11:25:00;0:11:30:00;9;
16103;0;598;6;100;0:11:30:00;0:11:49:00;1;
16103;0;-1;100;7;0:11:49:00;0:11:50:00;2;
16103;0;-1;7;7;0:11:50:00;0:12:04:00;9;
16103;0;644;7;4;0:12:04:00;0:12:25:00;1;
16103;0;-1;4;6;0:12:25:00;0:12:25:00;2;
16103;0;-1;6;6;0:12:25:00;0:12:30:00;9;
16103;0;675;6;90;0:12:30:00;0:12:48:00;1;
16103;0;-1;90;168;0:12:48:00;0:13:11:00;3;
16103;-3;-1;168;-1;0:13:11:00;0:13:21:00;6;
16536;-3;-1;-1;168;0:05:38:00;0:05:48:00;5;
16536;6;-1;168;6;0:05:48:00;0:06:00:00;4;
16536;6;75;6;55;0:06:00:00;0:06:41:00;1;
16536;6;-1;55;55;0:06:41:00;0:06:44:00;9;
16536;6;159;55;4;0:06:44:00;0:07:25:00;1;
16536;6;-1;4;6;0:07:25:00;0:07:25:00;2;
16536;6;-1;6;6;0:07:25:00;0:07:30:00;9;
16536;6;247;6;100;0:07:30:00;0:07:49:00;1;
16536;6;-1;100;7;0:07:49:00;0:07:50:00;2;
16536;6;-1;7;7;0:07:50:00;0:08:04:00;9;
16536;6;308;7;4;0:08:04:00;0:08:25:00;1;
16536;6;-1;4;4;0:08:25:00;0:08:30:00;9;
16536;6;350;4;26;0:08:30:00;0:08:57:00;1;
