* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;1;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;2;3;000:07:09:00;000:08:47:00;0;0;1;0;0
1;1;2;3;000:08:29:00;000:10:07:00;0;0;1;0;0
2;1;2;3;000:09:49:00;000:11:11:00;0;0;1;0;0
3;1;2;3;000:11:49:00;000:13:11:00;0;0;1;0;0
4;1;2;3;000:13:49:00;000:15:14:00;0;0;1;0;0
5;1;2;3;000:15:09:00;000:16:34:00;0;0;1;0;0
6;1;2;3;000:16:29:00;000:17:54:00;0;0;1;0;0
7;1;2;3;000:17:49:00;000:19:14:00;0;0;1;0;0
8;1;2;3;000:19:09:00;000:20:25:00;0;0;1;0;0
9;1;2;3;000:23:09:00;001:00:25:00;0;0;1;0;0
10;1;3;2;000:07:03:00;000:08:41:00;0;0;1;0;0
11;1;3;2;000:08:23:00;000:10:01:00;0;0;1;0;0
12;1;3;2;000:09:43:00;000:11:05:00;0;0;1;0;0
13;1;3;2;000:11:43:00;000:13:05:00;0;0;1;0;0
14;1;3;2;000:13:43:00;000:15:08:00;0;0;1;0;0
15;1;3;2;000:15:03:00;000:16:28:00;0;0;1;0;0
16;1;3;2;000:16:23:00;000:17:48:00;0;0;1;0;0
