* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;120;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:39:00;000:07:44:00;0;0;1;0;0
1;1;4;5;000:07:59:00;000:09:04:00;0;0;1;0;0
2;1;4;5;000:09:19:00;000:10:13:00;0;0;1;0;0
3;1;4;5;000:11:19:00;000:12:13:00;0;0;1;0;0
4;1;4;5;000:13:19:00;000:14:16:00;0;0;1;0;0
5;1;4;5;000:14:39:00;000:15:36:00;0;0;1;0;0
6;1;4;5;000:15:59:00;000:16:56:00;0;0;1;0;0
7;1;4;5;000:17:19:00;000:18:16:00;0;0;1;0;0
8;1;4;5;000:18:39:00;000:19:36:00;0;0;1;0;0
9;1;4;5;000:19:59:00;000:20:49:00;0;0;1;0;0
10;1;5;4;000:06:22:00;000:07:27:00;0;0;1;0;0
11;1;5;4;000:07:42:00;000:08:47:00;0;0;1;0;0
12;1;5;4;000:09:02:00;000:09:56:00;0;0;1;0;0
13;1;5;4;000:11:02:00;000:11:56:00;0;0;1;0;0
14;1;5;4;000:13:02:00;000:13:59:00;0;0;1;0;0
15;1;5;4;000:14:22:00;000:15:19:00;0;0;1;0;0
16;1;5;4;000:15:42:00;000:16:39:00;0;0;1;0;0
17;1;5;4;000:17:02:00;000:17:59:00;0;0;1;0;0
18;1;5;4;000:18:22:00;000:19:19:00;0;0;1;0;0
19;1;5;4;000:19:42:00;000:20:32:00;0;0;1;0;0
20;2;4;6;000:06:24:00;000:07:56:00;0;0;1;0;0
21;2;4;6;000:07:44:00;000:09:16:00;0;0;1;0;0
22;2;4;6;000:09:04:00;000:10:21:00;0;0;1;0;0
23;2;4;6;000:11:04:00;000:12:21:00;0;0;1;0;0
24;2;4;6;000:13:04:00;000:14:24:00;0;0;1;0;0
25;2;4;6;000:14:24:00;000:15:44:00;0;0;1;0;0
26;2;4;6;000:15:44:00;000:17:04:00;0;0;1;0;0
27;2;4;6;000:17:04:00;000:18:24:00;0;0;1;0;0
28;2;4;6;000:18:24:00;000:19:44:00;0;0;1;0;0
29;2;4;6;000:19:44:00;000:20:55:00;0;0;1;0;0
30;2;6;4;000:07:11:00;000:08:43:00;0;0;1;0;0
31;2;6;4;000:08:31:00;000:10:03:00;0;0;1;0;0
32;2;6;4;000:09:51:00;000:11:08:00;0;0;1;0;0
33;2;6;4;000:11:51:00;000:13:08:00;0;0;1;0;0
34;2;6;4;000:13:51:00;000:15:11:00;0;0;1;0;0
35;2;6;4;000:15:11:00;000:16:31:00;0;0;1;0;0
36;2;6;4;000:16:31:00;000:17:51:00;0;0;1;0;0
37;2;6;4;000:17:51:00;000:19:11:00;0;0;1;0;0
38;2;6;4;000:19:11:00;000:20:22:00;0;0;1;0;0
39;2;6;4;000:23:11:00;001:00:22:00;0;0;1;0;0
40;3;4;7;000:06:00:00;000:06:35:00;0;0;1;0;0
41;3;4;7;000:07:20:00;000:07:55:00;0;0;1;0;0
42;3;4;7;000:08:40:00;000:09:15:00;0;0;1;0;0
43;3;4;7;000:10:00:00;000:10:29:00;0;0;1;0;0
44;3;4;7;000:12:00:00;000:12:29:00;0;0;1;0;0
45;3;4;7;000:14:00:00;000:14:30:00;0;0;1;0;0
46;3;4;7;000:15:20:00;000:15:50:00;0;0;1;0;0
47;3;4;7;000:16:40:00;000:17:10:00;0;0;1;0;0
48;3;4;7;000:18:00:00;000:18:30:00;0;0;1;0;0
49;3;4;7;000:19:20:00;000:19:47:00;0;0;1;0;0
50;3;7;4;000:07:10:00;000:07:45:00;0;0;1;0;0
51;3;7;4;000:08:30:00;000:09:05:00;0;0;1;0;0
52;3;7;4;000:09:50:00;000:10:19:00;0;0;1;0;0
53;3;7;4;000:11:50:00;000:12:19:00;0;0;1;0;0
54;3;7;4;000:13:50:00;000:14:20:00;0;0;1;0;0
55;3;7;4;000:15:10:00;000:15:40:00;0;0;1;0;0
56;3;7;4;000:16:30:00;000:17:00:00;0;0;1;0;0
57;3;7;4;000:17:50:00;000:18:20:00;0;0;1;0;0
58;3;7;4;000:19:10:00;000:19:37:00;0;0;1;0;0
59;3;7;4;000:23:10:00;000:23:37:00;0;0;1;0;0
60;4;5;6;000:06:21:00;000:07:21:00;0;0;1;0;0
61;4;5;6;000:07:41:00;000:08:41:00;0;0;1;0;0
62;4;5;6;000:09:01:00;000:09:51:00;0;0;1;0;0
63;4;5;6;000:11:01:00;000:11:51:00;0;0;1;0;0
64;4;5;6;000:13:01:00;000:13:53:00;0;0;1;0;0
65;4;5;6;000:14:21:00;000:15:13:00;0;0;1;0;0
66;4;5;6;000:15:41:00;000:16:33:00;0;0;1;0;0
67;4;5;6;000:17:01:00;000:17:53:00;0;0;1;0;0
68;4;5;6;000:18:21:00;000:19:13:00;0;0;1;0;0
69;4;5;6;000:19:41:00;000:20:27:00;0;0;1;0;0
70;4;6;5;000:06:16:00;000:07:16:00;0;0;1;0;0
71;4;6;5;000:07:36:00;000:08:36:00;0;0;1;0;0
72;4;6;5;000:08:56:00;000:09:56:00;0;0;1;0;0
73;4;6;5;000:10:16:00;000:11:06:00;0;0;1;0;0
74;4;6;5;000:12:16:00;000:13:06:00;0;0;1;0;0
75;4;6;5;000:14:16:00;000:15:08:00;0;0;1;0;0
76;4;6;5;000:15:36:00;000:16:28:00;0;0;1;0;0
77;4;6;5;000:16:56:00;000:17:48:00;0;0;1;0;0
78;4;6;5;000:18:16:00;000:19:08:00;0;0;1;0;0
79;4;6;5;000:19:36:00;000:20:22:00;0;0;1;0;0
80;5;6;8;000:07:03:00;000:08:48:00;0;0;1;0;0
81;5;6;8;000:08:23:00;000:10:08:00;0;0;1;0;0
82;5;6;8;000:09:43:00;000:11:11:00;0;0;1;0;0
83;5;6;8;000:11:43:00;000:13:11:00;0;0;1;0;0
84;5;6;8;000:13:43:00;000:15:15:00;0;0;1;0;0
85;5;6;8;000:15:03:00;000:16:35:00;0;0;1;0;0
86;5;6;8;000:16:23:00;000:17:55:00;0;0;1;0;0
87;5;6;8;000:17:43:00;000:19:15:00;0;0;1;0;0
88;5;6;8;000:19:03:00;000:20:24:00;0;0;1;0;0
89;5;6;8;000:23:03:00;001:00:24:00;0;0;1;0;0
90;5;8;6;000:06:45:00;000:08:30:00;0;0;1;0;0
91;5;8;6;000:08:05:00;000:09:50:00;0;0;1;0;0
92;5;8;6;000:09:25:00;000:10:53:00;0;0;1;0;0
93;5;8;6;000:11:25:00;000:12:53:00;0;0;1;0;0
94;5;8;6;000:13:25:00;000:14:57:00;0;0;1;0;0
95;5;8;6;000:14:45:00;000:16:17:00;0;0;1;0;0
96;5;8;6;000:16:05:00;000:17:37:00;0;0;1;0;0
97;5;8;6;000:17:25:00;000:18:57:00;0;0;1;0;0
98;5;8;6;000:18:45:00;000:20:17:00;0;0;1;0;0
99;5;8;6;000:20:05:00;000:21:26:00;0;0;1;0;0
*
* Verbindungen
*
$DEADRUNTIME:FromStopID;ToStopID;FromTime;ToTime;Distance;RunTime
0;0;000:00:00:00;001:12:00:59;0;0
0;1;000:00:00:00;001:12:00:59;16666;1200
0;2;000:00:00:00;001:12:00:59;21666;1560
0;3;000:00:00:00;001:12:00:59;32500;2340
0;4;000:00:00:00;001:12:00:59;14166;1020
0;5;000:00:00:00;001:12:00:59;20833;1500
0;6;000:00:00:00;001:12:00:59;37500;2700
0;7;000:00:00:00;001:12:00:59;25833;1860
0;8;000:00:00:00;001:12:00:59;21666;1560
1;0;000:00:00:00;001:12:00:59;16666;1200
1;1;000:00:00:00;001:12:00:59;0;0
1;2;000:00:00:00;001:12:00:59;11666;840
1;3;000:00:00:00;001:12:00:59;25000;1800
1;4;000:00:00:00;001:12:00:59;20000;1440
1;5;000:00:00:00;001:12:00:59;4166;300
1;6;000:00:00:00;001:12:00:59;24166;1740
1;7;000:00:00:00;001:12:00:59;26666;1920
1;8;000:00:00:00;001:12:00:59;14166;1020
2;0;000:00:00:00;001:12:00:59;21666;1560
2;1;000:00:00:00;001:12:00:59;11666;840
2;2;000:00:00:00;001:12:00:59;0;0
2;3;000:00:00:00;001:12:00:59;14166;1020
2;4;000:00:00:00;001:12:00:59;15000;1080
2;5;000:00:00:00;001:12:00:59;10833;780
2;6;000:00:00:00;001:12:00:59;16666;1200
2;7;000:00:00:00;001:12:00:59;17500;1260
2;8;000:00:00:00;001:12:00:59;25000;1800
3;0;000:00:00:00;001:12:00:59;32500;2340
3;1;000:00:00:00;001:12:00:59;25000;1800
3;2;000:00:00:00;001:12:00:59;14166;1020
3;3;000:00:00:00;001:12:00:59;0;0
3;4;000:00:00:00;001:12:00:59;21666;1560
3;5;000:00:00:00;001:12:00:59;23333;1680
3;6;000:00:00:00;001:12:00:59;15000;1080
3;7;000:00:00:00;001:12:00:59;15000;1080
3;8;000:00:00:00;001:12:00:59;38333;2760
4;0;000:00:00:00;001:12:00:59;14166;1020
4;1;000:00:00:00;001:12:00:59;20000;1440
4;2;000:00:00:00;001:12:00:59;15000;1080
4;3;000:00:00:00;001:12:00:59;21666;1560
4;4;000:00:00:00;001:12:00:59;0;0
4;5;000:00:00:00;001:12:00:59;21666;1560
4;6;000:00:00:00;001:12:00:59;30833;2220
4;7;000:00:00:00;001:12:00:59;11666;840
4;8;000:00:00:00;001:12:00:59;30833;2220
5;0;000:00:00:00;001:12:00:59;20833;1500
5;1;000:00:00:00;001:12:00:59;4166;300
5;2;000:00:00:00;001:12:00:59;10833;780
5;3;000:00:00:00;001:12:00:59;23333;1680
5;4;000:00:00:00;001:12:00:59;21666;1560
5;5;000:00:00:00;001:12:00:59;0;0
5;6;000:00:00:00;001:12:00:59;20000;1440
5;7;000:00:00:00;001:12:00:59;27500;1980
