* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;120;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;0;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;2;3;000:06:45:00;000:07:45:00;0;0;1;0;0
1;1;2;3;000:08:05:00;000:09:05:00;0;0;1;0;0
2;1;2;3;000:09:25:00;000:10:15:00;0;0;1;0;0
3;1;2;3;000:11:25:00;000:12:15:00;0;0;1;0;0
4;1;2;3;000:13:25:00;000:14:18:00;0;0;1;0;0
5;1;2;3;000:14:45:00;000:15:38:00;0;0;1;0;0
6;1;2;3;000:16:05:00;000:16:58:00;0;0;1;0;0
7;1;2;3;000:17:25:00;000:18:18:00;0;0;1;0;0
8;1;2;3;000:18:45:00;000:19:38:00;0;0;1;0;0
9;1;2;3;000:20:05:00;000:20:52:00;0;0;1;0;0
10;1;3;2;000:06:05:00;000:07:05:00;0;0;1;0;0
11;1;3;2;000:07:25:00;000:08:25:00;0;0;1;0;0
12;1;3;2;000:08:45:00;000:09:45:00;0;0;1;0;0
13;1;3;2;000:10:05:00;000:10:55:00;0;0;1;0;0
14;1;3;2;000:12:05:00;000:12:55:00;0;0;1;0;0
15;1;3;2;000:14:05:00;000:14:58:00;0;0;1;0;0
16;1;3;2;000:15:25:00;000:16:18:00;0;0;1;0;0
17;1;3;2;000:16:45:00;000:17:38:00;0;0;1;0;0
18;1;3;2;000:18:05:00;000:18:58:00;0;0;1;0;0
19;1;3;2;000:19:25:00;000:20:12:00;0;0;1;0;0
20;2;2;4;000:07:19:00;000:08:53:00;0;0;1;0;0
21;2;2;4;000:08:39:00;000:10:13:00;0;0;1;0;0
22;2;2;4;000:09:59:00;000:11:17:00;0;0;1;0;0
23;2;2;4;000:11:59:00;000:13:17:00;0;0;1;0;0
