* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;120;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;0;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:41:00;000:07:12:00;0;0;1;0;0
1;1;4;5;000:08:01:00;000:08:32:00;0;0;1;0;0
2;1;4;5;000:09:21:00;000:09:47:00;0;0;1;0;0
3;1;4;5;000:11:21:00;000:11:47:00;0;0;1;0;0
4;1;4;5;000:13:21:00;000:13:48:00;0;0;1;0;0
5;1;4;5;000:14:41:00;000:15:08:00;0;0;1;0;0
6;1;4;5;000:16:01:00;000:16:28:00;0;0;1;0;0
7;1;4;5;000:17:21:00;000:17:48:00;0;0;1;0;0
8;1;4;5;000:18:41:00;000:19:08:00;0;0;1;0;0
9;1;4;5;000:20:01:00;000:20:25:00;0;0;1;0;0
10;1;5;4;000:06:57:00;000:07:28:00;0;0;1;0;0
11;1;5;4;000:08:17:00;000:08:48:00;0;0;1;0;0
12;1;5;4;000:09:37:00;000:10:03:00;0;0;1;0;0
13;1;5;4;000:11:37:00;000:12:03:00;0;0;1;0;0
14;1;5;4;000:13:37:00;000:14:04:00;0;0;1;0;0
15;1;5;4;000:14:57:00;000:15:24:00;0;0;1;0;0
16;1;5;4;000:16:17:00;000:16:44:00;0;0;1;0;0
17;1;5;4;000:17:37:00;000:18:04:00;0;0;1;0;0
18;1;5;4;000:18:57:00;000:19:24:00;0;0;1;0;0
19;1;5;4;000:20:17:00;000:20:41:00;0;0;1;0;0
20;2;4;6;000:07:15:00;000:08:50:00;0;0;1;0;0
21;2;4;6;000:08:35:00;000:10:10:00;0;0;1;0;0
22;2;4;6;000:09:55:00;000:11:14:00;0;0;1;0;0
23;2;4;6;000:11:55:00;000:13:14:00;0;0;1;0;0
24;2;4;6;000:13:55:00;000:15:17:00;0;0;1;0;0
25;2;4;6;000:15:15:00;000:16:37:00;0;0;1;0;0
26;2;4;6;000:16:35:00;000:17:57:00;0;0;1;0;0
27;2;4;6;000:17:55:00;000:19:17:00;0;0;1;0;0
28;2;4;6;000:19:15:00;000:20:28:00;0;0;1;0;0
29;2;4;6;000:23:15:00;001:00:28:00;0;0;1;0;0
30;2;6;4;000:06:21:00;000:07:56:00;0;0;1;0;0
31;2;6;4;000:07:41:00;000:09:16:00;0;0;1;0;0
32;2;6;4;000:09:01:00;000:10:20:00;0;0;1;0;0
33;2;6;4;000:11:01:00;000:12:20:00;0;0;1;0;0
34;2;6;4;000:13:01:00;000:14:23:00;0;0;1;0;0
35;2;6;4;000:14:21:00;000:15:43:00;0;0;1;0;0
36;2;6;4;000:15:41:00;000:17:03:00;0;0;1;0;0
37;2;6;4;000:17:01:00;000:18:23:00;0;0;1;0;0
38;2;6;4;000:18:21:00;000:19:43:00;0;0;1;0;0
39;2;6;4;000:19:41:00;000:20:54:00;0;0;1;0;0
40;3;4;7;000:07:15:00;000:08:02:00;0;0;1;0;0
41;3;4;7;000:08:35:00;000:09:22:00;0;0;1;0;0
42;3;4;7;000:09:55:00;000:10:35:00;0;0;1;0;0
43;3;4;7;000:11:55:00;000:12:35:00;0;0;1;0;0
44;3;4;7;000:13:55:00;000:14:36:00;0;0;1;0;0
45;3;4;7;000:15:15:00;000:15:56:00;0;0;1;0;0
46;3;4;7;000:16:35:00;000:17:16:00;0;0;1;0;0
47;3;4;7;000:17:55:00;000:18:36:00;0;0;1;0;0
48;3;4;7;000:19:15:00;000:19:52:00;0;0;1;0;0
49;3;4;7;000:23:15:00;000:23:52:00;0;0;1;0;0
50;3;7;4;000:06:00:00;000:06:47:00;0;0;1;0;0
51;3;7;4;000:07:20:00;000:08:07:00;0;0;1;0;0
52;3;7;4;000:08:40:00;000:09:27:00;0;0;1;0;0
53;3;7;4;000:10:00:00;000:10:40:00;0;0;1;0;0
54;3;7;4;000:12:00:00;000:12:40:00;0;0;1;0;0
55;3;7;4;000:14:00:00;000:14:41:00;0;0;1;0;0
56;3;7;4;000:15:20:00;000:16:01:00;0;0;1;0;0
57;3;7;4;000:16:40:00;000:17:21:00;0;0;1;0;0
58;3;7;4;000:18:00:00;000:18:41:00;0;0;1;0;0
59;3;7;4;000:19:20:00;000:19:57:00;0;0;1;0;0
60;4;5;6;000:06:50:00;000:08:19:00;0;0;1;0;0
61;4;5;6;000:08:10:00;000:09:39:00;0;0;1;0;0
62;4;5;6;000:09:30:00;000:10:44:00;0;0;1;0;0
63;4;5;6;000:11:30:00;000:12:44:00;0;0;1;0;0
64;4;5;6;000:13:30:00;000:14:47:00;0;0;1;0;0
65;4;5;6;000:14:50:00;000:16:07:00;0;0;1;0;0
66;4;5;6;000:16:10:00;000:17:27:00;0;0;1;0;0
67;4;5;6;000:17:30:00;000:18:47:00;0;0;1;0;0
68;4;5;6;000:18:50:00;000:20:07:00;0;0;1;0;0
