* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;0;120;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;1;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;2;3;000:06:29:00;000:08:28:00;0;0;1;0;0
1;1;2;3;000:07:49:00;000:09:48:00;0;0;1;0;0
2;1;2;3;000:09:09:00;000:10:53:00;0;0;1;0;0
3;1;2;3;000:11:09:00;000:12:53:00;0;0;1;0;0
4;1;2;3;000:13:09:00;000:15:00:00;0;0;1;0;0
5;1;2;3;000:14:29:00;000:16:20:00;0;0;1;0;0
6;1;2;3;000:15:49:00;000:17:40:00;0;0;1;0;0
7;1;2;3;000:17:09:00;000:19:00:00;0;0;1;0;0
8;1;2;3;000:18:29:00;000:20:20:00;0;0;1;0;0
9;1;2;3;000:19:49:00;000:21:24:00;0;0;1;0;0
10;1;3;2;000:07:03:00;000:09:02:00;0;0;1;0;0
11;1;3;2;000:08:23:00;000:10:22:00;0;0;1;0;0
12;1;3;2;000:09:43:00;000:11:27:00;0;0;1;0;0
13;1;3;2;000:11:43:00;000:13:27:00;0;0;1;0;0
14;1;3;2;000:13:43:00;000:15:34:00;0;0;1;0;0
15;1;3;2;000:15:03:00;000:16:54:00;0;0;1;0;0
16;1;3;2;000:16:23:00;000:18:14:00;0;0;1;0;0
17;1;3;2;000:17:43:00;000:19:34:00;0;0;1;0;0
18;1;3;2;000:19:03:00;000:20:38:00;0;0;1;0;0
19;1;3;2;000:23:03:00;001:00:38:00;0;0;1;0;0
20;2;2;4;000:06:26:00;000:07:41:00;0;0;1;0;0
21;2;2;4;000:07:46:00;000:09:01:00;0;0;1;0;0
22;2;2;4;000:09:06:00;000:10:12:00;0;0;1;0;0
23;2;2;4;000:11:06:00;000:12:12:00;0;0;1;0;0
24;2;2;4;000:13:06:00;000:14:16:00;0;0;1;0;0
25;2;2;4;000:14:26:00;000:15:36:00;0;0;1;0;0
26;2;2;4;000:15:46:00;000:16:56:00;0;0;1;0;0
27;2;2;4;000:17:06:00;000:18:16:00;0;0;1;0;0
28;2;2;4;000:18:26:00;000:19:36:00;0;0;1;0;0
29;2;2;4;000:19:46:00;000:20:46:00;0;0;1;0;0
30;2;4;2;000:06:02:00;000:07:17:00;0;0;1;0;0
31;2;4;2;000:07:22:00;000:08:37:00;0;0;1;0;0
32;2;4;2;000:08:42:00;000:09:57:00;0;0;1;0;0
33;2;4;2;000:10:02:00;000:11:08:00;0;0;1;0;0
34;2;4;2;000:12:02:00;000:13:08:00;0;0;1;0;0
35;2;4;2;000:14:02:00;000:15:12:00;0;0;1;0;0
36;2;4;2;000:15:22:00;000:16:32:00;0;0;1;0;0
37;2;4;2;000:16:42:00;000:17:52:00;0;0;1;0;0
38;2;4;2;000:18:02:00;000:19:12:00;0;0;1;0;0
39;2;4;2;000:19:22:00;000:20:22:00;0;0;1;0;0
40;3;2;5;000:06:40:00;000:07:06:00;0;0;1;0;0
41;3;2;5;000:08:00:00;000:08:26:00;0;0;1;0;0
42;3;2;5;000:09:20:00;000:09:43:00;0;0;1;0;0
43;3;2;5;000:11:20:00;000:11:43:00;0;0;1;0;0
44;3;2;5;000:13:20:00;000:13:45:00;0;0;1;0;0
45;3;2;5;000:14:40:00;000:15:05:00;0;0;1;0;0
46;3;2;5;000:16:00:00;000:16:25:00;0;0;1;0;0
47;3;2;5;000:17:20:00;000:17:45:00;0;0;1;0;0
48;3;2;5;000:18:40:00;000:19:05:00;0;0;1;0;0
49;3;2;5;000:20:00:00;000:20:21:00;0;0;1;0;0
50;3;5;2;000:06:55:00;000:07:21:00;0;0;1;0;0
51;3;5;2;000:08:15:00;000:08:41:00;0;0;1;0;0
52;3;5;2;000:09:35:00;000:09:58:00;0;0;1;0;0
53;3;5;2;000:11:35:00;000:11:58:00;0;0;1;0;0
54;3;5;2;000:13:35:00;000:14:00:00;0;0;1;0;0
55;3;5;2;000:14:55:00;000:15:20:00;0;0;1;0;0
56;3;5;2;000:16:15:00;000:16:40:00;0;0;1;0;0
57;3;5;2;000:17:35:00;000:18:00:00;0;0;1;0;0
58;3;5;2;000:18:55:00;000:19:20:00;0;0;1;0;0
59;3;5;2;000:20:15:00;000:20:36:00;0;0;1;0;0
60;4;3;4;000:06:20:00;000:08:08:00;0;0;1;0;0
61;4;3;4;000:07:40:00;000:09:28:00;0;0;1;0;0
62;4;3;4;000:09:00:00;000:10:34:00;0;0;1;0;0
63;4;3;4;000:11:00:00;000:12:34:00;0;0;1;0;0
64;4;3;4;000:13:00:00;000:14:40:00;0;0;1;0;0
65;4;3;4;000:14:20:00;000:16:00:00;0;0;1;0;0
66;4;3;4;000:15:40:00;000:17:20:00;0;0;1;0;0
67;4;3;4;000:17:00:00;000:18:40:00;0;0;1;0;0
68;4;3;4;000:18:20:00;000:20:00:00;0;0;1;0;0
69;4;3;4;000:19:40:00;000:21:06:00;0;0;1;0;0
70;4;4;3;000:06:28:00;000:08:16:00;0;0;1;0;0
71;4;4;3;000:07:48:00;000:09:36:00;0;0;1;0;0
72;4;4;3;000:09:08:00;000:10:42:00;0;0;1;0;0
73;4;4;3;000:11:08:00;000:12:42:00;0;0;1;0;0
74;4;4;3;000:13:08:00;000:14:48:00;0;0;1;0;0
75;4;4;3;000:14:28:00;000:16:08:00;0;0;1;0;0
76;4;4;3;000:15:48:00;000:17:28:00;0;0;1;0;0
77;4;4;3;000:17:08:00;000:18:48:00;0;0;1;0;0
78;4;4;3;000:18:28:00;000:20:08:00;0;0;1;0;0
79;4;4;3;000:19:48:00;000:21:14:00;0;0;1;0;0
80;5;4;6;000:06:15:00;000:07:22:00;0;0;1;0;0
81;5;4;6;000:07:35:00;000:08:42:00;0;0;1;0;0
82;5;4;6;000:08:55:00;000:10:02:00;0;0;1;0;0
83;5;4;6;000:10:15:00;000:11:14:00;0;0;1;0;0
84;5;4;6;000:12:15:00;000:13:14:00;0;0;1;0;0
85;5;4;6;000:14:15:00;000:15:18:00;0;0;1;0;0
86;5;4;6;000:15:35:00;000:16:38:00;0;0;1;0;0
87;5;4;6;000:16:55:00;000:17:58:00;0;0;1;0;0
88;5;4;6;000:18:15:00;000:19:18:00;0;0;1;0;0
89;5;4;6;000:19:35:00;000:20:29:00;0;0;1;0;0
90;5;6;4;000:06:12:00;000:07:19:00;0;0;1;0;0
91;5;6;4;000:07:32:00;000:08:39:00;0;0;1;0;0
92;5;6;4;000:08:52:00;000:09:59:00;0;0;1;0;0
93;5;6;4;000:10:12:00;000:11:11:00;0;0;1;0;0
94;5;6;4;000:12:12:00;000:13:11:00;0;0;1;0;0
95;5;6;4;000:14:12:00;000:15:15:00;0;0;1;0;0
96;5;6;4;000:15:32:00;000:16:35:00;0;0;1;0;0
97;5;6;4;000:16:52:00;000:17:55:00;0;0;1;0;0
98;5;6;4;000:18:12:00;000:19:15:00;0;0;1;0;0
99;5;6;4;000:19:32:00;000:20:26:00;0;0;1;0;0
*
* Verbindungen
*
$DEADRUNTIME:FromStopID;ToStopID;FromTime;ToTime;Distance;RunTime
0;0;000:00:00:00;001:12:00:59;0;0
0;1;000:00:00:00;001:12:00:59;17500;1260
0;2;000:00:00:00;001:12:00:59;10000;720
0;3;000:00:00:00;001:12:00:59;56666;4080
0;4;000:00:00:00;001:12:00:59;26666;1920
0;5;000:00:00:00;001:12:00:59;8333;600
0;6;000:00:00:00;001:12:00:59;17500;1260
1;0;000:00:00:00;001:12:00:59;17500;1260
1;1;000:00:00:00;001:12:00:59;0;0
1;2;000:00:00:00;001:12:00:59;10833;780
1;3;000:00:00:00;001:12:00:59;46666;3360
1;4;000:00:00:00;001:12:00:59;36666;2640
1;5;000:00:00:00;001:12:00:59;22500;1620
1;6;000:00:00:00;001:12:00:59;6666;480
2;0;000:00:00:00;001:12:00:59;10000;720
2;1;000:00:00:00;001:12:00:59;10833;780
2;2;000:00:00:00;001:12:00:59;0;0
2;3;000:00:00:00;001:12:00:59;55833;4020
2;4;000:00:00:00;001:12:00:59;35000;2520
2;5;000:00:00:00;001:12:00:59;12500;900
2;6;000:00:00:00;001:12:00:59;14166;1020
3;0;000:00:00:00;001:12:00:59;56666;4080
