* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;0;120;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;0;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:26:00;000:07:55:00;0;0;1;0;0
1;1;4;5;000:07:46:00;000:09:15:00;0;0;1;0;0
2;1;4;5;000:09:06:00;000:10:20:00;0;0;1;0;0
3;1;4;5;000:11:06:00;000:12:20:00;0;0;1;0;0
4;1;4;5;000:13:06:00;000:14:24:00;0;0;1;0;0
5;1;4;5;000:14:26:00;000:15:44:00;0;0;1;0;0
6;1;4;5;000:15:46:00;000:17:04:00;0;0;1;0;0
7;1;4;5;000:17:06:00;000:18:24:00;0;0;1;0;0
8;1;4;5;000:18:26:00;000:19:44:00;0;0;1;0;0
9;1;4;5;000:19:46:00;000:20:55:00;0;0;1;0;0
10;1;5;4;000:06:50:00;000:08:19:00;0;0;1;0;0
11;1;5;4;000:08:10:00;000:09:39:00;0;0;1;0;0
12;1;5;4;000:09:30:00;000:10:44:00;0;0;1;0;0
13;1;5;4;000:11:30:00;000:12:44:00;0;0;1;0;0
14;1;5;4;000:13:30:00;000:14:48:00;0;0;1;0;0
15;1;5;4;000:14:50:00;000:16:08:00;0;0;1;0;0
16;1;5;4;000:16:10:00;000:17:28:00;0;0;1;0;0
17;1;5;4;000:17:30:00;000:18:48:00;0;0;1;0;0
18;1;5;4;000:18:50:00;000:20:08:00;0;0;1;0;0
19;1;5;4;000:20:10:00;000:21:19:00;0;0;1;0;0
20;2;4;6;000:06:22:00;000:08:17:00;0;0;1;0;0
21;2;4;6;000:07:42:00;000:09:37:00;0;0;1;0;0
22;2;4;6;000:09:02:00;000:10:38:00;0;0;1;0;0
23;2;4;6;000:11:02:00;000:12:38:00;0;0;1;0;0
24;2;4;6;000:13:02:00;000:14:42:00;0;0;1;0;0
25;2;4;6;000:14:22:00;000:16:02:00;0;0;1;0;0
26;2;4;6;000:15:42:00;000:17:22:00;0;0;1;0;0
27;2;4;6;000:17:02:00;000:18:42:00;0;0;1;0;0
28;2;4;6;000:18:22:00;000:20:02:00;0;0;1;0;0
29;2;4;6;000:19:42:00;000:21:10:00;0;0;1;0;0
30;2;6;4;000:06:50:00;000:08:45:00;0;0;1;0;0
31;2;6;4;000:08:10:00;000:10:05:00;0;0;1;0;0
32;2;6;4;000:09:30:00;000:11:06:00;0;0;1;0;0
33;2;6;4;000:11:30:00;000:13:06:00;0;0;1;0;0
34;2;6;4;000:13:30:00;000:15:10:00;0;0;1;0;0
35;2;6;4;000:14:50:00;000:16:30:00;0;0;1;0;0
36;2;6;4;000:16:10:00;000:17:50:00;0;0;1;0;0
37;2;6;4;000:17:30:00;000:19:10:00;0;0;1;0;0
38;2;6;4;000:18:50:00;000:20:30:00;0;0;1;0;0
39;2;6;4;000:20:10:00;000:21:38:00;0;0;1;0;0
40;3;4;7;000:06:56:00;000:08:21:00;0;0;1;0;0
41;3;4;7;000:08:16:00;000:09:41:00;0;0;1;0;0
42;3;4;7;000:09:36:00;000:10:47:00;0;0;1;0;0
43;3;4;7;000:11:36:00;000:12:47:00;0;0;1;0;0
44;3;4;7;000:13:36:00;000:14:50:00;0;0;1;0;0
45;3;4;7;000:14:56:00;000:16:10:00;0;0;1;0;0
46;3;4;7;000:16:16:00;000:17:30:00;0;0;1;0;0
47;3;4;7;000:17:36:00;000:18:50:00;0;0;1;0;0
48;3;4;7;000:18:56:00;000:20:10:00;0;0;1;0;0
49;3;4;7;000:20:16:00;000:21:22:00;0;0;1;0;0
50;3;7;4;000:07:17:00;000:08:42:00;0;0;1;0;0
51;3;7;4;000:08:37:00;000:10:02:00;0;0;1;0;0
52;3;7;4;000:09:57:00;000:11:08:00;0;0;1;0;0
53;3;7;4;000:11:57:00;000:13:08:00;0;0;1;0;0
54;3;7;4;000:13:57:00;000:15:11:00;0;0;1;0;0
55;3;7;4;000:15:17:00;000:16:31:00;0;0;1;0;0
56;3;7;4;000:16:37:00;000:17:51:00;0;0;1;0;0
57;3;7;4;000:17:57:00;000:19:11:00;0;0;1;0;0
58;3;7;4;000:19:17:00;000:20:23:00;0;0;1;0;0
59;3;7;4;000:23:17:00;001:00:23:00;0;0;1;0;0
60;4;5;6;000:07:15:00;000:09:06:00;0;0;1;0;0
61;4;5;6;000:08:35:00;000:10:26:00;0;0;1;0;0
62;4;5;6;000:09:55:00;000:11:27:00;0;0;1;0;0
63;4;5;6;000:11:55:00;000:13:27:00;0;0;1;0;0
64;4;5;6;000:13:55:00;000:15:31:00;0;0;1;0;0
65;4;5;6;000:15:15:00;000:16:51:00;0;0;1;0;0
66;4;5;6;000:16:35:00;000:18:11:00;0;0;1;0;0
67;4;5;6;000:17:55:00;000:19:31:00;0;0;1;0;0
68;4;5;6;000:19:15:00;000:20:40:00;0;0;1;0;0
69;4;5;6;000:23:15:00;001:00:40:00;0;0;1;0;0
70;4;6;5;000:06:15:00;000:08:06:00;0;0;1;0;0
71;4;6;5;000:07:35:00;000:09:26:00;0;0;1;0;0
72;4;6;5;000:08:55:00;000:10:46:00;0;0;1;0;0
73;4;6;5;000:10:15:00;000:11:47:00;0;0;1;0;0
74;4;6;5;000:12:15:00;000:13:47:00;0;0;1;0;0
75;4;6;5;000:14:15:00;000:15:51:00;0;0;1;0;0
76;4;6;5;000:15:35:00;000:17:11:00;0;0;1;0;0
77;4;6;5;000:16:55:00;000:18:31:00;0;0;1;0;0
78;4;6;5;000:18:15:00;000:19:51:00;0;0;1;0;0
79;4;6;5;000:19:35:00;000:21:00:00;0;0;1;0;0
80;5;6;8;000:07:08:00;000:07:58:00;0;0;1;0;0
81;5;6;8;000:08:28:00;000:09:18:00;0;0;1;0;0
82;5;6;8;000:09:48:00;000:10:30:00;0;0;1;0;0
83;5;6;8;000:11:48:00;000:12:30:00;0;0;1;0;0
84;5;6;8;000:13:48:00;000:14:32:00;0;0;1;0;0
85;5;6;8;000:15:08:00;000:15:52:00;0;0;1;0;0
86;5;6;8;000:16:28:00;000:17:12:00;0;0;1;0;0
87;5;6;8;000:17:48:00;000:18:32:00;0;0;1;0;0
88;5;6;8;000:19:08:00;000:19:47:00;0;0;1;0;0
89;5;6;8;000:23:08:00;000:23:47:00;0;0;1;0;0
90;5;8;6;000:06:06:00;000:06:56:00;0;0;1;0;0
91;5;8;6;000:07:26:00;000:08:16:00;0;0;1;0;0
92;5;8;6;000:08:46:00;000:09:36:00;0;0;1;0;0
93;5;8;6;000:10:06:00;000:10:48:00;0;0;1;0;0
94;5;8;6;000:12:06:00;000:12:48:00;0;0;1;0;0
95;5;8;6;000:14:06:00;000:14:50:00;0;0;1;0;0
96;5;8;6;000:15:26:00;000:16:10:00;0;0;1;0;0
97;5;8;6;000:16:46:00;000:17:30:00;0;0;1;0;0
98;5;8;6;000:18:06:00;000:18:50:00;0;0;1;0;0
99;5;8;6;000:19:26:00;000:20:05:00;0;0;1;0;0
*
* Verbindungen
*
$DEADRUNTIME:FromStopID;ToStopID;FromTime;ToTime;Distance;RunTime
0;0;000:00:00:00;001:12:00:59;0;0
0;1;000:00:00:00;001:12:00:59;27500;1980
0;2;000:00:00:00;001:12:00:59;38333;2760
0;3;000:00:00:00;001:12:00:59;15833;1140
0;4;000:00:00:00;001:12:00:59;40833;2940
0;5;000:00:00:00;001:12:00:59;45000;3240
0;6;000:00:00:00;001:12:00:59;10833;780
0;7;000:00:00:00;001:12:00:59;13333;960
0;8;000:00:00:00;001:12:00:59;26666;1920
