*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
13;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD91;1;6;0:7:7:0;0:7:26:0;4
1;91;6;4;0:7:26:0;0:8:2:0;1
1;31;4;2;0:8:10:0;0:9:32:0;1
1;42;2;5;0:9:36:0;0:10:29:0;1
1;53;5;2;0:11:57:0;0:12:50:0;1
1;25;2;4;0:14:22:0;0:15:39:0;1
1;86;4;6;0:16:28:0;0:17:2:0;1
1;98;6;4;0:18:6:0;0:18:40:0;1
1;38;4;2;0:18:50:0;0:20:7:0;1
1;49;2;5;0:20:16:0;0:21:5:0;1
1;59;5;2;0:23:17:0;1:0:6:0;1
1;ZD59;2;1;1:0:6:0;1:0:30:0;3
2;VD50;1;5;0:6:52:0;0:7:17:0;4
2;50;5;2;0:7:17:0;0:8:18:0;1
2;22;2;4;0:9:2:0;0:10:14:0;1
2;73;4;3;0:10:15:0;0:11:24:0;1
2;14;3;2;0:13:30:0;0:14:30:0;1
2;6;2;3;0:15:46:0;0:16:46:0;1
2;17;3;2;0:17:30:0;0:18:30:0;1
2;29;2;4;0:19:42:0;0:20:48:0;1
2;89;4;6;0:23:8:0;0:23:37:0;1
2;ZD89;6;1;0:23:37:0;0:23:56:0;3
3;VD60;1;3;0:6:51:0;0:7:15:0;4
3;60;3;4;0:7:15:0;0:8:34:0;1
3;72;4;3;0:8:55:0;0:10:14:0;1
3;13;3;2;0:11:30:0;0:12:26:0;1
3;44;2;5;0:13:36:0;0:14:33:0;1
3;55;5;2;0:15:17:0;0:16:14:0;1
3;27;2;4;0:17:2:0;0:18:19:0;1
3;88;4;6;0:19:8:0;0:19:37:0;1
3;ZD88;6;1;0:19:37:0;0:19:56:0;3
4;VD80;1;4;0:6:42:0;0:7:8:0;4
4;80;4;6;0:7:8:0;0:7:44:0;1
4;92;6;4;0:8:46:0;0:9:22:0;1
4;32;4;2;0:9:30:0;0:10:42:0;1
4;4;2;3;0:13:6:0;0:14:6:0;1
4;65;3;4;0:15:15:0;0:16:29:0;1
4;77;4;3;0:16:55:0;0:18:9:0;1
