*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD80;1;4;0:6:34:0;0:7:3:0;4
1;80;4;6;0:7:3:0;0:8:18:0;1
1;92;6;4;0:9:25:0;0:10:31:0;1
1;83;4;6;0:11:43:0;0:12:49:0;1
1;95;6;4;0:14:45:0;0:15:55:0;1
1;86;4;6;0:16:23:0;0:17:33:0;1
1;98;6;4;0:18:45:0;0:19:55:0;1
1;ZD98;4;1;0:19:55:0;0:20:24:0;3
2;VD90;1;6;0:6:28:0;0:6:45:0;4
2;90;6;4;0:6:45:0;0:8:0:0;1
2;81;4;6;0:8:23:0;0:9:38:0;1
2;93;6;4;0:11:25:0;0:12:31:0;1
2;84;4;6;0:13:43:0;0:14:53:0;1
2;96;6;4;0:16:5:0;0:17:15:0;1
2;87;4;6;0:17:43:0;0:18:53:0;1
2;ZD87;6;1;0:18:53:0;0:19:10:0;3
3;VD10;1;3;0:6:17:0;0:6:22:0;4
3;10;3;2;0:6:22:0;0:7:9:0;1
3;41;2;5;0:7:20:0;0:7:45:0;1
3;51;5;2;0:8:30:0;0:8:55:0;1
3;2;2;3;0:9:19:0;0:10:0:0;1
3;13;3;2;0:11:2:0;0:11:43:0;1
3;44;2;5;0:12:0:0;0:12:22:0;1
3;54;5;2;0:13:50:0;0:14:13:0;1
3;5;2;3;0:14:39:0;0:15:23:0;1
3;16;3;2;0:15:42:0;0:16:26:0;1
3;47;2;5;0:16:40:0;0:17:3:0;1
3;57;5;2;0:17:50:0;0:18:13:0;1
3;8;2;3;0:18:39:0;0:19:23:0;1
3;19;3;2;0:19:42:0;0:20:19:0;1
3;ZD19;2;1;0:20:19:0;0:20:43:0;3
4;VD60;1;3;0:6:16:0;0:6:21:0;4
4;60;3;4;0:6:21:0;0:7:4:0;1
4;30;4;2;0:7:11:0;0:8:17:0;1
4;22;2;4;0:9:4:0;0:10:2:0;1
4;73;4;3;0:10:16:0;0:10:54:0;1
4;63;3;4;0:11:1:0;0:11:39:0;1
4;33;4;2;0:11:51:0;0:12:49:0;1
4;24;2;4;0:13:4:0;0:14:5:0;1
4;75;4;3;0:14:16:0;0:14:56:0;1
4;66;3;4;0:15:41:0;0:16:21:0;1
4;36;4;2;0:16:31:0;0:17:32:0;1
4;28;2;4;0:18:24:0;0:19:25:0;1
4;79;4;3;0:19:36:0;0:20:11:0;1
4;ZD79;3;1;0:20:11:0;0:20:16:0;3
5;VD0;1;2;0:6:15:0;0:6:39:0;4
5;0;2;3;0:6:39:0;0:7:26:0;1
5;61;3;4;0:7:41:0;0:8:24:0;1
5;31;4;2;0:8:31:0;0:9:37:0;1
5;25;2;4;0:14:24:0;0:15:25:0;1
5;76;4;3;0:15:36:0;0:16:16:0;1
5;67;3;4;0:17:1:0;0:17:41:0;1
5;37;4;2;0:17:51:0;0:18:52:0;1
5;29;2;4;0:19:44:0;0:20:37:0;1
5;39;4;2;0:23:11:0;1:0:4:0;1
5;ZD39;2;1;1:0:4:0;1:0:28:0;3
6;VD20;1;2;0:6:0:0;0:6:24:0;4
6;20;2;4;0:6:24:0;0:7:30:0;1
6;71;4;3;0:7:36:0;0:8:19:0;1
6;62;3;4;0:9:1:0;0:9:39:0;1
6;32;4;2;0:9:51:0;0:10:49:0;1
6;23;2;4;0:11:4:0;0:12:2:0;1
6;74;4;3;0:12:16:0;0:12:54:0;1
6;64;3;4;0:13:1:0;0:13:41:0;1
6;34;4;2;0:13:51:0;0:14:52:0;1
6;26;2;4;0:15:44:0;0:16:45:0;1
6;77;4;3;0:16:56:0;0:17:36:0;1
6;68;3;4;0:18:21:0;0:19:1:0;1
6;38;4;2;0:19:11:0;0:20:4:0;1
6;ZD38;2;1;0:20:4:0;0:20:28:0;3
7;VD70;1;4;0:5:47:0;0:6:16:0;4
7;70;4;3;0:6:16:0;0:6:59:0;1
7;11;3;2;0:7:42:0;0:8:29:0;1
7;42;2;5;0:8:40:0;0:9:5:0;1
7;52;5;2;0:9:50:0;0:10:12:0;1
7;3;2;3;0:11:19:0;0:12:0:0;1
7;14;3;2;0:13:2:0;0:13:46:0;1
7;45;2;5;0:14:0:0;0:14:23:0;1
7;55;5;2;0:15:10:0;0:15:33:0;1
7;6;2;3;0:15:59:0;0:16:43:0;1
7;17;3;2;0:17:2:0;0:17:46:0;1
7;48;2;5;0:18:0:0;0:18:23:0;1
7;58;5;2;0:19:10:0;0:19:30:0;1
7;9;2;3;0:19:59:0;0:20:36:0;1
7;ZD9;3;1;0:20:36:0;0:20:41:0;3
8;VD40;1;2;0:5:36:0;0:6:0:0;4
8;40;2;5;0:6:0:0;0:6:25:0;1
8;50;5;2;0:7:10:0;0:7:35:0;1
8;21;2;4;0:7:44:0;0:8:50:0;1
8;72;4;3;0:8:56:0;0:9:39:0;1
8;65;3;4;0:14:21:0;0:15:1:0;1
8;35;4;2;0:15:11:0;0:16:12:0;1
8;27;2;4;0:17:4:0;0:18:5:0;1
8;78;4;3;0:18:16:0;0:18:56:0;1
8;69;3;4;0:19:41:0;0:20:16:0;1
8;ZD69;4;1;0:20:16:0;0:20:45:0;3
9;VD1;1;2;0:7:35:0;0:7:59:0;4
9;1;2;3;0:7:59:0;0:8:46:0;1
9;12;3;2;0:9:2:0;0:9:43:0;1
9;43;2;5;0:10:0:0;0:10:22:0;1
9;53;5;2;0:11:50:0;0:12:12:0;1
9;4;2;3;0:13:19:0;0:14:3:0;1
9;15;3;2;0:14:22:0;0:15:6:0;1
9;46;2;5;0:15:20:0;0:15:43:0;1
9;56;5;2;0:16:30:0;0:16:53:0;1
9;7;2;3;0:17:19:0;0:18:3:0;1
9;18;3;2;0:18:22:0;0:19:6:0;1
9;49;2;5;0:19:20:0;0:19:40:0;1
9;59;5;2;0:23:10:0;0:23:30:0;1
9;ZD59;2;1;0:23:30:0;0:23:54:0;3
10;VD91;1;6;0:7:48:0;0:8:5:0;4
10;91;6;4;0:8:5:0;0:9:20:0;1
10;82;4;6;0:9:43:0;0:10:49:0;1
10;94;6;4;0:13:25:0;0:14:35:0;1
10;85;4;6;0:15:3:0;0:16:13:0;1
10;97;6;4;0:17:25:0;0:18:35:0;1
10;88;4;6;0:19:3:0;0:20:3:0;1
10;99;6;4;0:20:5:0;0:21:5:0;1
10;89;4;6;0:23:3:0;1:0:3:0;1
10;ZD89;6;1;1:0:3:0;1:0:20:0;3
