*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD11;1;3;0:7:10:0;0:7:25:0;4
1;11;3;2;0:7:25:0;0:8:8:0;1
1;42;2;5;0:8:42:0;0:10:3:0;1
1;L42;5;4;0:10:3:0;0:10:20:0;2
1;35;4;2;0:14:43:0;0:15:46:0;1
1;6;2;3;0:16:5:0;0:16:45:0;1
1;67;3;4;0:17:9:0;0:17:47:0;1
1;88;4;6;0:18:19:0;0:18:58:0;1
1;99;6;4;0:19:27:0;0:20:1:0;1
1;39;4;2;0:20:3:0;0:20:57:0;1
1;29;2;4;0:23:19:0;1:0:13:0;1
1;ZD29;4;1;1:0:13:0;1:0:42:0;3
2;VD50;1;5;0:6:46:0;0:7:6:0;4
2;50;5;2;0:7:6:0;0:8:27:0;1
2;21;2;4;0:8:39:0;0:9:46:0;1
2;72;4;3;0:9:53:0;0:10:28:0;1
2;14;3;2;0:12:5:0;0:12:43:0;1
2;45;2;5;0:14:2:0;0:15:18:0;1
2;L45;5;4;0:15:18:0;0:15:35:0;2
2;36;4;2;0:16:3:0;0:17:6:0;1
2;7;2;3;0:17:25:0;0:18:5:0;1
2;68;3;4;0:18:29:0;0:19:7:0;1
2;89;4;6;0:19:39:0;0:20:13:0;1
2;ZD89;6;1;0:20:13:0;0:20:50:0;3
3;VD41;1;2;0:6:44:0;0:7:22:0;4
3;41;2;5;0:7:22:0;0:8:43:0;1
3;L41;5;4;0:8:43:0;0:9:0:0;2
3;32;4;2;0:9:23:0;0:10:22:0;1
3;3;2;3;0:11:25:0;0:12:3:0;1
3;64;3;4;0:13:9:0;0:13:47:0;1
3;85;4;6;0:14:19:0;0:14:58:0;1
3;96;6;4;0:15:27:0;0:16:6:0;1
3;L96;4;5;0:16:6:0;0:16:23:0;2
3;56;5;2;0:16:26:0;0:17:42:0;1
3;27;2;4;0:17:59:0;0:19:2:0;1
