*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD1;1;2;0:7:31:0;0:7:39:0;4
1;1;2;3;0:7:39:0;0:8:38:0;1
1;62;3;4;0:9:36:0;0:10:19:0;1
1;83;4;6;0:11:47:0;0:12:42:0;1
1;95;6;4;0:14:7:0;0:15:6:0;1
1;35;4;2;0:15:18:0;0:16:18:0;1
1;26;2;4;0:16:23:0;0:17:23:0;1
1;77;4;3;0:17:33:0;0:18:19:0;1
1;18;3;2;0:18:51:0;0:19:47:0;1
1;ZD18;2;1;0:19:47:0;0:19:55:0;3
2;VD41;1;2;0:7:26:0;0:7:34:0;4
2;41;2;5;0:7:34:0;0:8:59:0;1
2;52;5;2;0:9:24:0;0:10:38:0;1
2;4;2;3;0:12:19:0;0:13:11:0;1
2;65;3;4;0:14:56:0;0:15:42:0;1
2;86;4;6;0:16:27:0;0:17:26:0;1
2;98;6;4;0:18:7:0;0:19:6:0;1
2;38;4;2;0:19:18:0;0:20:9:0;1
2;ZD38;2;1;0:20:9:0;0:20:17:0;3
3;VD91;1;6;0:7:2:0;0:7:27:0;4
3;91;6;4;0:7:27:0;0:8:30:0;1
3;31;4;2;0:8:38:0;0:9:42:0;1
3;22;2;4;0:9:43:0;0:10:39:0;1
3;73;4;3;0:11:33:0;0:12:16:0;1
3;14;3;2;0:13:31:0;0:14:27:0;1
3;46;2;5;0:15:34:0;0:16:53:0;1
3;57;5;2;0:17:24:0;0:18:43:0;1
3;9;2;3;0:19:39:0;0:20:27:0;1
3;ZD9;3;1;0:20:27:0;0:20:54:0;3
4;VD20;1;2;0:6:55:0;0:7:3:0;4
4;20;2;4;0:7:3:0;0:8:7:0;1
4;71;4;3;0:8:13:0;0:9:2:0;1
4;12;3;2;0:9:31:0;0:10:23:0;1
4;44;2;5;0:12:14:0;0:13:28:0;1
4;55;5;2;0:14:44:0;0:16:3:0;1
4;7;2;3;0:16:59:0;0:17:55:0;1
4;68;3;4;0:18:56:0;0:19:42:0;1
4;ZD68;4;1;0:19:42:0;0:20:11:0;3
5;VD80;1;4;0:6:38:0;0:7:7:0;4
5;80;4;6;0:7:7:0;0:8:10:0;1
5;92;6;4;0:8:47:0;0:9:50:0;1
5;32;4;2;0:9:58:0;0:10:54:0;1
5;23;2;4;0:11:43:0;0:12:39:0;1
5;74;4;3;0:13:33:0;0:14:19:0;1
5;15;3;2;0:14:51:0;0:15:47:0;1
5;47;2;5;0:16:54:0;0:18:13:0;1
5;58;5;2;0:18:44:0;0:20:3:0;1
5;ZD58;2;1;0:20:3:0;0:20:11:0;3
6;VD60;1;3;0:6:29:0;0:6:56:0;4
6;60;3;4;0:6:56:0;0:7:45:0;1
6;81;4;6;0:8:27:0;0:9:30:0;1
6;93;6;4;0:10:7:0;0:11:2:0;1
6;33;4;2;0:11:58:0;0:12:54:0;1
6;24;2;4;0:13:43:0;0:14:43:0;1
6;75;4;3;0:14:53:0;0:15:39:0;1
6;16;3;2;0:16:11:0;0:17:7:0;1
6;48;2;5;0:18:14:0;0:19:33:0;1
6;59;5;2;0:20:4:0;0:21:12:0;1
6;29;2;4;0:23:3:0;0:23:54:0;1
6;ZD29;4;1;0:23:54:0;1:0:23:0;3
7;VD10;1;3;0:6:24:0;0:6:51:0;4
7;10;3;2;0:6:51:0;0:7:50:0;1
7;42;2;5;0:8:54:0;0:10:19:0;1
7;53;5;2;0:11:24:0;0:12:38:0;1
7;5;2;3;0:14:19:0;0:15:15:0;1
7;66;3;4;0:16:16:0;0:17:2:0;1
7;87;4;6;0:17:47:0;0:18:46:0;1
7;99;6;4;0:19:27:0;0:20:17:0;1
7;39;4;2;0:23:18:0;1:0:9:0;1
7;ZD39;2;1;1:0:9:0;1:0:17:0;3
8;VD70;1;4;0:6:24:0;0:6:53:0;4
8;70;4;3;0:6:53:0;0:7:42:0;1
8;11;3;2;0:8:11:0;0:9:10:0;1
8;43;2;5;0:10:14:0;0:11:28:0;1
8;54;5;2;0:13:24:0;0:14:43:0;1
8;6;2;3;0:15:39:0;0:16:35:0;1
8;67;3;4;0:17:36:0;0:18:22:0;1
8;88;4;6;0:19:7:0;0:19:57:0;1
8;ZD88;6;1;0:19:57:0;0:20:22:0;3
9;VD0;1;2;0:6:11:0;0:6:19:0;4
9;0;2;3;0:6:19:0;0:7:18:0;1
9;61;3;4;0:8:16:0;0:9:5:0;1
9;82;4;6;0:9:47:0;0:10:42:0;1
9;94;6;4;0:12:7:0;0:13:2:0;1
9;34;4;2;0:13:58:0;0:14:58:0;1
9;25;2;4;0:15:3:0;0:16:3:0;1
9;76;4;3;0:16:13:0;0:16:59:0;1
9;17;3;2;0:17:31:0;0:18:27:0;1
9;49;2;5;0:19:34:0;0:20:42:0;1
9;ZD49;5;1;0:20:42:0;0:21:23:0;3
