*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
13;1;1;-1
14;1;1;-1
15;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD41;1;2;0:7:52:0;0:8:16:0;4
1;41;2;5;0:8:16:0;0:9:41:0;1
1;52;5;2;0:9:57:0;0:11:8:0;1
1;43;2;5;0:11:36:0;0:12:47:0;1
1;54;5;2;0:13:57:0;0:15:11:0;1
1;26;2;4;0:15:42:0;0:17:22:0;1
1;87;4;6;0:17:48:0;0:18:32:0;1
1;99;6;4;0:19:26:0;0:20:5:0;1
1;39;4;2;0:20:10:0;0:21:38:0;1
1;ZD39;2;1;0:21:38:0;0:22:2:0;3
2;VD1;1;2;0:7:22:0;0:7:46:0;4
2;1;2;3;0:7:46:0;0:9:15:0;1
2;12;3;2;0:9:30:0;0:10:44:0;1
2;23;2;4;0:11:2:0;0:12:38:0;1
2;84;4;6;0:13:48:0;0:14:32:0;1
2;96;6;4;0:15:26:0;0:16:10:0;1
2;36;4;2;0:16:10:0;0:17:50:0;1
2;8;2;3;0:18:26:0;0:19:44:0;1
2;ZD8;3;1;0:19:44:0;0:20:8:0;3
3;VD90;1;6;0:5:47:0;0:6:6:0;4
3;90;6;4;0:6:6:0;0:6:56:0;1
3;80;4;6;0:7:8:0;0:7:58:0;1
3;92;6;4;0:8:46:0;0:9:36:0;1
3;73;4;3;0:10:15:0;0:11:47:0;1
3;63;3;4;0:11:55:0;0:13:27:0;1
3;75;4;3;0:14:15:0;0:15:51:0;1
3;66;3;4;0:16:35:0;0:18:11:0;1
3;78;4;3;0:18:15:0;0:19:51:0;1
3;19;3;2;0:20:10:0;0:21:19:0;1
3;ZD19;2;1;0:21:19:0;0:21:43:0;3
4;VD31;1;4;0:7:44:0;0:8:10:0;4
4;31;4;2;0:8:10:0;0:10:5:0;1
4;25;2;4;0:14:22:0;0:16:2:0;1
4;86;4;6;0:16:28:0;0:17:12:0;1
4;98;6;4;0:18:6:0;0:18:50:0;1
4;38;4;2;0:18:50:0;0:20:30:0;1
4;ZD38;2;1;0:20:30:0;0:20:54:0;3
