*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
13;1;1;-1
14;1;1;-1
15;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD70;1;4;0:7:5:0;0:7:15:0;4
1;70;4;3;0:7:15:0;0:9:7:0;1
1;62;3;4;0:9:39:0;0:11:13:0;1
1;74;4;3;0:13:55:0;0:15:33:0;1
1;16;3;2;0:16:11:0;0:17:8:0;1
1;47;2;5;0:17:34:0;0:19:36:0;1
1;59;5;2;0:19:50:0;0:21:38:0;1
1;29;2;4;0:23:15:0;1:0:13:0;1
1;ZD29;4;1;1:0:13:0;1:0:23:0;3
2;VD1;1;2;0:6:59:0;0:7:21:0;4
2;1;2;3;0:7:21:0;0:8:26:0;1
2;12;3;2;0:9:31:0;0:10:26:0;1
2;4;2;3;0:12:1:0;0:12:56:0;1
2;15;3;2;0:14:51:0;0:15:48:0;1
2;46;2;5;0:16:14:0;0:18:16:0;1
2;58;5;2;0:18:30:0;0:20:32:0;1
2;ZD58;2;1;0:20:32:0;0:20:54:0;3
3;VD51;1;5;0:6:59:0;0:7:50:0;4
3;51;5;2;0:7:50:0;0:10:10:0;1
3;ZD51;2;1;0:10:10:0;0:10:32:0;3
4;VD20;1;2;0:6:53:0;0:7:15:0;4
4;20;2;4;0:7:15:0;0:8:30:0;1
4;71;4;3;0:8:35:0;0:10:27:0;1
4;13;3;2;0:11:31:0;0:12:26:0;1
4;5;2;3;0:14:1:0;0:14:58:0;1
4;65;3;4;0:14:59:0;0:16:37:0;1
4;87;4;6;0:17:21:0;0:18:4:0;1
4;98;6;4;0:18:12:0;0:18:55:0;1
4;38;4;2;0:19:13:0;0:20:11:0;1
4;49;2;5;0:20:14:0;0:22:2:0;1
4;ZD49;5;1;0:22:2:0;0:22:53:0;3
5;VD40;1;2;0:6:32:0;0:6:54:0;4
5;40;2;5;0:6:54:0;0:9:14:0;1
5;ZD40;5;1;0:9:14:0;0:10:5:0;3
6;VD80;1;4;0:6:31:0;0:6:41:0;4
6;80;4;6;0:6:41:0;0:7:30:0;1
6;91;6;4;0:7:32:0;0:8:21:0;1
6;31;4;2;0:8:33:0;0:9:48:0;1
6;22;2;4;0:9:55:0;0:10:58:0;1
6;83;4;6;0:11:21:0;0:12:2:0;1
6;94;6;4;0:12:12:0;0:12:53:0;1
6;34;4;2;0:13:53:0;0:14:58:0;1
6;6;2;3;0:15:21:0;0:16:18:0;1
6;66;3;4;0:16:19:0;0:17:57:0;1
6;88;4;6;0:18:41:0;0:19:24:0;1
6;99;6;4;0:19:32:0;0:20:10:0;1
6;ZD99;4;1;0:20:10:0;0:20:20:0;3
7;VD60;1;3;0:6:24:0;0:6:59:0;4
7;60;3;4;0:6:59:0;0:8:51:0;1
7;82;4;6;0:9:21:0;0:10:2:0;1
7;93;6;4;0:10:12:0;0:10:53:0;1
7;33;4;2;0:11:53:0;0:12:56:0;1
7;24;2;4;0:13:55:0;0:15:0:0;1
7;75;4;3;0:15:15:0;0:16:53:0;1
7;17;3;2;0:17:31:0;0:18:28:0;1
7;48;2;5;0:18:54:0;0:20:56:0;1
7;ZD48;5;1;0:20:56:0;0:21:47:0;3
8;VD10;1;3;0:6:16:0;0:6:51:0;4
8;10;3;2;0:6:51:0;0:7:56:0;1
8;41;2;5;0:8:14:0;0:10:34:0;1
8;53;5;2;0:11:10:0;0:13:7:0;1
8;44;2;5;0:13:34:0;0:15:36:0;1
8;56;5;2;0:15:50:0;0:17:52:0;1
8;27;2;4;0:17:55:0;0:19:0:0;1
8;78;4;3;0:19:15:0;0:20:41:0;1
8;ZD78;3;1;0:20:41:0;0:21:16:0;3
9;VD90;1;6;0:6:0:0;0:6:12:0;4
9;90;6;4;0:6:12:0;0:7:1:0;1
9;30;4;2;0:7:13:0;0:8:28:0;1
9;21;2;4;0:8:35:0;0:9:50:0;1
9;72;4;3;0:9:55:0;0:11:29:0;1
9;63;3;4;0:11:39:0;0:13:13:0;1
9;85;4;6;0:14:41:0;0:15:24:0;1
9;96;6;4;0:15:32:0;0:16:15:0;1
9;36;4;2;0:16:33:0;0:17:38:0;1
9;8;2;3;0:18:1:0;0:18:58:0;1
9;68;3;4;0:18:59:0;0:20:37:0;1
9;39;4;2;0:23:13:0;1:0:11:0;1
9;ZD39;2;1;1:0:11:0;1:0:33:0;3
10;VD61;1;3;0:7:44:0;0:8:19:0;4
10;61;3;4;0:8:19:0;0:10:11:0;1
10;73;4;3;0:11:55:0;0:13:29:0;1
10;64;3;4;0:13:39:0;0:15:17:0;1
10;86;4;6;0:16:1:0;0:16:44:0;1
10;97;6;4;0:16:52:0;0:17:35:0;1
