*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
13;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD41;1;2;0:7:35:0;0:7:50:0;4
1;41;2;5;0:7:50:0;0:9:37:0;1
1;53;5;2;0:11:18:0;0:12:47:0;1
1;44;2;5;0:13:10:0;0:14:43:0;1
1;56;5;2;0:15:58:0;0:17:31:0;1
1;27;2;4;0:17:46:0;0:18:38:0;1
1;79;4;3;0:19:39:0;0:21:4:0;1
1;19;3;2;0:23:3:0;1:0:19:0;1
1;ZD19;2;1;1:0:19:0;1:0:34:0;3
2;VD51;1;5;0:7:22:0;0:7:58:0;4
2;51;5;2;0:7:58:0;0:9:45:0;1
2;22;2;4;0:9:46:0;0:10:36:0;1
2;74;4;3;0:12:19:0;0:13:51:0;1
2;65;3;4;0:14:45:0;0:16:21:0;1
2;36;4;2;0:16:21:0;0:17:13:0;1
2;48;2;5;0:18:30:0;0:20:3:0;1
2;ZD48;5;1;0:20:3:0;0:20:39:0;3
3;VD71;1;4;0:7:15:0;0:7:39:0;4
3;71;4;3;0:7:39:0;0:9:30:0;1
3;12;3;2;0:9:43:0;0:11:5:0;1
3;23;2;4;0:11:46:0;0:12:36:0;1
3;75;4;3;0:14:19:0;0:15:55:0;1
3;66;3;4;0:16:5:0;0:17:41:0;1
3;37;4;2;0:17:41:0;0:18:33:0;1
3;ZD37;2;1;0:18:33:0;0:18:48:0;3
4;VD0;1;2;0:6:54:0;0:7:9:0;4
4;0;2;3;0:7:9:0;0:8:47:0;1
4;62;3;4;0:9:25:0;0:10:57:0;1
4;83;4;6;0:11:10:0;0:11:38:0;1
4;93;6;4;0:11:53:0;0:12:21:0;1
4;34;4;2;0:13:41:0;0:14:33:0;1
4;46;2;5;0:15:50:0;0:17:23:0;1
4;58;5;2;0:18:38:0;0:20:11:0;1
4;ZD58;2;1;0:20:11:0;0:20:26:0;3
5;VD20;1;2;0:6:51:0;0:7:6:0;4
5;20;2;4;0:7:6:0;0:8:5:0;1
5;31;4;2;0:8:21:0;0:9:20:0;1
5;2;2;3;0:9:49:0;0:11:11:0;1
5;63;3;4;0:11:25:0;0:12:57:0;1
5;84;4;6;0:13:10:0;0:13:39:0;1
5;94;6;4;0:13:53:0;0:14:22:0;1
5;85;4;6;0:14:30:0;0:14:59:0;1
5;95;6;4;0:15:13:0;0:15:42:0;1
5;86;4;6;0:15:50:0;0:16:19:0;1
5;96;6;4;0:16:33:0;0:17:2:0;1
5;87;4;6;0:17:10:0;0:17:39:0;1
5;97;6;4;0:17:53:0;0:18:22:0;1
5;88;4;6;0:18:30:0;0:18:59:0;1
5;98;6;4;0:19:13:0;0:19:38:0;1
5;89;4;6;0:19:50:0;0:20:15:0;1
5;99;6;4;0:23:13:0;0:23:38:0;1
5;ZD99;4;1;0:23:38:0;1:0:2:0;3
6;VD10;1;3;0:6:37:0;0:7:3:0;4
