*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD1;1;2;0:7:27:0;0:8:5:0;4
1;1;2;3;0:8:5:0;0:9:5:0;1
1;62;3;4;0:9:9:0;0:9:56:0;1
1;73;4;3;0:11:53:0;0:12:40:0;1
1;64;3;4;0:13:9:0;0:13:58:0;1
1;35;4;2;0:14:43:0;0:16:4:0;1
1;6;2;3;0:16:5:0;0:16:58:0;1
1;67;3;4;0:17:9:0;0:17:58:0;1
1;38;4;2;0:18:43:0;0:20:4:0;1
1;9;2;3;0:20:5:0;0:20:52:0;1
1;ZD9;3;1;0:20:52:0;0:21:7:0;3
2;VD11;1;3;0:7:10:0;0:7:25:0;4
2;11;3;2;0:7:25:0;0:8:25:0;1
2;21;2;4;0:8:39:0;0:10:13:0;1
2;83;4;6;0:10:19:0;0:11:8:0;1
2;94;6;4;0:12:7:0;0:12:56:0;1
2;85;4;6;0:14:19:0;0:15:10:0;1
2;96;6;4;0:15:27:0;0:16:18:0;1
2;76;4;3;0:16:33:0;0:17:22:0;1
2;18;3;2;0:18:5:0;0:18:58:0;1
2;49;2;5;0:19:22:0;0:20:49:0;1
2;59;5;2;0:23:6:0;1:0:33:0;1
2;ZD59;2;1;1:0:33:0;1:1:11:0;3
3;VD50;1;5;0:6:46:0;0:7:6:0;4
3;50;5;2;0:7:6:0;0:9:0:0;1
3;2;2;3;0:9:25:0;0:10:15:0;1
3;14;3;2;0:12:5:0;0:12:55:0;1
3;45;2;5;0:14:2:0;0:15:41:0;1
3;56;5;2;0:16:26:0;0:18:5:0;1
3;28;2;4;0:19:19:0;0:20:31:0;1
3;ZD28;4;1;0:20:31:0;0:21:0:0;3
4;VD41;1;2;0:6:44:0;0:7:22:0;4
4;41;2;5;0:7:22:0;0:9:16:0;1
4;52;5;2;0:9:46:0;0:11:21:0;1
4;44;2;5;0:12:2:0;0:13:37:0;1
4;55;5;2;0:15:6:0;0:16:45:0;1
4;27;2;4;0:17:59:0;0:19:20:0;1
4;89;4;6;0:19:39:0;0:20:24:0;1
4;ZD89;6;1;0:20:24:0;0:21:1:0;3
5;VD60;1;3;0:6:14:0;0:6:29:0;4
5;60;3;4;0:6:29:0;0:7:25:0;1
5;81;4;6;0:7:39:0;0:8:37:0;1
