*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD31;1;4;0:7:34:0;0:8:3:0;4
1;31;4;2;0:8:3:0;0:9:37:0;1
1;43;2;5;0:10:2:0;0:11:37:0;1
1;54;5;2;0:13:46:0;0:15:25:0;1
1;47;2;5;0:16:42:0;0:18:21:0;1
1;58;5;2;0:19:6:0;0:20:33:0;1
1;ZD58;2;1;0:20:33:0;0:21:11:0;3
2;VD40;1;2;0:5:24:0;0:6:2:0;4
2;40;2;5;0:6:2:0;0:7:56:0;1
2;51;5;2;0:8:26:0;0:10:20:0;1
2;23;2;4;0:11:59:0;0:13:17:0;1
2;74;4;3;0:13:53:0;0:14:42:0;1
2;16;3;2;0:15:25:0;0:16:18:0;1
2;26;2;4;0:16:39:0;0:18:0:0;1
2;88;4;6;0:18:19:0;0:19:10:0;1
2;99;6;4;0:19:27:0;0:20:12:0;1
2;ZD99;4;1;0:20:12:0;0:20:41:0;3
3;VD90;1;6;0:5:30:0;0:6:7:0;4
3;90;6;4;0:6:7:0;0:7:5:0;1
3;70;4;3;0:7:13:0;0:8:9:0;1
3;12;3;2;0:8:45:0;0:9:45:0;1
3;22;2;4;0:9:59:0;0:11:17:0;1
3;73;4;3;0:11:53:0;0:12:40:0;1
3;64;3;4;0:13:9:0;0:13:58:0;1
3;85;4;6;0:14:19:0;0:15:10:0;1
3;96;6;4;0:15:27:0;0:16:18:0;1
3;76;4;3;0:16:33:0;0:17:22:0;1
3;18;3;2;0:18:5:0;0:18:58:0;1
3;28;2;4;0:19:19:0;0:20:31:0;1
3;ZD28;4;1;0:20:31:0;0:21:0:0;3
4;VD10;1;3;0:5:50:0;0:6:5:0;4
4;10;3;2;0:6:5:0;0:7:5:0;1
4;20;2;4;0:7:19:0;0:8:53:0;1
4;82;4;6;0:8:59:0;0:9:57:0;1
4;93;6;4;0:10:7:0;0:10:56:0;1
4;33;4;2;0:11:23:0;0:12:41:0;1
4;4;2;3;0:13:25:0;0:14:18:0;1
4;65;3;4;0:14:29:0;0:15:18:0;1
4;36;4;2;0:16:3:0;0:17:24:0;1
4;7;2;3;0:17:25:0;0:18:18:0;1
4;68;3;4;0:18:29:0;0:19:18:0;1
4;39;4;2;0:20:3:0;0:21:15:0;1
4;29;2;4;0:23:19:0;1:0:31:0;1
4;ZD29;4;1;1:0:31:0;1:1:0:0;3
5;VD80;1;4;0:5:50:0;0:6:19:0;4
5;80;4;6;0:6:19:0;0:7:17:0;1
5;91;6;4;0:7:27:0;0:8:25:0;1
5;71;4;3;0:8:33:0;0:9:29:0;1
5;13;3;2;0:10:5:0;0:10:55:0;1
5;24;2;4;0:13:59:0;0:15:20:0;1
5;86;4;6;0:15:39:0;0:16:30:0;1
5;97;6;4;0:16:47:0;0:17:38:0;1
5;77;4;3;0:17:53:0;0:18:42:0;1
5;19;3;2;0:19:25:0;0:20:12:0;1
5;ZD19;2;1;0:20:12:0;0:20:50:0;3
6;VD0;1;2;0:6:7:0;0:6:45:0;4
6;0;2;3;0:6:45:0;0:7:45:0;1
6;61;3;4;0:7:49:0;0:8:45:0;1
6;32;4;2;0:9:23:0;0:10:41:0;1
6;3;2;3;0:11:25:0;0:12:15:0;1
6;15;3;2;0:14:5:0;0:14:58:0;1
6;25;2;4;0:15:19:0;0:16:40:0;1
6;87;4;6;0:16:59:0;0:17:50:0;1
6;98;6;4;0:18:7:0;0:18:58:0;1
6;78;4;3;0:19:13:0;0:19:56:0;1
6;ZD78;3;1;0:19:56:0;0:20:11:0;3
7;VD30;1;4;0:6:14:0;0:6:43:0;4
7;30;4;2;0:6:43:0;0:8:17:0;1
7;42;2;5;0:8:42:0;0:10:36:0;1
7;53;5;2;0:11:46:0;0:13:21:0;1
7;45;2;5;0:14:2:0;0:15:41:0;1
7;56;5;2;0:16:26:0;0:18:5:0;1
7;49;2;5;0:19:22:0;0:20:49:0;1
7;59;5;2;0:23:6:0;1:0:33:0;1
7;ZD59;2;1;1:0:33:0;1:1:11:0;3
8;VD60;1;3;0:6:14:0;0:6:29:0;4
8;60;3;4;0:6:29:0;0:7:25:0;1
8;81;4;6;0:7:39:0;0:8:37:0;1
8;92;6;4;0:8:47:0;0:9:45:0;1
8;72;4;3;0:9:53:0;0:10:40:0;1
8;63;3;4;0:11:9:0;0:11:56:0;1
8;84;4;6;0:12:19:0;0:13:8:0;1
8;95;6;4;0:14:7:0;0:14:58:0;1
8;75;4;3;0:15:13:0;0:16:2:0;1
8;17;3;2;0:16:45:0;0:17:38:0;1
8;27;2;4;0:17:59:0;0:19:20:0;1
8;89;4;6;0:19:39:0;0:20:24:0;1
8;ZD89;6;1;0:20:24:0;0:21:1:0;3
9;VD41;1;2;0:6:44:0;0:7:22:0;4
9;41;2;5;0:7:22:0;0:9:16:0;1
9;52;5;2;0:9:46:0;0:11:21:0;1
9;44;2;5;0:12:2:0;0:13:37:0;1
9;55;5;2;0:15:6:0;0:16:45:0;1
9;48;2;5;0:18:2:0;0:19:41:0;1
9;ZD48;5;1;0:19:41:0;0:20:1:0;3
10;VD50;1;5;0:6:46:0;0:7:6:0;4
10;50;5;2;0:7:6:0;0:9:0:0;1
10;2;2;3;0:9:25:0;0:10:15:0;1
10;14;3;2;0:12:5:0;0:12:55:0;1
