*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
13;1;1;-1
14;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD1;1;2;0:7:31:0;0:7:39:0;4
1;1;2;3;0:7:39:0;0:9:2:0;1
1;62;3;4;0:9:36:0;0:10:34:0;1
1;83;4;6;0:11:47:0;0:13:0:0;1
1;95;6;4;0:14:7:0;0:15:23:0;1
1;76;4;3;0:16:13:0;0:17:13:0;1
1;17;3;2;0:17:31:0;0:18:43:0;1
1;28;2;4;0:19:3:0;0:20:12:0;1
1;79;4;3;0:20:13:0;0:21:6:0;1
1;ZD79;3;1;0:21:6:0;0:21:33:0;3
2;VD41;1;2;0:7:26:0;0:7:34:0;4
2;41;2;5;0:7:34:0;0:9:32:0;1
2;ZD41;5;1;0:9:32:0;0:10:13:0;3
3;VD51;1;5;0:7:23:0;0:8:4:0;4
3;51;5;2;0:8:4:0;0:10:2:0;1
3;3;2;3;0:10:19:0;0:11:28:0;1
3;64;3;4;0:13:36:0;0:14:36:0;1
3;35;4;2;0:15:18:0;0:16:36:0;1
3;47;2;5;0:16:54:0;0:18:37:0;1
3;58;5;2;0:18:44:0;0:20:27:0;1
3;ZD38;2;1;0:20:27:0;0:20:35:0;3
4;VD91;1;6;0:7:2:0;0:7:27:0;4
4;91;6;4;0:7:27:0;0:8:55:0;1
4;72;4;3;0:9:33:0;0:10:31:0;1
4;13;3;2;0:11:31:0;0:12:40:0;1
4;24;2;4;0:13:43:0;0:15:1:0;1
4;85;4;6;0:15:7:0;0:16:23:0;1
4;97;6;4;0:16:47:0;0:18:3:0;1
4;78;4;3;0:18:53:0;0:19:53:0;1
4;19;3;2;0:20:11:0;0:21:15:0;1
4;ZD19;2;1;0:21:15:0;0:21:23:0;3
5;VD20;1;2;0:6:55:0;0:7:3:0;4
5;20;2;4;0:7:3:0;0:8:32:0;1
5;31;4;2;0:8:38:0;0:10:7:0;1
5;43;2;5;0:10:14:0;0:11:53:0;1
5;54;5;2;0:13:24:0;0:15:7:0;1
5;6;2;3;0:15:39:0;0:16:51:0;1
5;67;3;4;0:17:36:0;0:18:36:0;1
5;38;4;2;0:19:18:0;0:20:27:0;1
5;ZD38;2;1;0:20:27:0;0:20:35:0;3
6;VD30;1;4;0:6:49:0;0:7:18:0;4
6;30;4;2;0:7:18:0;0:8:47:0;1
6;42;2;5;0:8:54:0;0:10:52:0;1
6;53;5;2;0:11:24:0;0:13:3:0;1
6;5;2;3;0:14:19:0;0:15:31:0;1
6;66;3;4;0:16:16:0;0:17:16:0;1
6;37;4;2;0:17:58:0;0:19:16:0;1
6;49;2;5;0:19:34:0;0:21:5:0;1
6;ZD49;5;1;0:21:5:0;0:21:46:0;3
7;VD80;1;4;0:6:38:0;0:7:7:0;4
7;80;4;6;0:7:7:0;0:8:35:0;1
7;92;6;4;0:8:47:0;0:10:15:0;1
7;73;4;3;0:11:33:0;0:12:31:0;1
7;14;3;2;0:13:31:0;0:14:43:0;1
7;25;2;4;0:15:3:0;0:16:21:0;1
7;86;4;6;0:16:27:0;0:17:43:0;1
7;98;6;4;0:18:7:0;0:19:23:0;1
7;ZD98;4;1;0:19:23:0;0:19:52:0;3
8;VD60;1;3;0:6:29:0;0:6:56:0;4
8;60;3;4;0:6:56:0;0:8:5:0;1
8;81;4;6;0:8:27:0;0:9:55:0;1
8;93;6;4;0:10:7:0;0:11:20:0;1
8;33;4;2;0:11:58:0;0:13:12:0;1
8;45;2;5;0:14:14:0;0:15:57:0;1
8;56;5;2;0:16:4:0;0:17:47:0;1
8;8;2;3;0:18:19:0;0:19:31:0;1
8;69;3;4;0:20:16:0;0:21:9:0;1
8;89;4;6;0:23:7:0;1:0:15:0;1
8;ZD89;6;1;1:0:15:0;1:0:40:0;3
9;VD10;1;3;0:6:24:0;0:6:51:0;4
9;10;3;2;0:6:51:0;0:8:14:0;1
9;21;2;4;0:8:23:0;0:9:52:0;1
9;32;4;2;0:9:58:0;0:11:12:0;1
9;44;2;5;0:12:14:0;0:13:53:0;1
9;55;5;2;0:14:44:0;0:16:27:0;1
9;7;2;3;0:16:59:0;0:18:11:0;1
9;68;3;4;0:18:56:0;0:19:56:0;1
9;ZD68;4;1;0:19:56:0;0:20:25:0;3
10;VD70;1;4;0:6:24:0;0:6:53:0;4
10;70;4;3;0:6:53:0;0:8:2:0;1
10;11;3;2;0:8:11:0;0:9:34:0;1
10;22;2;4;0:9:43:0;0:10:57:0;1
10;74;4;3;0:13:33:0;0:14:33:0;1
10;15;3;2;0:14:51:0;0:16:3:0;1
10;26;2;4;0:16:23:0;0:17:41:0;1
10;87;4;6;0:17:47:0;0:19:3:0;1
10;99;6;4;0:19:27:0;0:20:35:0;1
10;39;4;2;0:23:18:0;1:0:27:0;1
