*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
13;1;1;-1
14;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD1;1;2;0:7:31:0;0:7:39:0;4
1;1;2;3;0:7:39:0;0:9:2:0;1
1;12;3;2;0:9:31:0;0:10:40:0;1
1;4;2;3;0:12:19:0;0:13:28:0;1
1;15;3;2;0:14:51:0;0:16:3:0;1
1;26;2;4;0:16:23:0;0:17:41:0;1
1;37;4;2;0:17:58:0;0:19:16:0;1
1;9;2;3;0:19:39:0;0:20:43:0;1
1;ZD9;3;1;0:20:43:0;0:21:10:0;3
2;VD41;1;2;0:7:26:0;0:7:34:0;4
2;41;2;5;0:7:34:0;0:9:32:0;1
2;ZD41;5;1;0:9:32:0;0:10:13:0;3
3;VD51;1;5;0:7:23:0;0:8:4:0;4
3;51;5;2;0:8:4:0;0:10:2:0;1
3;43;2;5;0:10:14:0;0:11:53:0;1
3;54;5;2;0:13:24:0;0:15:7:0;1
3;46;2;5;0:15:34:0;0:17:17:0;1
3;57;5;2;0:17:24:0;0:19:7:0;1
3;49;2;5;0:19:34:0;0:21:5:0;1
3;ZD49;5;1;0:21:5:0;0:21:46:0;3
4;VD91;1;6;0:7:2:0;0:7:27:0;4
4;91;6;4;0:7:27:0;0:8:55:0;1
4;82;4;6;0:9:47:0;0:11:0:0;1
4;94;6;4;0:12:7:0;0:13:20:0;1
4;84;4;6;0:13:47:0;0:15:3:0;1
4;96;6;4;0:15:27:0;0:16:43:0;1
4;87;4;6;0:17:47:0;0:19:3:0;1
4;99;6;4;0:19:27:0;0:20:35:0;1
4;89;4;6;0:23:7:0;1:0:15:0;1
4;ZD89;6;1;1:0:15:0;1:0:40:0;3
5;VD20;1;2;0:6:55:0;0:7:3:0;4
5;20;2;4;0:7:3:0;0:8:32:0;1
5;31;4;2;0:8:38:0;0:10:7:0;1
5;3;2;3;0:10:19:0;0:11:28:0;1
5;14;3;2;0:13:31:0;0:14:43:0;1
5;25;2;4;0:15:3:0;0:16:21:0;1
5;36;4;2;0:16:38:0;0:17:56:0;1
5;8;2;3;0:18:19:0;0:19:31:0;1
5;19;3;2;0:20:11:0;0:21:15:0;1
5;ZD19;2;1;0:21:15:0;0:21:23:0;3
6;VD30;1;4;0:6:49:0;0:7:18:0;4
6;30;4;2;0:7:18:0;0:8:47:0;1
6;2;2;3;0:8:59:0;0:10:22:0;1
6;13;3;2;0:11:31:0;0:12:40:0;1
6;5;2;3;0:14:19:0;0:15:31:0;1
6;16;3;2;0:16:11:0;0:17:23:0;1
6;27;2;4;0:17:43:0;0:19:1:0;1
6;38;4;2;0:19:18:0;0:20:27:0;1
6;ZD38;2;1;0:20:27:0;0:20:35:0;3
7;VD80;1;4;0:6:38:0;0:7:7:0;4
7;80;4;6;0:7:7:0;0:8:35:0;1
7;92;6;4;0:8:47:0;0:10:15:0;1
7;85;4;6;0:15:7:0;0:16:23:0;1
7;97;6;4;0:16:47:0;0:18:3:0;1
7;88;4;6;0:19:7:0;0:20:15:0;1
7;ZD88;6;1;0:20:15:0;0:20:40:0;3
8;VD60;1;3;0:6:29:0;0:6:56:0;4
8;60;3;4;0:6:56:0;0:8:5:0;1
8;71;4;3;0:8:13:0;0:9:22:0;1
8;62;3;4;0:9:36:0;0:10:34:0;1
8;73;4;3;0:11:33:0;0:12:31:0;1
8;64;3;4;0:13:36:0;0:14:36:0;1
8;75;4;3;0:14:53:0;0:15:53:0;1
8;66;3;4;0:16:16:0;0:17:16:0;1
8;77;4;3;0:17:33:0;0:18:33:0;1
8;68;3;4;0:18:56:0;0:19:56:0;1
8;ZD68;4;1;0:19:56:0;0:20:25:0;3
9;VD10;1;3;0:6:24:0;0:6:51:0;4
9;10;3;2;0:6:51:0;0:8:14:0;1
9;21;2;4;0:8:23:0;0:9:52:0;1
9;32;4;2;0:9:58:0;0:11:12:0;1
9;23;2;4;0:11:43:0;0:12:57:0;1
9;34;4;2;0:13:58:0;0:15:16:0;1
9;6;2;3;0:15:39:0;0:16:51:0;1
9;17;3;2;0:17:31:0;0:18:43:0;1
9;28;2;4;0:19:3:0;0:20:12:0;1
9;79;4;3;0:20:13:0;0:21:6:0;1
9;ZD79;3;1;0:21:6:0;0:21:33:0;3
10;VD70;1;4;0:6:24:0;0:6:53:0;4
10;70;4;3;0:6:53:0;0:8:2:0;1
10;61;3;4;0:8:16:0;0:9:25:0;1
10;72;4;3;0:9:33:0;0:10:31:0;1
10;63;3;4;0:11:36:0;0:12:34:0;1
10;74;4;3;0:13:33:0;0:14:33:0;1
10;65;3;4;0:14:56:0;0:15:56:0;1
10;76;4;3;0:16:13:0;0:17:13:0;1
10;67;3;4;0:17:36:0;0:18:36:0;1
10;78;4;3;0:18:53:0;0:19:53:0;1
