*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
12;1;1;-1
13;1;1;-1
14;1;1;-1
15;1;1;-1
16;1;1;-1
17;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD11;1;3;0:7:27:0;0:8:23:0;4
1;11;3;2;0:8:23:0;0:11:9:0;1
1;3;2;3;0:11:9:0;0:13:28:0;1
1;65;3;4;0:14:20:0;0:16:31:0;1
1;37;4;2;0:16:42:0;0:18:14:0;1
1;48;2;5;0:18:40:0;0:19:12:0;1
1;59;5;2;0:20:15:0;0:20:43:0;1
1;ZD39;2;1;0:20:43:0;0:20:56:0;3
2;VD91;1;6;0:7:24:0;0:7:32:0;4
2;91;6;4;0:7:32:0;0:9:6:0;1
2;72;4;3;0:9:8:0;0:11:13:0;1
2;13;3;2;0:11:43:0;0:14:2:0;1
2;6;2;3;0:15:49:0;0:18:14:0;1
2;68;3;4;0:18:20:0;0:20:31:0;1
2;ZD68;4;1;0:20:31:0;0:21:15:0;3
3;VD81;1;4;0:6:51:0;0:7:35:0;4
3;81;4;6;0:7:35:0;0:9:9:0;1
3;93;6;4;0:10:12:0;0:11:31:0;1
3;85;4;6;0:14:15:0;0:15:37:0;1
3;97;6;4;0:16:52:0;0:18:14:0;1
3;78;4;3;0:18:28:0;0:20:39:0;1
3;ZD78;3;1;0:20:39:0;0:21:35:0;3
4;VD61;1;3;0:6:44:0;0:7:40:0;4
4;61;3;4;0:7:40:0;0:10:10:0;1
4;83;4;6;0:10:15:0;0:11:34:0;1
4;96;6;4;0:15:32:0;0:16:54:0;1
4;77;4;3;0:17:8:0;0:19:19:0;1
4;ZD77;3;1;0:19:19:0;0:20:15:0;3
5;VD31;1;4;0:6:38:0;0:7:22:0;4
5;31;4;2;0:7:22:0;0:9:7:0;1
5;2;2;3;0:9:9:0;0:11:28:0;1
5;64;3;4;0:13:0:0;0:15:11:0;1
5;36;4;2;0:15:22:0;0:16:54:0;1
5;27;2;4;0:17:6:0;0:18:38:0;1
5;89;4;6;0:19:35:0;0:20:48:0;1
5;ZD89;6;1;0:20:48:0;0:20:56:0;3
6;VD50;1;5;0:6:28:0;0:6:55:0;4
6;50;5;2;0:6:55:0;0:7:32:0;1
6;21;2;4;0:7:46:0;0:9:31:0;1
6;33;4;2;0:10:2:0;0:11:30:0;1
6;5;2;3;0:14:29:0;0:16:54:0;1
6;67;3;4;0:17:0:0;0:19:11:0;1
6;39;4;2;0:19:22:0;0:20:43:0;1
6;ZD39;2;1;0:20:43:0;0:20:56:0;3
7;VD40;1;2;0:6:27:0;0:6:40:0;4
7;40;2;5;0:6:40:0;0:7:17:0;1
7;51;5;2;0:8:15:0;0:8:52:0;1
7;22;2;4;0:9:6:0;0:10:34:0;1
7;73;4;3;0:11:8:0;0:13:13:0;1
7;14;3;2;0:13:43:0;0:16:8:0;1
7;47;2;5;0:17:20:0;0:17:52:0;1
7;58;5;2;0:18:55:0;0:19:27:0;1
7;9;2;3;0:19:49:0;0:21:57:0;1
7;19;3;2;0:23:3:0;1:1:11:0;1
7;ZD19;2;1;1:1:11:0;1:1:24:0;3
8;VD0;1;2;0:6:16:0;0:6:29:0;4
8;0;2;3;0:6:29:0;0:9:15:0;1
8;12;3;2;0:9:43:0;0:12:2:0;1
8;44;2;5;0:13:20:0;0:13:52:0;1
8;55;5;2;0:14:55:0;0:15:27:0;1
8;26;2;4;0:15:46:0;0:17:18:0;1
8;88;4;6;0:18:15:0;0:19:37:0;1
8;ZD88;6;1;0:19:37:0;0:19:45:0;3
9;VD20;1;2;0:6:13:0;0:6:26:0;4
9;20;2;4;0:6:26:0;0:8:11:0;1
