*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;1;-1
2;1;1;-1
3;1;1;-1
4;1;1;-1
5;1;1;-1
6;1;1;-1
7;1;1;-1
8;1;1;-1
9;1;1;-1
10;1;1;-1
11;1;1;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD40;1;2;0:6:18:0;0:6:35:0;4
1;40;2;5;0:6:35:0;0:7:7:0;1
1;51;5;2;0:7:39:0;0:8:11:0;1
1;2;2;3;0:8:56:0;0:9:57:0;1
1;63;3;4;0:10:16:0;0:10:46:0;1
1;83;4;6;0:11:3:0;0:12:14:0;1
1;94;6;4;0:13:3:0;0:14:17:0;1
1;85;4;6;0:14:23:0;0:15:37:0;1
1;96;6;4;0:15:43:0;0:16:57:0;1
1;87;4;6;0:17:3:0;0:18:17:0;1
1;98;6;4;0:18:23:0;0:19:37:0;1
1;89;4;6;0:19:43:0;0:20:49:0;1
1;ZD89;6;1;0:20:49:0;0:21:11:0;3
2;VD50;1;5;0:6:12:0;0:6:19:0;4
2;50;5;2;0:6:19:0;0:6:51:0;1
2;1;2;3;0:7:36:0;0:8:37:0;1
2;62;3;4;0:8:56:0;0:9:31:0;1
2;32;4;2;0:9:54:0;0:10:22:0;1
2;4;2;3;0:12:16:0;0:13:7:0;1
2;65;3;4;0:14:16:0;0:14:47:0;1
2;35;4;2;0:15:14:0;0:15:44:0;1
2;26;2;4;0:15:46:0;0:16:16:0;1
2;77;4;3;0:16:56:0;0:17:27:0;1
2;18;3;2;0:18:2:0;0:18:55:0;1
2;9;2;3;0:19:36:0;0:20:23:0;1
2;ZD9;3;1;0:20:23:0;0:20:35:0;3
3;VD80;1;4;0:6:9:0;0:6:23:0;4
3;80;4;6;0:6:23:0;0:7:48:0;1
3;92;6;4;0:9:3:0;0:10:14:0;1
3;33;4;2;0:11:54:0;0:12:22:0;1
3;24;2;4;0:13:6:0;0:13:36:0;1
3;75;4;3;0:14:16:0;0:14:47:0;1
3;16;3;2;0:15:22:0;0:16:15:0;1
3;7;2;3;0:16:56:0;0:17:49:0;1
3;68;3;4;0:18:16:0;0:18:47:0;1
3;38;4;2;0:19:14:0;0:19:40:0;1
3;29;2;4;0:19:46:0;0:20:12:0;1
3;ZD29;4;1;0:20:12:0;0:20:26:0;3
4;VD20;1;2;0:6:9:0;0:6:26:0;4
4;20;2;4;0:6:26:0;0:7:0:0;1
4;71;4;3;0:7:36:0;0:8:11:0;1
4;12;3;2;0:8:42:0;0:9:43:0;1
4;43;2;5;0:11:15:0;0:11:42:0;1
4;54;5;2;0:12:19:0;0:12:46:0;1
4;5;2;3;0:14:16:0;0:15:9:0;1
4;66;3;4;0:15:36:0;0:16:7:0;1
4;36;4;2;0:16:34:0;0:17:4:0;1
4;27;2;4;0:17:6:0;0:17:36:0;1
4;78;4;3;0:18:16:0;0:18:47:0;1
