*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD91;3;8;0:7:4:0;0:7:26:0;4
1;91;8;6;0:7:26:0;0:8:2:0;1
1;81;6;8;0:8:28:0;0:9:4:0;1
1;93;8;6;0:10:6:0;0:10:38:0;1
1;33;6;4;0:11:30:0;0:12:42:0;1
1;5;4;5;0:14:26:0;0:15:26:0;1
1;16;5;4;0:16:10:0;0:17:10:0;1
1;8;4;5;0:18:26:0;0:19:26:0;1
1;ZD8;5;3;0:19:26:0;0:20:4:0;3
2;VD71;3;6;0:7:20:0;0:7:35:0;4
2;71;6;5;0:7:35:0;0:8:54:0;1
2;62;5;6;0:9:55:0;0:11:4:0;1
2;74;6;5;0:12:15:0;0:13:24:0;1
2;15;5;4;0:14:50:0;0:15:50:0;1
2;7;4;5;0:17:6:0;0:18:6:0;1
2;18;5;4;0:18:50:0;0:19:50:0;1
2;ZD18;4;3;0:19:50:0;0:20:22:0;3
3;VD1;3;4;0:7:14:0;0:7:46:0;4
3;1;4;5;0:7:46:0;0:8:50:0;1
3;12;5;4;0:9:30:0;0:10:26:0;1
3;4;4;5;0:13:6:0;0:14:6:0;1
3;65;5;6;0:15:15:0;0:16:29:0;1
3;77;6;5;0:16:55:0;0:18:9:0;1
3;68;5;6;0:19:15:0;0:20:19:0;1
3;ZD68;6;3;0:20:19:0;0:20:34:0;3
4;VD21;3;4;0:7:10:0;0:7:42:0;4
4;21;4;6;0:7:42:0;0:9:4:0;1
4;32;6;4;0:9:30:0;0:10:42:0;1
4;24;4;6;0:13:2:0;0:14:19:0;1
4;35;6;4;0:14:50:0;0:16:7:0;1
4;27;4;6;0:17:2:0;0:18:19:0;1
4;38;6;4;0:18:50:0;0:20:7:0;1
4;49;4;7;0:20:16:0;0:21:5:0;1
4;59;7;4;0:23:17:0;1:0:6:0;1
4;ZD59;4;3;1:0:6:0;1:0:38:0;3
5;VD50;3;7;0:7:5:0;0:7:17:0;4
5;50;7;4;0:7:17:0;0:8:18:0;1
5;22;4;6;0:9:2:0;0:10:14:0;1
5;83;6;8;0:11:48:0;0:12:20:0;1
5;95;8;6;0:14:6:0;0:14:40:0;1
5;85;6;8;0:15:8:0;0:15:42:0;1
5;97;8;6;0:16:46:0;0:17:20:0;1
5;87;6;8;0:17:48:0;0:18:22:0;1
5;99;8;6;0:19:26:0;0:19:55:0;1
5;39;6;4;0:20:10:0;0:21:16:0;1
5;ZD39;4;3;0:21:16:0;0:21:48:0;3
6;VD90;3;8;0:5:44:0;0:6:6:0;4
6;90;8;6;0:6:6:0;0:6:42:0;1
6;30;6;4;0:6:50:0;0:8:12:0;1
6;41;4;7;0:8:16:0;0:9:17:0;1
6;52;7;4;0:9:57:0;0:10:50:0;1
6;43;4;7;0:11:36:0;0:12:29:0;1
6;54;7;4;0:13:57:0;0:14:54:0;1
6;45;4;7;0:14:56:0;0:15:53:0;1
6;56;7;4;0:16:37:0;0:17:34:0;1
6;47;4;7;0:17:36:0;0:18:33:0;1
6;58;7;4;0:19:17:0;0:20:6:0;1
6;ZD58;4;3;0:20:6:0;0:20:38:0;3
7;VD20;3;4;0:5:50:0;0:6:22:0;4
7;20;4;6;0:6:22:0;0:7:44:0;1
7;31;6;4;0:8:10:0;0:9:32:0;1
7;42;4;7;0:9:36:0;0:10:29:0;1
7;53;7;4;0:11:57:0;0:12:50:0;1
7;44;4;7;0:13:36:0;0:14:33:0;1
7;55;7;4;0:15:17:0;0:16:14:0;1
7;46;4;7;0:16:16:0;0:17:13:0;1
7;57;7;4;0:17:57:0;0:18:54:0;1
7;48;4;7;0:18:56:0;0:19:53:0;1
7;ZD48;7;3;0:19:53:0;0:20:5:0;3
8;VD0;3;4;0:5:54:0;0:6:26:0;4
8;0;4;5;0:6:26:0;0:7:30:0;1
8;11;5;4;0:8:10:0;0:9:14:0;1
8;23;4;6;0:11:2:0;0:12:14:0;1
8;84;6;8;0:13:48:0;0:14:22:0;1
8;96;8;6;0:15:26:0;0:16:0:0;1
8;86;6;8;0:16:28:0;0:17:2:0;1
8;98;8;6;0:18:6:0;0:18:40:0;1
8;88;6;8;0:19:8:0;0:19:37:0;1
8;ZD88;8;3;0:19:37:0;0:19:59:0;3
9;VD70;3;6;0:6:0:0;0:6:15:0;4
9;70;6;5;0:6:15:0;0:7:34:0;1
9;61;5;6;0:8:35:0;0:9:54:0;1
9;73;6;5;0:10:15:0;0:11:24:0;1
9;64;5;6;0:13:55:0;0:15:9:0;1
9;76;6;5;0:15:35:0;0:16:49:0;1
9;67;5;6;0:17:55:0;0:19:9:0;1
9;79;6;5;0:19:35:0;0:20:39:0;1
9;69;5;6;0:23:15:0;1:0:19:0;1
9;ZD69;6;3;1:0:19:0;1:0:34:0;3
10;VD10;3;5;0:6:12:0;0:6:50:0;4
10;10;5;4;0:6:50:0;0:7:54:0;1
10;2;4;5;0:9:6:0;0:10:2:0;1
10;63;5;6;0:11:55:0;0:13:4:0;1
10;75;6;5;0:14:15:0;0:15:29:0;1
10;66;5;6;0:16:35:0;0:17:49:0;1
10;78;6;5;0:18:15:0;0:19:29:0;1
10;19;5;4;0:20:10:0;0:21:1:0;1
10;ZD19;4;3;0:21:1:0;0:21:33:0;3
11;VD40;3;4;0:6:24:0;0:6:56:0;4
11;40;4;7;0:6:56:0;0:7:57:0;1
11;51;7;4;0:8:37:0;0:9:38:0;1
11;3;4;5;0:11:6:0;0:12:2:0;1
11;14;5;4;0:13:30:0;0:14:30:0;1
11;6;4;5;0:15:46:0;0:16:46:0;1
11;17;5;4;0:17:30:0;0:18:30:0;1
11;9;4;5;0:19:46:0;0:20:37:0;1
11;ZD9;5;3;0:20:37:0;0:21:15:0;3
12;VD60;3;5;0:6:37:0;0:7:15:0;4
12;60;5;6;0:7:15:0;0:8:34:0;1
12;72;6;5;0:8:55:0;0:10:14:0;1
12;13;5;4;0:11:30:0;0:12:26:0;1
12;25;4;6;0:14:22:0;0:15:39:0;1
12;36;6;4;0:16:10:0;0:17:27:0;1
12;28;4;6;0:18:22:0;0:19:39:0;1
12;ZD28;6;3;0:19:39:0;0:19:54:0;3
13;VD80;3;6;0:6:53:0;0:7:8:0;4
13;80;6;8;0:7:8:0;0:7:44:0;1
13;92;8;6;0:8:46:0;0:9:22:0;1
13;82;6;8;0:9:48:0;0:10:20:0;1
13;94;8;6;0:12:6:0;0:12:38:0;1
13;34;6;4;0:13:30:0;0:14:47:0;1
13;26;4;6;0:15:42:0;0:16:59:0;1
13;37;6;4;0:17:30:0;0:18:47:0;1
13;29;4;6;0:19:42:0;0:20:48:0;1
13;89;6;8;0:23:8:0;0:23:37:0;1
13;ZD89;8;3;0:23:37:0;0:23:59:0;3
