*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD20;3;4;0:7:0:0;0:7:15:0;4
1;20;4;6;0:7:15:0;0:8:9:0;1
1;L20;6;4;0:8:9:0;0:8:39:0;2
1;2;4;5;0:8:41:0;0:9:28:0;1
1;12;5;4;0:9:31:0;0:10:12:0;1
1;23;4;6;0:11:55:0;0:12:42:0;1
1;34;6;4;0:13:53:0;0:14:43:0;1
1;25;4;6;0:15:15:0;0:16:5:0;1
1;36;6;4;0:16:33:0;0:17:23:0;1
1;27;4;6;0:17:55:0;0:18:45:0;1
1;L27;6;4;0:18:45:0;0:19:15:0;2
1;9;4;5;0:19:21:0;0:19:59:0;1
1;19;5;4;0:20:11:0;0:20:49:0;1
1;ZD19;4;3;0:20:49:0;0:21:4:0;3
2;VD51;3;7;0:6:59:0;0:7:50:0;4
2;51;7;4;0:7:50:0;0:9:30:0;1
2;42;4;7;0:9:34:0;0:11:2:0;1
2;54;7;4;0:13:10:0;0:14:44:0;1
2;45;4;7;0:14:54:0;0:16:28:0;1
2;57;7;4;0:17:10:0;0:18:44:0;1
2;48;4;7;0:18:54:0;0:20:28:0;1
2;ZD48;7;3;0:20:28:0;0:21:19:0;3
3;VD60;3;5;0:6:43:0;0:6:59:0;4
3;60;5;6;0:6:59:0;0:8:19:0;1
3;71;6;5;0:8:35:0;0:9:55:0;1
3;63;5;6;0:11:39:0;0:12:49:0;1
3;74;6;5;0:13:55:0;0:15:10:0;1
3;L74;5;6;0:15:10:0;0:15:55:0;2
3;86;6;8;0:16:1:0;0:16:34:0;1
3;97;8;6;0:16:52:0;0:17:25:0;1
3;L97;6;4;0:17:25:0;0:17:55:0;2
3;8;4;5;0:18:1:0;0:18:45:0;1
3;18;5;4;0:18:51:0;0:19:35:0;1
3;ZD18;4;3;0:19:35:0;0:19:50:0;3
4;VD40;3;4;0:6:39:0;0:6:54:0;4
4;40;4;7;0:6:54:0;0:8:34:0;1
4;52;7;4;0:9:10:0;0:10:38:0;1
4;43;4;7;0:11:34:0;0:13:2:0;1
4;55;7;4;0:14:30:0;0:16:4:0;1
4;46;4;7;0:16:14:0;0:17:48:0;1
4;58;7;4;0:18:30:0;0:20:4:0;1
4;49;4;7;0:20:14:0;0:21:34:0;1
4;ZD49;7;3;0:21:34:0;0:22:25:0;3
5;VD70;3;6;0:6:33:0;0:7:15:0;4
5;70;6;5;0:7:15:0;0:8:35:0;1
5;L70;5;6;0:8:35:0;0:9:20:0;2
5;82;6;8;0:9:21:0;0:9:52:0;1
5;93;8;6;0:10:12:0;0:10:43:0;1
5;83;6;8;0:11:21:0;0:11:52:0;1
5;94;8;6;0:12:12:0;0:12:43:0;1
5;84;6;8;0:13:21:0;0:13:54:0;1
5;95;8;6;0:14:12:0;0:14:45:0;1
5;35;6;4;0:15:13:0;0:16:3:0;1
5;26;4;6;0:16:35:0;0:17:25:0;1
5;37;6;4;0:17:53:0;0:18:43:0;1
5;28;4;6;0:19:15:0;0:19:58:0;1
5;ZD28;6;3;0:19:58:0;0:20:40:0;3
6;VD80;3;6;0:5:59:0;0:6:41:0;4
6;80;6;8;0:6:41:0;0:7:16:0;1
6;91;8;6;0:7:32:0;0:8:7:0;1
6;31;6;4;0:8:33:0;0:9:27:0;1
6;22;4;6;0:9:55:0;0:10:42:0;1
6;33;6;4;0:11:53:0;0:12:40:0;1
6;5;4;5;0:14:1:0;0:14:45:0;1
6;15;5;4;0:14:51:0;0:15:35:0;1
6;L15;4;5;0:15:35:0;0:16:1:0;2
6;66;5;6;0:16:19:0;0:17:34:0;1
6;77;6;5;0:17:55:0;0:19:10:0;1
6;ZD77;5;3;0:19:10:0;0:19:26:0;3
7;VD0;3;4;0:5:46:0;0:6:1:0;4
7;0;4;5;0:6:1:0;0:6:48:0;1
7;10;5;4;0:6:51:0;0:7:38:0;1
7;L10;4;5;0:7:38:0;0:8:4:0;2
7;61;5;6;0:8:19:0;0:9:39:0;1
7;72;6;5;0:9:55:0;0:11:5:0;1
7;L72;5;6;0:11:5:0;0:11:50:0;2
7;85;6;8;0:14:41:0;0:15:14:0;1
7;96;8;6;0:15:32:0;0:16:5:0;1
7;L96;6;4;0:16:5:0;0:16:35:0;2
7;7;4;5;0:16:41:0;0:17:25:0;1
7;17;5;4;0:17:31:0;0:18:15:0;1
7;L17;4;5;0:18:15:0;0:18:41:0;2
7;68;5;6;0:18:59:0;0:20:14:0;1
7;39;6;4;0:23:13:0;0:23:56:0;1
7;ZD39;4;3;0:23:56:0;1:0:11:0;3
8;VD90;3;8;0:5:43:0;0:6:12:0;4
8;90;8;6;0:6:12:0;0:6:47:0;1
8;30;6;4;0:7:13:0;0:8:7:0;1
8;21;4;6;0:8:35:0;0:9:29:0;1
8;L21;6;4;0:9:29:0;0:9:59:0;2
8;3;4;5;0:10:1:0;0:10:42:0;1
8;13;5;4;0:11:31:0;0:12:12:0;1
8;24;4;6;0:13:55:0;0:14:45:0;1
8;L24;6;4;0:14:45:0;0:15:15:0;2
8;6;4;5;0:15:21:0;0:16:5:0;1
8;16;5;4;0:16:11:0;0:16:55:0;1
8;L16;4;5;0:16:55:0;0:17:21:0;2
8;67;5;6;0:17:39:0;0:18:54:0;1
8;78;6;5;0:19:15:0;0:20:19:0;1
8;69;5;6;0:20:19:0;0:21:23:0;1
8;79;6;5;0:23:15:0;1:0:19:0;1
8;ZD79;5;3;1:0:19:0;1:0:35:0;3
9;VD81;3;6;0:7:19:0;0:8:1:0;4
9;81;6;8;0:8:1:0;0:8:36:0;1
9;92;8;6;0:8:52:0;0:9:27:0;1
9;32;6;4;0:9:53:0;0:10:40:0;1
9;4;4;5;0:12:1:0;0:12:42:0;1
9;14;5;4;0:13:31:0;0:14:15:0;1
9;L14;4;5;0:14:15:0;0:14:41:0;2
9;65;5;6;0:14:59:0;0:16:14:0;1
9;76;6;5;0:16:35:0;0:17:50:0;1
9;L76;5;6;0:17:50:0;0:18:35:0;2
9;88;6;8;0:18:41:0;0:19:14:0;1
9;99;8;6;0:19:32:0;0:20:0:0;1
9;89;6;8;0:20:1:0;0:20:29:0;1
9;ZD89;8;3;0:20:29:0;0:20:58:0;3
10;VD1;3;4;0:7:6:0;0:7:21:0;4
10;1;4;5;0:7:21:0;0:8:8:0;1
10;11;5;4;0:8:11:0;0:8:58:0;1
10;L11;4;5;0:8:58:0;0:9:24:0;2
10;62;5;6;0:9:39:0;0:10:49:0;1
10;73;6;5;0:11:55:0;0:13:5:0;1
10;64;5;6;0:13:39:0;0:14:54:0;1
10;75;6;5;0:15:15:0;0:16:30:0;1
10;L75;5;6;0:16:30:0;0:17:15:0;2
10;87;6;8;0:17:21:0;0:17:54:0;1
10;98;8;6;0:18:12:0;0:18:45:0;1
10;38;6;4;0:19:13:0;0:19:56:0;1
10;ZD38;4;3;0:19:56:0;0:20:11:0;3
11;VD50;3;7;0:5:39:0;0:6:30:0;4
11;50;7;4;0:6:30:0;0:8:10:0;1
11;41;4;7;0:8:14:0;0:9:54:0;1
11;53;7;4;0:11:10:0;0:12:38:0;1
11;44;4;7;0:13:34:0;0:15:8:0;1
11;56;7;4;0:15:50:0;0:17:24:0;1
11;47;4;7;0:17:34:0;0:19:8:0;1
11;59;7;4;0:19:50:0;0:21:10:0;1
11;29;4;6;0:23:15:0;0:23:58:0;1
11;ZD29;6;3;0:23:58:0;1:0:40:0;3
