*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD30;3;6;0:6:49:0;0:7:1:0;4
1;30;6;4;0:7:1:0;0:7:44:0;1
1;41;4;7;0:7:50:0;0:9:7:0;1
1;52;7;4;0:9:18:0;0:10:25:0;1
1;3;4;5;0:11:49:0;0:12:51:0;1
1;14;5;4;0:13:43:0;0:14:49:0;1
1;5;4;5;0:15:9:0;0:16:15:0;1
1;16;5;4;0:16:23:0;0:17:29:0;1
1;7;4;5;0:17:49:0;0:18:55:0;1
1;18;5;4;0:19:3:0;0:19:59:0;1
1;29;4;6;0:23:6:0;0:23:40:0;1
1;ZD29;6;3;0:23:40:0;0:23:52:0;3
2;VD0;3;4;0:6:37:0;0:7:9:0;4
2;0;4;5;0:7:9:0;0:8:19:0;1
2;11;5;4;0:8:23:0;0:9:33:0;1
2;22;4;6;0:9:46:0;0:10:23:0;1
2;33;6;4;0:11:41:0;0:12:18:0;1
2;24;4;6;0:13:46:0;0:14:26:0;1
2;85;6;8;0:14:30:0;0:14:52:0;1
2;95;8;6;0:15:13:0;0:15:35:0;1
2;76;6;5;0:15:39:0;0:16:53:0;1
2;67;5;6;0:17:25:0;0:18:39:0;1
2;38;6;4;0:19:1:0;0:19:35:0;1
2;ZD38;4;3;0:19:35:0;0:20:7:0;3
3;VD20;3;4;0:6:34:0;0:7:6:0;4
3;20;4;6;0:7:6:0;0:7:49:0;1
3;81;6;8;0:7:50:0;0:8:14:0;1
3;91;8;6;0:8:33:0;0:8:57:0;1
3;72;6;5;0:8:59:0;0:10:18:0;1
3;63;5;6;0:11:25:0;0:12:34:0;1
3;84;6;8;0:13:10:0;0:13:32:0;1
3;94;8;6;0:13:53:0;0:14:15:0;1
3;75;6;5;0:14:19:0;0:15:33:0;1
3;66;5;6;0:16:5:0;0:17:19:0;1
3;37;6;4;0:17:41:0;0:18:21:0;1
3;28;4;6;0:19:6:0;0:19:40:0;1
3;89;6;8;0:19:50:0;0:20:9:0;1
3;99;8;6;0:23:13:0;0:23:32:0;1
3;ZD99;6;3;0:23:32:0;0:23:44:0;3
4;VD80;3;6;0:6:18:0;0:6:30:0;4
4;80;6;8;0:6:30:0;0:6:54:0;1
4;90;8;6;0:7:13:0;0:7:37:0;1
4;71;6;5;0:7:39:0;0:8:58:0;1
4;62;5;6;0:9:25:0;0:10:34:0;1
4;83;6;8;0:11:10:0;0:11:31:0;1
4;93;8;6;0:11:53:0;0:12:14:0;1
4;74;6;5;0:12:19:0;0:13:28:0;1
4;65;5;6;0:14:45:0;0:15:59:0;1
4;36;6;4;0:16:21:0;0:17:1:0;1
4;27;4;6;0:17:46:0;0:18:26:0;1
4;88;6;8;0:18:30:0;0:18:52:0;1
4;98;8;6;0:19:13:0;0:19:32:0;1
4;79;6;5;0:19:39:0;0:20:43:0;1
4;19;5;4;0:23:3:0;0:23:59:0;1
4;ZD19;4;3;0:23:59:0;1:0:31:0;3
5;VD50;3;7;0:6:12:0;0:6:38:0;4
5;50;7;4;0:6:38:0;0:7:55:0;1
5;1;4;5;0:8:29:0;0:9:39:0;1
5;12;5;4;0:9:43:0;0:10:45:0;1
5;43;4;7;0:11:10:0;0:12:17:0;1
5;54;7;4;0:13:18:0;0:14:30:0;1
5;45;4;7;0:14:30:0;0:15:42:0;1
5;56;7;4;0:15:58:0;0:17:10:0;1
5;47;4;7;0:17:10:0;0:18:22:0;1
5;58;7;4;0:18:38:0;0:19:50:0;1
5;49;4;7;0:19:50:0;0:20:51:0;1
5;ZD49;7;3;0:20:51:0;0:21:17:0;3
6;VD70;3;6;0:6:7:0;0:6:19:0;4
6;70;6;5;0:6:19:0;0:7:38:0;1
6;61;5;6;0:8:5:0;0:9:24:0;1
6;32;6;4;0:9:41:0;0:10:18:0;1
6;23;4;6;0:11:46:0;0:12:23:0;1
6;34;6;4;0:13:41:0;0:14:21:0;1
6;25;4;6;0:15:6:0;0:15:46:0;1
6;86;6;8;0:15:50:0;0:16:12:0;1
6;96;8;6;0:16:33:0;0:16:55:0;1
6;77;6;5;0:16:59:0;0:18:13:0;1
6;68;5;6;0:18:45:0;0:19:59:0;1
6;ZD68;6;3;0:19:59:0;0:20:11:0;3
7;VD10;3;5;0:6:6:0;0:7:3:0;4
7;10;5;4;0:7:3:0;0:8:13:0;1
7;21;4;6;0:8:26:0;0:9:9:0;1
7;82;6;8;0:9:10:0;0:9:31:0;1
7;92;8;6;0:9:53:0;0:10:14:0;1
7;73;6;5;0:10:19:0;0:11:28:0;1
7;64;5;6;0:13:25:0;0:14:39:0;1
7;35;6;4;0:15:1:0;0:15:41:0;1
7;26;4;6;0:16:26:0;0:17:6:0;1
7;87;6;8;0:17:10:0;0:17:32:0;1
7;97;8;6;0:17:53:0;0:18:15:0;1
7;78;6;5;0:18:19:0;0:19:33:0;1
7;ZD78;5;3;0:19:33:0;0:20:30:0;3
8;VD40;3;4;0:5:58:0;0:6:30:0;4
8;40;4;7;0:6:30:0;0:7:47:0;1
8;51;7;4;0:7:58:0;0:9:15:0;1
8;2;4;5;0:9:49:0;0:10:51:0;1
8;13;5;4;0:11:43:0;0:12:45:0;1
8;44;4;7;0:13:10:0;0:14:22:0;1
8;55;7;4;0:14:38:0;0:15:50:0;1
8;46;4;7;0:15:50:0;0:17:2:0;1
8;57;7;4;0:17:18:0;0:18:30:0;1
8;48;4;7;0:18:30:0;0:19:42:0;1
8;59;7;4;0:19:58:0;0:20:59:0;1
8;9;4;5;0:23:9:0;1:0:5:0;1
8;ZD9;5;3;1:0:5:0;1:1:2:0;3
9;VD60;3;5;0:5:48:0;0:6:45:0;4
9;60;5;6;0:6:45:0;0:8:4:0;1
9;31;6;4;0:8:21:0;0:9:4:0;1
9;42;4;7;0:9:10:0;0:10:17:0;1
9;53;7;4;0:11:18:0;0:12:25:0;1
9;4;4;5;0:13:49:0;0:14:55:0;1
9;15;5;4;0:15:3:0;0:16:9:0;1
9;6;4;5;0:16:29:0;0:17:35:0;1
9;17;5;4;0:17:43:0;0:18:49:0;1
9;8;4;5;0:19:9:0;0:20:5:0;1
9;69;5;6;0:20:5:0;0:21:9:0;1
9;39;6;4;0:23:1:0;0:23:35:0;1
9;ZD39;4;3;0:23:35:0;1:0:7:0;3
