*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD60;3;5;0:5:48:0;0:6:45:0;4
1;60;5;6;0:6:45:0;0:8:4:0;1
1;31;6;4;0:8:21:0;0:9:4:0;1
1;42;4;7;0:9:10:0;0:10:17:0;1
1;53;7;4;0:11:18:0;0:12:25:0;1
1;24;4;6;0:13:46:0;0:14:26:0;1
1;85;6;8;0:14:30:0;0:14:52:0;1
1;95;8;6;0:15:13:0;0:15:35:0;1
1;76;6;5;0:15:39:0;0:16:53:0;1
1;67;5;6;0:17:25:0;0:18:39:0;1
1;38;6;4;0:19:1:0;0:19:35:0;1
1;ZD38;4;3;0:19:35:0;0:20:7:0;3
2;VD40;3;4;0:5:58:0;0:6:30:0;4
2;40;4;7;0:6:30:0;0:7:47:0;1
2;51;7;4;0:7:58:0;0:9:15:0;1
2;2;4;5;0:9:49:0;0:10:51:0;1
2;63;5;6;0:11:25:0;0:12:34:0;1
2;84;6;8;0:13:10:0;0:13:32:0;1
2;94;8;6;0:13:53:0;0:14:15:0;1
2;75;6;5;0:14:19:0;0:15:33:0;1
2;66;5;6;0:16:5:0;0:17:19:0;1
2;37;6;4;0:17:41:0;0:18:21:0;1
2;48;4;7;0:18:30:0;0:19:42:0;1
2;59;7;4;0:19:58:0;0:20:59:0;1
2;29;4;6;0:23:6:0;0:23:40:0;1
2;ZD29;6;3;0:23:40:0;0:23:52:0;3
3;VD10;3;5;0:6:6:0;0:7:3:0;4
3;10;5;4;0:7:3:0;0:8:13:0;1
3;21;4;6;0:8:26:0;0:9:9:0;1
3;82;6;8;0:9:10:0;0:9:31:0;1
3;92;8;6;0:9:53:0;0:10:14:0;1
3;73;6;5;0:10:19:0;0:11:28:0;1
3;14;5;4;0:13:43:0;0:14:49:0;1
3;25;4;6;0:15:6:0;0:15:46:0;1
3;86;6;8;0:15:50:0;0:16:12:0;1
3;96;8;6;0:16:33:0;0:16:55:0;1
3;77;6;5;0:16:59:0;0:18:13:0;1
3;68;5;6;0:18:45:0;0:19:59:0;1
3;ZD68;6;3;0:19:59:0;0:20:11:0;3
4;VD70;3;6;0:6:7:0;0:6:19:0;4
4;70;6;5;0:6:19:0;0:7:38:0;1
4;61;5;6;0:8:5:0;0:9:24:0;1
4;32;6;4;0:9:41:0;0:10:18:0;1
4;3;4;5;0:11:49:0;0:12:51:0;1
4;64;5;6;0:13:25:0;0:14:39:0;1
4;35;6;4;0:15:1:0;0:15:41:0;1
4;46;4;7;0:15:50:0;0:17:2:0;1
4;57;7;4;0:17:18:0;0:18:30:0;1
4;8;4;5;0:19:9:0;0:20:5:0;1
4;69;5;6;0:20:5:0;0:21:9:0;1
4;39;6;4;0:23:1:0;0:23:35:0;1
4;ZD39;4;3;0:23:35:0;1:0:7:0;3
5;VD50;3;7;0:6:12:0;0:6:38:0;4
5;50;7;4;0:6:38:0;0:7:55:0;1
5;1;4;5;0:8:29:0;0:9:39:0;1
5;12;5;4;0:9:43:0;0:10:45:0;1
5;43;4;7;0:11:10:0;0:12:17:0;1
5;54;7;4;0:13:18:0;0:14:30:0;1
5;5;4;5;0:15:9:0;0:16:15:0;1
5;16;5;4;0:16:23:0;0:17:29:0;1
5;27;4;6;0:17:46:0;0:18:26:0;1
5;88;6;8;0:18:30:0;0:18:52:0;1
5;98;8;6;0:19:13:0;0:19:32:0;1
5;79;6;5;0:19:39:0;0:20:43:0;1
5;19;5;4;0:23:3:0;0:23:59:0;1
5;ZD19;4;3;0:23:59:0;1:0:31:0;3
6;VD80;3;6;0:6:18:0;0:6:30:0;4
6;80;6;8;0:6:30:0;0:6:54:0;1
6;90;8;6;0:7:13:0;0:7:37:0;1
6;71;6;5;0:7:39:0;0:8:58:0;1
6;62;5;6;0:9:25:0;0:10:34:0;1
6;83;6;8;0:11:10:0;0:11:31:0;1
6;93;8;6;0:11:53:0;0:12:14:0;1
6;74;6;5;0:12:19:0;0:13:28:0;1
6;65;5;6;0:14:45:0;0:15:59:0;1
6;36;6;4;0:16:21:0;0:17:1:0;1
6;47;4;7;0:17:10:0;0:18:22:0;1
