*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD91;3;8;0:6:49:0;0:7:35:0;4
1;91;8;6;0:7:35:0;0:8:36:0;1
1;72;6;5;0:9:21:0;0:10:17:0;1
1;13;5;4;0:11:37:0;0:11:57:0;1
1;24;4;6;0:13:55:0;0:14:58:0;1
1;36;6;4;0:15:41:0;0:16:44:0;1
1;47;4;7;0:17:55:0;0:18:27:0;1
1;L47;7;5;0:18:27:0;0:18:39:0;2
1;68;5;6;0:18:50:0;0:19:49:0;1
1;79;6;5;0:20:1:0;0:20:52:0;1
1;ZD79;5;3;0:20:52:0;0:21:36:0;3
2;VD20;3;4;0:6:43:0;0:7:15:0;4
2;40;4;7;0:7:15:0;0:7:49:0;1
2;L40;7;6;0:7:49:0;0:8:13:0;2
2;81;6;8;0:8:17:0;0:9:18:0;1
2;93;8;6;0:10:15:0;0:11:8:0;1
2;73;6;5;0:11:21:0;0:12:17:0;1
2;14;5;4;0:13:37:0;0:13:58:0;1
2;25;4;6;0:15:15:0;0:16:18:0;1
2;37;6;4;0:17:1:0;0:18:4:0;1
2;48;4;7;0:19:15:0;0:19:42:0;1
2;L48;7;5;0:19:42:0;0:19:54:0;2
2;69;5;6;0:20:10:0;0:21:1:0;1
2;ZD69;6;3;0:21:1:0;0:22:6:0;3
3;VD20;3;4;0:6:43:0;0:7:15:0;4
3;20;4;6;0:7:15:0;0:8:23:0;1
3;32;6;4;0:9:1:0;0:10:0:0;1
3;43;4;7;0:11:55:0;0:12:25:0;1
3;L43;7;5;0:12:25:0;0:12:37:0;2
3;64;5;6;0:13:30:0;0:14:29:0;1
3;85;6;8;0:14:57:0;0:15:54:0;1
3;97;8;6;0:16:55:0;0:17:52:0;1
3;78;6;5;0:18:41:0;0:19:40:0;1
3;19;5;4;0:20:17:0;0:20:35:0;1
3;29;4;6;0:23:15:0;1:0:9:0;1
3;ZD29;6;3;1:0:9:0;1:1:14:0;3
4;VD51;3;7;0:6:29:0;0:7:20:0;4
4;51;7;4;0:7:20:0;0:7:54:0;1
4;1;4;5;0:8:1:0;0:8:23:0;1
4;L1;5;7;0:8:23:0;0:8:35:0;2
4;52;7;4;0:8:40:0;0:9:14:0;1
4;2;4;5;0:9:21:0;0:9:41:0;1
4;L2;5;7;0:9:41:0;0:9:53:0;2
4;53;7;4;0:10:0:0;0:10:30:0;1
4;3;4;5;0:11:21:0;0:11:41:0;1
4;L3;5;7;0:11:41:0;0:11:53:0;2
4;54;7;4;0:12:0:0;0:12:30:0;1
4;4;4;5;0:13:21:0;0:13:42:0;1
4;L4;5;7;0:13:42:0;0:13:54:0;2
4;55;7;4;0:14:0:0;0:14:32:0;1
4;5;4;5;0:14:41:0;0:15:2:0;1
4;L5;5;7;0:15:2:0;0:15:14:0;2
4;56;7;4;0:15:20:0;0:15:52:0;1
4;6;4;5;0:16:1:0;0:16:22:0;1
4;L6;5;7;0:16:22:0;0:16:34:0;2
4;57;7;4;0:16:40:0;0:17:12:0;1
4;7;4;5;0:17:21:0;0:17:42:0;1
4;L7;5;7;0:17:42:0;0:17:54:0;2
4;58;7;4;0:18:0:0;0:18:32:0;1
4;8;4;5;0:18:41:0;0:19:2:0;1
4;L8;5;7;0:19:2:0;0:19:14:0;2
4;59;7;4;0:19:20:0;0:19:47:0;1
4;9;4;5;0:20:1:0;0:20:19:0;1
4;ZD9;5;3;0:20:19:0;0:21:3:0;3
5;VD10;3;5;0:6:13:0;0:6:57:0;4
5;10;5;4;0:6:57:0;0:7:19:0;1
