*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD91;3;8;0:6:49:0;0:7:35:0;4
1;91;8;6;0:7:35:0;0:8:36:0;1
1;32;6;4;0:9:1:0;0:10:0:0;1
1;3;4;5;0:11:21:0;0:11:41:0;1
1;L3;5;7;0:11:41:0;0:11:53:0;2
1;54;7;4;0:12:0:0;0:12:30:0;1
1;24;4;6;0:13:55:0;0:14:58:0;1
1;76;6;5;0:16:1:0;0:17:0:0;1
1;17;5;4;0:17:37:0;0:17:58:0;1
1;28;4;6;0:19:15:0;0:20:9:0;1
1;89;6;8;0:20:17:0;0:21:6:0;1
1;ZD89;8;3;0:21:6:0;0:21:52:0;3
2;VD20;3;4;0:6:43:0;0:7:15:0;4
2;20;4;6;0:7:15:0;0:8:23:0;1
2;72;6;5;0:9:21:0;0:10:17:0;1
2;13;5;4;0:11:37:0;0:11:57:0;1
2;44;4;7;0:13:55:0;0:14:27:0;1
2;L44;7;5;0:14:27:0;0:14:39:0;2
2;65;5;6;0:14:50:0;0:15:49:0;1
2;86;6;8;0:16:17:0;0:17:14:0;1
2;98;8;6;0:18:15:0;0:19:12:0;1
2;39;6;4;0:19:41:0;0:20:35:0;1
2;49;4;7;0:23:15:0;0:23:42:0;1
2;ZD49;7;3;0:23:42:0;1:0:33:0;3
3;VD20;3;4;0:6:43:0;0:7:15:0;4
3;40;4;7;0:7:15:0;0:7:49:0;1
3;L40;7;6;0:7:49:0;0:8:13:0;2
3;81;6;8;0:8:17:0;0:9:18:0;1
3;93;8;6;0:10:15:0;0:11:8:0;1
3;34;6;4;0:13:1:0;0:14:4:0;1
3;5;4;5;0:14:41:0;0:15:2:0;1
3;L5;5;7;0:15:2:0;0:15:14:0;2
3;56;7;4;0:15:20:0;0:15:52:0;1
3;26;4;6;0:16:35:0;0:17:38:0;1
3;78;6;5;0:18:41:0;0:19:40:0;1
3;19;5;4;0:20:17:0;0:20:35:0;1
3;29;4;6;0:23:15:0;1:0:9:0;1
3;ZD29;6;3;1:0:9:0;1:1:14:0;3
4;VD51;3;7;0:6:29:0;0:7:20:0;4
4;51;7;4;0:7:20:0;0:7:54:0;1
4;21;4;6;0:8:35:0;0:9:43:0;1
4;73;6;5;0:11:21:0;0:12:17:0;1
4;14;5;4;0:13:37:0;0:13:58:0;1
4;45;4;7;0:15:15:0;0:15:47:0;1
4;L45;7;5;0:15:47:0;0:15:59:0;2
4;66;5;6;0:16:10:0;0:17:9:0;1
4;87;6;8;0:17:37:0;0:18:34:0;1
4;99;8;6;0:19:35:0;0:20:24:0;1
4;ZD99;6;3;0:20:24:0;0:21:29:0;3
5;VD10;3;5;0:6:13:0;0:6:57:0;4
5;10;5;4;0:6:57:0;0:7:19:0;1
5;41;4;7;0:8:35:0;0:9:9:0;1
5;L41;7;5;0:9:9:0;0:9:21:0;2
5;62;5;6;0:9:30:0;0:10:26:0;1
5;83;6;8;0:11:37:0;0:12:30:0;1
5;95;8;6;0:14:15:0;0:15:12:0;1
5;36;6;4;0:15:41:0;0:16:44:0;1
5;7;4;5;0:17:21:0;0:17:42:0;1
5;L7;5;7;0:17:42:0;0:17:54:0;2
5;58;7;4;0:18:0:0;0:18:32:0;1
5;48;4;7;0:19:15:0;0:19:42:0;1
5;L48;7;5;0:19:42:0;0:19:54:0;2
5;69;5;6;0:20:10:0;0:21:1:0;1
5;ZD69;6;3;0:21:1:0;0:22:6:0;3
6;VD60;3;5;0:6:6:0;0:6:50:0;4
6;60;5;6;0:6:50:0;0:7:54:0;1
