*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD0;3;4;0:6:13:0;0:6:39:0;4
1;0;4;5;0:6:39:0;0:7:26:0;1
1;11;5;4;0:7:42:0;0:8:29:0;1
1;42;4;7;0:8:40:0;0:9:5:0;1
1;52;7;4;0:9:50:0;0:10:12:0;1
1;3;4;5;0:11:19:0;0:12:0:0;1
1;14;5;4;0:13:2:0;0:13:46:0;1
1;45;4;7;0:14:0:0;0:14:23:0;1
1;55;7;4;0:15:10:0;0:15:33:0;1
1;6;4;5;0:15:59:0;0:16:43:0;1
1;17;5;4;0:17:2:0;0:17:46:0;1
1;48;4;7;0:18:0:0;0:18:23:0;1
1;58;7;4;0:19:10:0;0:19:30:0;1
1;9;4;5;0:19:59:0;0:20:36:0;1
1;ZD9;5;3;0:20:36:0;0:21:4:0;3
2;VD90;3;8;0:5:59:0;0:6:45:0;4
2;90;8;6;0:6:45:0;0:8:0:0;1
2;81;6;8;0:8:23:0;0:9:38:0;1
2;93;8;6;0:11:25:0;0:12:31:0;1
2;84;6;8;0:13:43:0;0:14:53:0;1
2;96;8;6;0:16:5:0;0:17:15:0;1
2;87;6;8;0:17:43:0;0:18:53:0;1
2;ZD87;8;3;0:18:53:0;0:19:39:0;3
3;VD20;3;4;0:5:58:0;0:6:24:0;4
3;20;4;6;0:6:24:0;0:7:30:0;1
3;71;6;5;0:7:36:0;0:8:19:0;1
3;62;5;6;0:9:1:0;0:9:39:0;1
3;32;6;4;0:9:51:0;0:10:49:0;1
3;23;4;6;0:11:4:0;0:12:2:0;1
3;74;6;5;0:12:16:0;0:12:54:0;1
3;64;5;6;0:13:1:0;0:13:41:0;1
3;34;6;4;0:13:51:0;0:14:52:0;1
3;26;4;6;0:15:44:0;0:16:45:0;1
3;77;6;5;0:16:56:0;0:17:36:0;1
3;68;5;6;0:18:21:0;0:19:1:0;1
3;38;6;4;0:19:11:0;0:20:4:0;1
3;ZD38;4;3;0:20:4:0;0:20:30:0;3
4;VD70;3;6;0:5:58:0;0:6:16:0;4
4;70;6;5;0:6:16:0;0:6:59:0;1
4;61;5;6;0:7:41:0;0:8:24:0;1
4;31;6;4;0:8:31:0;0:9:37:0;1
4;25;4;6;0:14:24:0;0:15:25:0;1
4;76;6;5;0:15:36:0;0:16:16:0;1
4;67;5;6;0:17:1:0;0:17:41:0;1
4;37;6;4;0:17:51:0;0:18:52:0;1
4;29;4;6;0:19:44:0;0:20:37:0;1
4;39;6;4;0:23:11:0;1:0:4:0;1
4;ZD39;4;3;1:0:4:0;1:0:30:0;3
5;VD10;3;5;0:5:54:0;0:6:22:0;4
5;10;5;4;0:6:22:0;0:7:9:0;1
5;41;4;7;0:7:20:0;0:7:45:0;1
5;51;7;4;0:8:30:0;0:8:55:0;1
5;2;4;5;0:9:19:0;0:10:0:0;1
5;13;5;4;0:11:2:0;0:11:43:0;1
5;44;4;7;0:12:0:0;0:12:22:0;1
5;54;7;4;0:13:50:0;0:14:13:0;1
5;5;4;5;0:14:39:0;0:15:23:0;1
5;16;5;4;0:15:42:0;0:16:26:0;1
5;47;4;7;0:16:40:0;0:17:3:0;1
5;57;7;4;0:17:50:0;0:18:13:0;1
5;8;4;5;0:18:39:0;0:19:23:0;1
5;19;5;4;0:19:42:0;0:20:19:0;1
5;ZD19;4;3;0:20:19:0;0:20:45:0;3
6;VD60;3;5;0:5:53:0;0:6:21:0;4
6;60;5;6;0:6:21:0;0:7:4:0;1
6;30;6;4;0:7:11:0;0:8:17:0;1
6;22;4;6;0:9:4:0;0:10:2:0;1
6;73;6;5;0:10:16:0;0:10:54:0;1
6;63;5;6;0:11:1:0;0:11:39:0;1
6;33;6;4;0:11:51:0;0:12:49:0;1
6;24;4;6;0:13:4:0;0:14:5:0;1
6;75;6;5;0:14:16:0;0:14:56:0;1
6;66;5;6;0:15:41:0;0:16:21:0;1
6;36;6;4;0:16:31:0;0:17:32:0;1
6;28;4;6;0:18:24:0;0:19:25:0;1
6;79;6;5;0:19:36:0;0:20:11:0;1
6;ZD79;5;3;0:20:11:0;0:20:39:0;3
7;VD80;3;6;0:6:45:0;0:7:3:0;4
7;80;6;8;0:7:3:0;0:8:18:0;1
7;92;8;6;0:9:25:0;0:10:31:0;1
7;83;6;8;0:11:43:0;0:12:49:0;1
7;95;8;6;0:14:45:0;0:15:55:0;1
7;86;6;8;0:16:23:0;0:17:33:0;1
7;98;8;6;0:18:45:0;0:19:55:0;1
7;ZD98;6;3;0:19:55:0;0:20:13:0;3
8;VD40;3;4;0:5:34:0;0:6:0:0;4
8;40;4;7;0:6:0:0;0:6:25:0;1
8;50;7;4;0:7:10:0;0:7:35:0;1
8;21;4;6;0:7:44:0;0:8:50:0;1
8;72;6;5;0:8:56:0;0:9:39:0;1
8;65;5;6;0:14:21:0;0:15:1:0;1
8;35;6;4;0:15:11:0;0:16:12:0;1
8;27;4;6;0:17:4:0;0:18:5:0;1
8;78;6;5;0:18:16:0;0:18:56:0;1
8;69;5;6;0:19:41:0;0:20:16:0;1
8;ZD69;6;3;0:20:16:0;0:20:34:0;3
9;VD1;3;4;0:7:33:0;0:7:59:0;4
9;1;4;5;0:7:59:0;0:8:46:0;1
9;12;5;4;0:9:2:0;0:9:43:0;1
9;43;4;7;0:10:0:0;0:10:22:0;1
9;53;7;4;0:11:50:0;0:12:12:0;1
9;4;4;5;0:13:19:0;0:14:3:0;1
9;15;5;4;0:14:22:0;0:15:6:0;1
9;46;4;7;0:15:20:0;0:15:43:0;1
9;56;7;4;0:16:30:0;0:16:53:0;1
9;7;4;5;0:17:19:0;0:18:3:0;1
9;18;5;4;0:18:22:0;0:19:6:0;1
9;49;4;7;0:19:20:0;0:19:40:0;1
9;59;7;4;0:23:10:0;0:23:30:0;1
9;ZD59;4;3;0:23:30:0;0:23:56:0;3
10;VD91;3;8;0:7:19:0;0:8:5:0;4
10;91;8;6;0:8:5:0;0:9:20:0;1
10;82;6;8;0:9:43:0;0:10:49:0;1
10;94;8;6;0:13:25:0;0:14:35:0;1
10;85;6;8;0:15:3:0;0:16:13:0;1
10;97;8;6;0:17:25:0;0:18:35:0;1
10;88;6;8;0:19:3:0;0:20:3:0;1
10;99;8;6;0:20:5:0;0:21:5:0;1
10;89;6;8;0:23:3:0;1:0:3:0;1
10;ZD89;8;3;1:0:3:0;1:0:49:0;3
