*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD10;3;5;0:5:23:0;0:6:5:0;4
1;10;5;4;0:6:5:0;0:6:48:0;1
1;20;4;6;0:7:19:0;0:8:26:0;1
1;71;6;5;0:8:33:0;0:9:13:0;1
1;13;5;4;0:10:5:0;0:10:43:0;1
1;23;4;6;0:11:59:0;0:12:58:0;1
1;85;6;8;0:14:19:0;0:14:58:0;1
1;96;8;6;0:15:27:0;0:16:6:0;1
1;L96;6;7;0:16:6:0;0:16:23:0;2
1;56;7;4;0:16:26:0;0:17:42:0;1
1;27;4;6;0:17:59:0;0:19:2:0;1
1;78;6;5;0:19:13:0;0:19:45:0;1
1;69;5;6;0:19:49:0;0:20:21:0;1
1;79;6;5;0:23:13:0;0:23:45:0;1
1;ZD79;5;3;0:23:45:0;1:0:27:0;3
2;VD40;3;4;0:5:33:0;0:6:2:0;4
2;40;4;7;0:6:2:0;0:7:23:0;1
2;L40;7;6;0:7:23:0;0:7:40:0;2
2;31;6;4;0:8:3:0;0:9:10:0;1
2;2;4;5;0:9:25:0;0:10:3:0;1
2;14;5;4;0:12:5:0;0:12:43:0;1
2;24;4;6;0:13:59:0;0:15:2:0;1
2;75;6;5;0:15:13:0;0:15:51:0;1
2;67;5;6;0:17:9:0;0:17:47:0;1
2;88;6;8;0:18:19:0;0:18:58:0;1
2;99;8;6;0:19:27:0;0:20:1:0;1
2;39;6;4;0:20:3:0;0:20:57:0;1
2;29;4;6;0:23:19:0;1:0:13:0;1
2;ZD29;6;3;1:0:13:0;1:0:52:0;3
3;VD80;3;6;0:5:40:0;0:6:19:0;4
3;80;6;8;0:6:19:0;0:7:1:0;1
3;L80;8;5;0:7:1:0;0:7:23:0;2
3;11;5;4;0:7:25:0;0:8:8:0;1
3;42;4;7;0:8:42:0;0:10:3:0;1
3;L42;7;6;0:10:3:0;0:10:20:0;2
3;84;6;8;0:12:19:0;0:12:56:0;1
3;95;8;6;0:14:7:0;0:14:46:0;1
3;L95;6;7;0:14:46:0;0:15:3:0;2
3;55;7;4;0:15:6:0;0:16:22:0;1
3;26;4;6;0:16:39:0;0:17:42:0;1
3;77;6;5;0:17:53:0;0:18:31:0;1
3;ZD77;5;3;0:18:31:0;0:19:13:0;3
4;VD90;3;8;0:5:47:0;0:6:7:0;4
4;90;8;6;0:6:7:0;0:6:49:0;1
4;70;6;5;0:7:13:0;0:7:53:0;1
4;12;5;4;0:8:45:0;0:9:28:0;1
4;43;4;7;0:10:2:0;0:11:13:0;1
4;53;7;4;0:11:46:0;0:12:57:0;1
4;4;4;5;0:13:25:0;0:14:5:0;1
4;15;5;4;0:14:5:0;0:14:45:0;1
4;46;4;7;0:15:22:0;0:16:38:0;1
4;L46;7;6;0:16:38:0;0:16:55:0;2
4;37;6;4;0:17:23:0;0:18:26:0;1
4;8;4;5;0:18:45:0;0:19:25:0;1
4;19;5;4;0:19:25:0;0:20:0:0;1
4;9;4;5;0:20:5:0;0:20:40:0;1
4;ZD9;5;3;0:20:40:0;0:21:22:0;3
5;VD60;3;5;0:5:47:0;0:6:29:0;4
5;60;5;6;0:6:29:0;0:7:9:0;1
5;81;6;8;0:7:39:0;0:8:21:0;1
5;92;8;6;0:8:47:0;0:9:29:0;1
5;L92;6;7;0:9:29:0;0:9:46:0;2
5;52;7;4;0:9:46:0;0:10:57:0;1
5;3;4;5;0:11:25:0;0:12:3:0;1
5;65;5;6;0:14:29:0;0:15:7:0;1
