*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD1;3;4;0:6:49:0;0:7:39:0;4
1;1;4;5;0:7:39:0;0:8:38:0;1
1;12;5;4;0:9:31:0;0:10:23:0;1
1;4;4;5;0:12:19:0;0:13:11:0;1
1;64;5;6;0:13:36:0;0:14:22:0;1
1;75;6;5;0:14:53:0;0:15:39:0;1
1;66;5;6;0:16:16:0;0:17:2:0;1
1;77;6;5;0:17:33:0;0:18:19:0;1
1;68;5;6;0:18:56:0;0:19:42:0;1
1;ZD68;6;3;0:19:42:0;0:20:1:0;3
2;VD80;3;6;0:6:48:0;0:7:7:0;4
2;80;6;8;0:7:7:0;0:8:10:0;1
2;92;8;6;0:8:47:0;0:9:50:0;1
2;32;6;4;0:9:58:0;0:10:54:0;1
2;23;4;6;0:11:43:0;0:12:39:0;1
2;34;6;4;0:13:58:0;0:14:58:0;1
2;25;4;6;0:15:3:0;0:16:3:0;1
2;36;6;4;0:16:38:0;0:17:38:0;1
2;27;4;6;0:17:43:0;0:18:43:0;1
2;38;6;4;0:19:18:0;0:20:9:0;1
2;ZD38;4;3;0:20:9:0;0:20:59:0;3
3;VD91;3;8;0:6:47:0;0:7:27:0;4
3;91;8;6;0:7:27:0;0:8:30:0;1
3;31;6;4;0:8:38:0;0:9:42:0;1
3;22;4;6;0:9:43:0;0:10:39:0;1
3;33;6;4;0:11:58:0;0:12:54:0;1
3;24;4;6;0:13:43:0;0:14:43:0;1
3;35;6;4;0:15:18:0;0:16:18:0;1
3;26;4;6;0:16:23:0;0:17:23:0;1
3;37;6;4;0:17:58:0;0:18:58:0;1
3;28;4;6;0:19:3:0;0:19:54:0;1
3;79;6;5;0:20:13:0;0:20:53:0;1
3;ZD79;5;3;0:20:53:0;0:21:39:0;3
4;VD41;3;4;0:6:44:0;0:7:34:0;4
4;41;4;7;0:7:34:0;0:8:59:0;1
4;52;7;4;0:9:24:0;0:10:38:0;1
4;44;4;7;0:12:14:0;0:13:28:0;1
4;55;7;4;0:14:44:0;0:16:3:0;1
4;47;4;7;0:16:54:0;0:18:13:0;1
4;58;7;4;0:18:44:0;0:20:3:0;1
4;ZD58;4;3;0:20:3:0;0:20:53:0;3
5;VD50;3;7;0:6:41:0;0:6:44:0;4
5;50;7;4;0:6:44:0;0:8:9:0;1
5;42;4;7;0:8:54:0;0:10:19:0;1
5;53;7;4;0:11:24:0;0:12:38:0;1
5;45;4;7;0:14:14:0;0:15:33:0;1
5;56;7;4;0:16:4:0;0:17:23:0;1
5;48;4;7;0:18:14:0;0:19:33:0;1
5;59;7;4;0:20:4:0;0:21:12:0;1
5;29;4;6;0:23:3:0;0:23:54:0;1
5;ZD29;6;3;0:23:54:0;1:0:13:0;3
6;VD70;3;6;0:6:34:0;0:6:53:0;4
6;70;6;5;0:6:53:0;0:7:42:0;1
6;61;5;6;0:8:16:0;0:9:5:0;1
6;72;6;5;0:9:33:0;0:10:16:0;1
6;14;5;4;0:13:31:0;0:14:27:0;1
6;6;4;5;0:15:39:0;0:16:35:0;1
6;17;5;4;0:17:31:0;0:18:27:0;1
6;9;4;5;0:19:39:0;0:20:27:0;1
6;ZD9;5;3;0:20:27:0;0:21:13:0;3
7;VD20;3;4;0:6:13:0;0:7:3:0;4
7;20;4;6;0:7:3:0;0:8:7:0;1
7;81;6;8;0:8:27:0;0:9:30:0;1
7;93;8;6;0:10:7:0;0:11:2:0;1
7;83;6;8;0:11:47:0;0:12:42:0;1
7;95;8;6;0:14:7:0;0:15:6:0;1
7;85;6;8;0:15:7:0;0:16:6:0;1
7;97;8;6;0:16:47:0;0:17:46:0;1
7;87;6;8;0:17:47:0;0:18:46:0;1
7;99;8;6;0:19:27:0;0:20:17:0;1
7;39;6;4;0:23:18:0;1:0:9:0;1
7;ZD39;4;3;1:0:9:0;1:0:59:0;3
8;VD60;3;5;0:6:10:0;0:6:56:0;4
8;60;5;6;0:6:56:0;0:7:45:0;1
8;71;6;5;0:8:13:0;0:9:2:0;1
8;62;5;6;0:9:36:0;0:10:19:0;1
8;73;6;5;0:11:33:0;0:12:16:0;1
8;15;5;4;0:14:51:0;0:15:47:0;1
8;7;4;5;0:16:59:0;0:17:55:0;1
8;18;5;4;0:18:51:0;0:19:47:0;1
8;ZD18;4;3;0:19:47:0;0:20:37:0;3
9;VD10;3;5;0:6:5:0;0:6:51:0;4
9;10;5;4;0:6:51:0;0:7:50:0;1
9;2;4;5;0:8:59:0;0:9:58:0;1
9;13;5;4;0:11:31:0;0:12:23:0;1
9;5;4;5;0:14:19:0;0:15:15:0;1
9;16;5;4;0:16:11:0;0:17:7:0;1
9;8;4;5;0:18:19:0;0:19:15:0;1
9;19;5;4;0:20:11:0;0:20:59:0;1
9;ZD19;4;3;0:20:59:0;0:21:49:0;3
10;VD0;3;4;0:5:29:0;0:6:19:0;4
10;0;4;5;0:6:19:0;0:7:18:0;1
10;11;5;4;0:8:11:0;0:9:10:0;1
10;3;4;5;0:10:19:0;0:11:11:0;1
10;63;5;6;0:11:36:0;0:12:19:0;1
10;74;6;5;0:13:33:0;0:14:19:0;1
10;65;5;6;0:14:56:0;0:15:42:0;1
10;76;6;5;0:16:13:0;0:16:59:0;1
10;67;5;6;0:17:36:0;0:18:22:0;1
10;78;6;5;0:18:53:0;0:19:39:0;1
10;69;5;6;0:20:16:0;0:20:56:0;1
