*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD41;3;4;0:7:26:0;0:8:0:0;4
1;41;4;7;0:8:0:0;0:8:26:0;1
1;52;7;4;0:9:35:0;0:9:58:0;1
1;43;4;7;0:11:20:0;0:11:43:0;1
1;54;7;4;0:13:35:0;0:14:0:0;1
1;45;4;7;0:14:40:0;0:15:5:0;1
1;56;7;4;0:16:15:0;0:16:40:0;1
1;47;4;7;0:17:20:0;0:17:45:0;1
1;58;7;4;0:18:55:0;0:19:20:0;1
1;49;4;7;0:20:0:0;0:20:21:0;1
1;ZD49;7;3;0:20:21:0;0:21:8:0;3
2;VD61;3;5;0:7:4:0;0:7:40:0;4
2;61;5;6;0:7:40:0;0:9:28:0;1
2;33;6;4;0:10:2:0;0:11:8:0;1
2;24;4;6;0:13:6:0;0:14:16:0;1
2;75;6;5;0:14:28:0;0:16:8:0;1
2;67;5;6;0:17:0:0;0:18:40:0;1
2;39;6;4;0:19:22:0;0:20:22:0;1
2;ZD39;4;3;0:20:22:0;0:20:56:0;3
3;VD81;3;6;0:6:46:0;0:7:35:0;4
3;81;6;8;0:7:35:0;0:8:42:0;1
3;92;8;6;0:8:52:0;0:9:59:0;1
3;83;6;8;0:10:15:0;0:11:14:0;1
3;94;8;6;0:12:12:0;0:13:11:0;1
3;85;6;8;0:14:15:0;0:15:18:0;1
3;96;8;6;0:15:32:0;0:16:35:0;1
3;87;6;8;0:16:55:0;0:17:58:0;1
3;98;8;6;0:18:12:0;0:19:15:0;1
3;89;6;8;0:19:35:0;0:20:29:0;1
3;ZD89;8;3;0:20:29:0;0:20:48:0;3
4;VD10;3;5;0:6:27:0;0:7:3:0;4
4;10;5;4;0:7:3:0;0:9:2:0;1
4;2;4;5;0:9:9:0;0:10:53:0;1
4;13;5;4;0:11:43:0;0:13:27:0;1
4;5;4;5;0:14:29:0;0:16:20:0;1
4;16;5;4;0:16:23:0;0:18:14:0;1
4;8;4;5;0:18:29:0;0:20:20:0;1
4;ZD8;5;3;0:20:20:0;0:20:56:0;3
5;VD50;3;7;0:6:8:0;0:6:55:0;4
5;50;7;4;0:6:55:0;0:7:21:0;1
5;1;4;5;0:7:49:0;0:9:48:0;1
5;65;5;6;0:14:20:0;0:16:0:0;1
5;37;6;4;0:16:42:0;0:17:52:0;1
5;28;4;6;0:18:26:0;0:19:36:0;1
5;79;6;5;0:19:48:0;0:21:14:0;1
5;ZD79;5;3;0:21:14:0;0:21:50:0;3
6;VD40;3;4;0:6:6:0;0:6:40:0;4
6;40;4;7;0:6:40:0;0:7:6:0;1
6;51;7;4;0:8:15:0;0:8:41:0;1
6;42;4;7;0:9:20:0;0:9:43:0;1
6;53;7;4;0:11:35:0;0:11:58:0;1
6;44;4;7;0:13:20:0;0:13:45:0;1
6;55;7;4;0:14:55:0;0:15:20:0;1
6;46;4;7;0:16:0:0;0:16:25:0;1
6;57;7;4;0:17:35:0;0:18:0:0;1
6;48;4;7;0:18:40:0;0:19:5:0;1
6;59;7;4;0:20:15:0;0:20:36:0;1
6;ZD59;4;3;0:20:36:0;0:21:10:0;3
7;VD0;3;4;0:5:55:0;0:6:29:0;4
7;0;4;5;0:6:29:0;0:8:28:0;1
7;62;5;6;0:9:0:0;0:10:34:0;1
7;73;6;5;0:11:8:0;0:12:42:0;1
7;64;5;6;0:13:0:0;0:14:40:0;1
7;36;6;4;0:15:22:0;0:16:32:0;1
7;7;4;5;0:17:9:0;0:19:0:0;1
7;18;5;4;0:19:3:0;0:20:38:0;1
7;ZD18;4;3;0:20:38:0;0:21:12:0;3
8;VD90;3;8;0:5:53:0;0:6:12:0;4
8;90;8;6;0:6:12:0;0:7:19:0;1
8;31;6;4;0:7:22:0;0:8:37:0;1
8;22;4;6;0:9:6:0;0:10:12:0;1
8;34;6;4;0:12:2:0;0:13:8:0;1
8;25;4;6;0:14:26:0;0:15:36:0;1
8;76;6;5;0:15:48:0;0:17:28:0;1
8;68;5;6;0:18:20:0;0:20:0:0;1
8;ZD68;6;3;0:20:0:0;0:20:49:0;3
9;VD20;3;4;0:5:52:0;0:6:26:0;4
9;20;4;6;0:6:26:0;0:7:41:0;1
9;71;6;5;0:7:48:0;0:9:36:0;1
9;12;5;4;0:9:43:0;0:11:27:0;1
9;4;4;5;0:13:9:0;0:15:0:0;1
9;15;5;4;0:15:3:0;0:16:54:0;1
9;27;4;6;0:17:6:0;0:18:16:0;1
9;78;6;5;0:18:28:0;0:20:8:0;1
9;ZD78;5;3;0:20:8:0;0:20:44:0;3
10;VD60;3;5;0:5:44:0;0:6:20:0;4
10;60;5;6;0:6:20:0;0:8:8:0;1
10;32;6;4;0:8:42:0;0:9:57:0;1
10;23;4;6;0:11:6:0;0:12:12:0;1
10;35;6;4;0:14:2:0;0:15:12:0;1
10;26;4;6;0:15:46:0;0:16:56:0;1
10;77;6;5;0:17:8:0;0:18:48:0;1
10;69;5;6;0:19:40:0;0:21:6:0;1
10;ZD69;6;3;0:21:6:0;0:21:55:0;3
11;VD70;3;6;0:5:39:0;0:6:28:0;4
11;70;6;5;0:6:28:0;0:8:16:0;1
11;11;5;4;0:8:23:0;0:10:22:0;1
11;3;4;5;0:11:9:0;0:12:53:0;1
11;14;5;4;0:13:43:0;0:15:34:0;1
11;6;4;5;0:15:49:0;0:17:40:0;1
11;17;5;4;0:17:43:0;0:19:34:0;1
11;9;4;5;0:19:49:0;0:21:24:0;1
11;19;5;4;0:23:3:0;1:0:38:0;1
11;ZD19;4;3;1:0:38:0;1:1:12:0;3
12;VD80;3;6;0:5:26:0;0:6:15:0;4
12;80;6;8;0:6:15:0;0:7:22:0;1
12;91;8;6;0:7:32:0;0:8:39:0;1
12;82;6;8;0:8:55:0;0:10:2:0;1
12;93;8;6;0:10:12:0;0:11:11:0;1
12;84;6;8;0:12:15:0;0:13:14:0;1
12;95;8;6;0:14:12:0;0:15:15:0;1
12;86;6;8;0:15:35:0;0:16:38:0;1
12;97;8;6;0:16:52:0;0:17:55:0;1
12;88;6;8;0:18:15:0;0:19:18:0;1
12;99;8;6;0:19:32:0;0:20:26:0;1
12;ZD99;6;3;0:20:26:0;0:21:15:0;3
13;VD30;3;6;0:5:13:0;0:6:2:0;4
13;30;6;4;0:6:2:0;0:7:17:0;1
13;21;4;6;0:7:46:0;0:9:1:0;1
13;72;6;5;0:9:8:0;0:10:42:0;1
13;63;5;6;0:11:0:0;0:12:34:0;1
13;74;6;5;0:13:8:0;0:14:48:0;1
13;66;5;6;0:15:40:0;0:17:20:0;1
13;38;6;4;0:18:2:0;0:19:12:0;1
13;29;4;6;0:19:46:0;0:20:46:0;1
13;ZD29;6;3;0:20:46:0;0:21:35:0;3
