*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD80;3;6;0:5:48:0;0:6:23:0;4
1;80;6;8;0:6:23:0;0:7:24:0;1
1;91;8;6;0:7:43:0;0:8:44:0;1
1;82;6;8;0:9:3:0;0:9:57:0;1
1;93;8;6;0:11:3:0;0:11:57:0;1
1;34;6;4;0:13:54:0;0:14:17:0;1
1;25;4;6;0:14:26:0;0:14:49:0;1
1;76;6;5;0:15:36:0;0:16:0:0;1
1;17;5;4;0:16:42:0;0:17:23:0;1
1;8;4;5;0:18:16:0;0:18:57:0;1
1;69;5;6;0:19:36:0;0:19:56:0;1
1;ZD69;6;3;0:19:56:0;0:20:31:0;3
2;VD40;3;4;0:5:47:0;0:6:35:0;4
2;40;4;7;0:6:35:0;0:6:58:0;1
2;51;7;4;0:7:39:0;0:8:2:0;1
2;2;4;5;0:8:56:0;0:9:39:0;1
2;63;5;6;0:10:16:0;0:10:38:0;1
2;83;6;8;0:11:3:0;0:11:57:0;1
2;94;8;6;0:13:3:0;0:14:0:0;1
2;85;6;8;0:14:23:0;0:15:20:0;1
2;96;8;6;0:15:43:0;0:16:40:0;1
2;87;6;8;0:17:3:0;0:18:0:0;1
2;98;8;6;0:18:23:0;0:19:20:0;1
2;89;6;8;0:19:43:0;0:20:32:0;1
2;ZD89;8;3;0:20:32:0;0:21:35:0;3
3;VD60;3;5;0:5:44:0;0:6:16:0;4
3;60;5;6;0:6:16:0;0:6:41:0;1
3;30;6;4;0:7:14:0;0:7:38:0;1
3;21;4;6;0:7:46:0;0:8:10:0;1
3;72;6;5;0:8:56:0;0:9:21:0;1
3;13;5;4;0:10:2:0;0:10:40:0;1
