*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
14;1;3;-1
15;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD81;3;6;0:7:19:0;0:8:1:0;4
1;81;6;8;0:8:1:0;0:8:50:0;1
1;92;8;6;0:8:52:0;0:9:41:0;1
1;32;6;4;0:9:53:0;0:10:56:0;1
1;4;4;5;0:12:1:0;0:12:56:0;1
1;64;5;6;0:13:39:0;0:15:17:0;1
1;86;6;8;0:16:1:0;0:16:44:0;1
1;97;8;6;0:16:52:0;0:17:35:0;1
1;37;6;4;0:17:53:0;0:18:58:0;1
1;9;4;5;0:19:21:0;0:20:11:0;1
1;69;5;6;0:20:19:0;0:21:45:0;1
1;79;6;5;0:23:15:0;1:0:41:0;1
1;ZD79;5;3;1:0:41:0;1:0:57:0;3
2;VD1;3;4;0:7:6:0;0:7:21:0;4
2;1;4;5;0:7:21:0;0:8:26:0;1
2;62;5;6;0:9:39:0;0:11:13:0;1
2;83;6;8;0:11:21:0;0:12:2:0;1
2;94;8;6;0:12:12:0;0:12:53:0;1
2;34;6;4;0:13:53:0;0:14:58:0;1
2;6;4;5;0:15:21:0;0:16:18:0;1
2;66;5;6;0:16:19:0;0:17:57:0;1
2;88;6;8;0:18:41:0;0:19:24:0;1
2;99;8;6;0:19:32:0;0:20:10:0;1
2;ZD99;6;3;0:20:10:0;0:20:52:0;3
3;VD20;3;4;0:7:0:0;0:7:15:0;4
3;20;4;6;0:7:15:0;0:8:30:0;1
3;71;6;5;0:8:35:0;0:10:27:0;1
3;13;5;4;0:11:31:0;0:12:26:0;1
3;44;4;7;0:13:34:0;0:15:36:0;1
3;56;7;4;0:15:50:0;0:17:52:0;1
3;8;4;5;0:18:1:0;0:18:58:0;1
3;68;5;6;0:18:59:0;0:20:37:0;1
3;39;6;4;0:23:13:0;1:0:11:0;1
3;ZD39;4;3;1:0:11:0;1:0:26:0;3
4;VD51;3;7;0:6:59:0;0:7:50:0;4
4;51;7;4;0:7:50:0;0:10:10:0;1
4;ZD51;4;3;0:10:10:0;0:10:25:0;3
5;VD60;3;5;0:6:43:0;0:6:59:0;4
5;60;5;6;0:6:59:0;0:8:51:0;1
5;82;6;8;0:9:21:0;0:10:2:0;1
5;93;8;6;0:10:12:0;0:10:53:0;1
5;73;6;5;0:11:55:0;0:13:29:0;1
5;15;5;4;0:14:51:0;0:15:48:0;1
5;46;4;7;0:16:14:0;0:18:16:0;1
5;58;7;4;0:18:30:0;0:20:32:0;1
5;ZD58;4;3;0:20:32:0;0:20:47:0;3
6;VD40;3;4;0:6:39:0;0:6:54:0;4
6;40;4;7;0:6:54:0;0:9:14:0;1
6;ZD40;7;3;0:9:14:0;0:10:5:0;3
7;VD10;3;5;0:6:35:0;0:6:51:0;4
7;10;5;4;0:6:51:0;0:7:56:0;1
7;41;4;7;0:8:14:0;0:10:34:0;1
7;53;7;4;0:11:10:0;0:13:7:0;1
7;24;4;6;0:13:55:0;0:15:0:0;1
7;75;6;5;0:15:15:0;0:16:53:0;1
7;17;5;4;0:17:31:0;0:18:28:0;1
7;48;4;7;0:18:54:0;0:20:56:0;1
7;ZD48;7;3;0:20:56:0;0:21:47:0;3
8;VD70;3;6;0:6:33:0;0:7:15:0;4
8;70;6;5;0:7:15:0;0:9:7:0;1
8;12;5;4;0:9:31:0;0:10:26:0;1
8;43;4;7;0:11:34:0;0:13:31:0;1
8;55;7;4;0:14:30:0;0:16:32:0;1
8;7;4;5;0:16:41:0;0:17:38:0;1
8;67;5;6;0:17:39:0;0:19:17:0;1
8;89;6;8;0:20:1:0;0:20:39:0;1
8;ZD89;8;3;0:20:39:0;0:21:8:0;3
9;VD80;3;6;0:5:59:0;0:6:41:0;4
9;80;6;8;0:6:41:0;0:7:30:0;1
9;91;8;6;0:7:32:0;0:8:21:0;1
9;31;6;4;0:8:33:0;0:9:48:0;1
9;3;4;5;0:10:1:0;0:10:56:0;1
9;63;5;6;0:11:39:0;0:13:13:0;1
9;84;6;8;0:13:21:0;0:14:4:0;1
9;95;8;6;0:14:12:0;0:14:55:0;1
9;35;6;4;0:15:13:0;0:16:18:0;1
9;26;4;6;0:16:35:0;0:17:40:0;1
9;77;6;5;0:17:55:0;0:19:33:0;1
9;19;5;4;0:20:11:0;0:21:1:0;1
9;ZD19;4;3;0:21:1:0;0:21:16:0;3
10;VD0;3;4;0:5:46:0;0:6:1:0;4
10;0;4;5;0:6:1:0;0:7:6:0;1
10;11;5;4;0:8:11:0;0:9:16:0;1
10;42;4;7;0:9:34:0;0:11:31:0;1
10;54;7;4;0:13:10:0;0:15:12:0;1
10;25;4;6;0:15:15:0;0:16:20:0;1
10;76;6;5;0:16:35:0;0:18:13:0;1
10;18;5;4;0:18:51:0;0:19:48:0;1
10;ZD18;4;3;0:19:48:0;0:20:3:0;3
11;VD90;3;8;0:5:43:0;0:6:12:0;4
11;90;8;6;0:6:12:0;0:7:1:0;1
11;30;6;4;0:7:13:0;0:8:28:0;1
11;21;4;6;0:8:35:0;0:9:50:0;1
11;72;6;5;0:9:55:0;0:11:29:0;1
11;14;5;4;0:13:31:0;0:14:28:0;1
11;45;4;7;0:14:54:0;0:16:56:0;1
11;57;7;4;0:17:10:0;0:19:12:0;1
11;28;4;6;0:19:15:0;0:20:13:0;1
11;ZD28;6;3;0:20:13:0;0:20:55:0;3
12;VD61;3;5;0:8:3:0;0:8:19:0;4
12;61;5;6;0:8:19:0;0:10:11:0;1
12;33;6;4;0:11:53:0;0:12:56:0;1
12;5;4;5;0:14:1:0;0:14:58:0;1
12;65;5;6;0:14:59:0;0:16:37:0;1
12;87;6;8;0:17:21:0;0:18:4:0;1
12;98;8;6;0:18:12:0;0:18:55:0;1
12;38;6;4;0:19:13:0;0:20:11:0;1
12;49;4;7;0:20:14:0;0:22:2:0;1
12;ZD49;7;3;0:22:2:0;0:22:53:0;3
13;VD2;3;4;0:8:26:0;0:8:41:0;4
13;2;4;5;0:8:41:0;0:9:46:0;1
13;ZD2;5;3;0:9:46:0;0:10:2:0;3
14;VD50;3;7;0:5:39:0;0:6:30:0;4
14;50;7;4;0:6:30:0;0:8:50:0;1
14;22;4;6;0:9:55:0;0:10:58:0;1
14;85;6;8;0:14:41:0;0:15:24:0;1
14;96;8;6;0:15:32:0;0:16:15:0;1
14;36;6;4;0:16:33:0;0:17:38:0;1
14;27;4;6;0:17:55:0;0:19:0:0;1
14;78;6;5;0:19:15:0;0:20:41:0;1
14;ZD78;5;3;0:20:41:0;0:20:57:0;3
15;VD52;3;7;0:8:19:0;0:9:10:0;4
15;52;7;4;0:9:10:0;0:11:7:0;1
15;23;4;6;0:11:55:0;0:12:58:0;1
15;74;6;5;0:13:55:0;0:15:33:0;1
15;16;5;4;0:16:11:0;0:17:8:0;1
15;47;4;7;0:17:34:0;0:19:36:0;1
15;59;7;4;0:19:50:0;0:21:38:0;1
15;29;4;6;0:23:15:0;1:0:13:0;1
15;ZD29;6;3;1:0:13:0;1:0:55:0;3
