*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD51;3;7;0:7:32:0;0:7:58:0;4
1;51;7;4;0:7:58:0;0:9:45:0;1
1;22;4;6;0:9:46:0;0:10:36:0;1
1;74;6;5;0:12:19:0;0:13:51:0;1
1;65;5;6;0:14:45:0;0:16:21:0;1
1;36;6;4;0:16:21:0;0:17:13:0;1
1;48;4;7;0:18:30:0;0:20:3:0;1
1;ZD48;7;3;0:20:3:0;0:20:29:0;3
2;VD61;3;5;0:7:8:0;0:8:5:0;4
2;61;5;6;0:8:5:0;0:9:56:0;1
2;73;6;5;0:10:19:0;0:11:51:0;1
2;15;5;4;0:15:3:0;0:16:28:0;1
2;6;4;5;0:16:29:0;0:17:54:0;1
2;18;5;4;0:19:3:0;0:20:19:0;1
2;9;4;5;0:23:9:0;1:0:25:0;1
2;ZD9;5;3;1:0:25:0;1:1:22:0;3
3;VD71;3;6;0:7:27:0;0:7:39:0;4
3;71;6;5;0:7:39:0;0:9:30:0;1
3;12;5;4;0:9:43:0;0:11:5:0;1
3;3;4;5;0:11:49:0;0:13:11:0;1
3;64;5;6;0:13:25:0;0:15:1:0;1
3;35;6;4;0:15:1:0;0:15:53:0;1
3;47;4;7;0:17:10:0;0:18:43:0;1
3;59;7;4;0:19:58:0;0:21:20:0;1
3;29;4;6;0:23:6:0;0:23:52:0;1
3;ZD29;6;3;0:23:52:0;1:0:4:0;3
4;VD41;3;4;0:7:18:0;0:7:50:0;4
4;41;4;7;0:7:50:0;0:9:37:0;1
4;53;7;4;0:11:18:0;0:12:47:0;1
4;45;4;7;0:14:30:0;0:16:3:0;1
4;57;7;4;0:17:18:0;0:18:51:0;1
4;28;4;6;0:19:6:0;0:19:52:0;1
4;ZD28;6;3;0:19:52:0;0:20:4:0;3
5;VD60;3;5;0:5:48:0;0:6:45:0;4
5;60;5;6;0:6:45:0;0:8:36:0;1
5;72;6;5;0:8:59:0;0:10:50:0;1
5;14;5;4;0:13:43:0;0:15:8:0;1
5;5;4;5;0:15:9:0;0:16:34:0;1
5;17;5;4;0:17:43:0;0:19:8:0;1
5;8;4;5;0:19:9:0;0:20:25:0;1
5;ZD8;5;3;0:20:25:0;0:21:22:0;3
6;VD40;3;4;0:5:58:0;0:6:30:0;4
6;40;4;7;0:6:30:0;0:8:17:0;1
6;52;7;4;0:9:18:0;0:10:47:0;1
6;24;4;6;0:13:46:0;0:14:38:0;1
6;76;6;5;0:15:39:0;0:17:15:0;1
6;67;5;6;0:17:25:0;0:19:1:0;1
6;38;6;4;0:19:1:0;0:19:47:0;1
6;49;4;7;0:19:50:0;0:21:12:0;1
6;ZD49;7;3;0:21:12:0;0:21:38:0;3
7;VD10;3;5;0:6:6:0;0:7:3:0;4
7;10;5;4;0:7:3:0;0:8:41:0;1
7;42;4;7;0:9:10:0;0:10:39:0;1
7;54;7;4;0:13:18:0;0:14:51:0;1
7;25;4;6;0:15:6:0;0:15:58:0;1
7;77;6;5;0:16:59:0;0:18:35:0;1
7;68;5;6;0:18:45:0;0:20:21:0;1
7;ZD68;6;3;0:20:21:0;0:20:33:0;3
8;VD70;3;6;0:6:7:0;0:6:19:0;4
8;70;6;5;0:6:19:0;0:8:10:0;1
8;11;5;4;0:8:23:0;0:10:1:0;1
8;23;4;6;0:11:46:0;0:12:36:0;1
8;75;6;5;0:14:19:0;0:15:55:0;1
8;66;5;6;0:16:5:0;0:17:41:0;1
8;37;6;4;0:17:41:0;0:18:33:0;1
8;ZD37;4;3;0:18:33:0;0:19:5:0;3
9;VD50;3;7;0:6:12:0;0:6:38:0;4
9;50;7;4;0:6:38:0;0:8:25:0;1
9;21;4;6;0:8:26:0;0:9:25:0;1
9;32;6;4;0:9:41:0;0:10:31:0;1
9;43;4;7;0:11:10:0;0:12:39:0;1
9;55;7;4;0:14:38:0;0:16:11:0;1
9;26;4;6;0:16:26:0;0:17:18:0;1
9;78;6;5;0:18:19:0;0:19:55:0;1
9;69;5;6;0:20:5:0;0:21:30:0;1
9;39;6;4;0:23:1:0;0:23:47:0;1
9;ZD39;4;3;0:23:47:0;1:0:19:0;3
10;VD80;3;6;0:6:18:0;0:6:30:0;4
10;80;6;8;0:6:30:0;0:7:3:0;1
10;90;8;6;0:7:13:0;0:7:46:0;1
10;81;6;8;0:7:50:0;0:8:23:0;1
10;91;8;6;0:8:33:0;0:9:6:0;1
10;82;6;8;0:9:10:0;0:9:38:0;1
10;92;8;6;0:9:53:0;0:10:21:0;1
