*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD30;3;6;0:6:49:0;0:7:1:0;4
1;30;6;4;0:7:1:0;0:8:0:0;1
1;1;4;5;0:8:29:0;0:10:7:0;1
1;13;5;4;0:11:43:0;0:13:5:0;1
1;24;4;6;0:13:46:0;0:14:38:0;1
1;35;6;4;0:15:1:0;0:15:53:0;1
1;47;4;7;0:17:10:0;0:18:43:0;1
1;59;7;4;0:19:58:0;0:21:20:0;1
1;29;4;6;0:23:6:0;0:23:52:0;1
1;ZD29;6;3;0:23:52:0;1:0:4:0;3
2;VD0;3;4;0:6:37:0;0:7:9:0;4
2;0;4;5;0:7:9:0;0:8:47:0;1
2;62;5;6;0:9:25:0;0:10:57:0;1
2;83;6;8;0:11:10:0;0:11:38:0;1
2;93;8;6;0:11:53:0;0:12:21:0;1
2;34;6;4;0:13:41:0;0:14:33:0;1
2;46;4;7;0:15:50:0;0:17:23:0;1
2;58;7;4;0:18:38:0;0:20:11:0;1
2;ZD58;4;3;0:20:11:0;0:20:43:0;3
3;VD20;3;4;0:6:34:0;0:7:6:0;4
3;20;4;6;0:7:6:0;0:8:5:0;1
3;31;6;4;0:8:21:0;0:9:20:0;1
3;2;4;5;0:9:49:0;0:11:11:0;1
3;63;5;6;0:11:25:0;0:12:57:0;1
3;84;6;8;0:13:10:0;0:13:39:0;1
3;94;8;6;0:13:53:0;0:14:22:0;1
3;85;6;8;0:14:30:0;0:14:59:0;1
3;95;8;6;0:15:13:0;0:15:42:0;1
3;86;6;8;0:15:50:0;0:16:19:0;1
3;96;8;6;0:16:33:0;0:17:2:0;1
3;87;6;8;0:17:10:0;0:17:39:0;1
3;97;8;6;0:17:53:0;0:18:22:0;1
3;88;6;8;0:18:30:0;0:18:59:0;1
3;98;8;6;0:19:13:0;0:19:38:0;1
3;89;6;8;0:19:50:0;0:20:15:0;1
3;99;8;6;0:23:13:0;0:23:38:0;1
3;ZD99;6;3;0:23:38:0;0:23:50:0;3
4;VD80;3;6;0:6:18:0;0:6:30:0;4
4;80;6;8;0:6:30:0;0:7:3:0;1
4;90;8;6;0:7:13:0;0:7:46:0;1
4;81;6;8;0:7:50:0;0:8:23:0;1
4;91;8;6;0:8:33:0;0:9:6:0;1
4;82;6;8;0:9:10:0;0:9:38:0;1
4;92;8;6;0:9:53:0;0:10:21:0;1
4;33;6;4;0:11:41:0;0:12:31:0;1
4;45;4;7;0:14:30:0;0:16:3:0;1
4;57;7;4;0:17:18:0;0:18:51:0;1
4;28;4;6;0:19:6:0;0:19:52:0;1
4;ZD28;6;3;0:19:52:0;0:20:4:0;3
5;VD50;3;7;0:6:12:0;0:6:38:0;4
5;50;7;4;0:6:38:0;0:8:25:0;1
5;21;4;6;0:8:26:0;0:9:25:0;1
