*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD81;3;6;0:7:12:0;0:8:17:0;4
1;81;6;8;0:8:17:0;0:9:42:0;1
1;93;8;6;0:10:15:0;0:11:26:0;1
1;34;6;4;0:13:1:0;0:14:23:0;1
1;45;4;7;0:15:15:0;0:15:56:0;1
1;57;7;4;0:16:40:0;0:17:21:0;1
1;27;4;6;0:17:55:0;0:19:17:0;1
1;79;6;5;0:20:1:0;0:21:9:0;1
1;ZD79;5;3;0:21:9:0;0:21:53:0;3
2;VD71;3;6;0:6:56:0;0:8:1:0;4
2;71;6;5;0:8:1:0;0:9:30:0;1
2;12;5;4;0:9:37:0;0:10:3:0;1
2;23;4;6;0:11:55:0;0:13:14:0;1
2;74;6;5;0:13:21:0;0:14:38:0;1
2;65;5;6;0:14:50:0;0:16:7:0;1
2;86;6;8;0:16:17:0;0:17:31:0;1
2;98;8;6;0:18:15:0;0:19:29:0;1
2;39;6;4;0:19:41:0;0:20:54:0;1
2;49;4;7;0:23:15:0;0:23:52:0;1
2;ZD49;7;3;0:23:52:0;1:0:43:0;3
3;VD91;3;8;0:6:49:0;0:7:35:0;4
3;91;8;6;0:7:35:0;0:9:0:0;1
3;72;6;5;0:9:21:0;0:10:35:0;1
3;13;5;4;0:11:37:0;0:12:3:0;1
3;44;4;7;0:13:55:0;0:14:36:0;1
3;56;7;4;0:15:20:0;0:16:1:0;1
3;6;4;5;0:16:1:0;0:16:28:0;1
3;17;5;4;0:17:37:0;0:18:4:0;1
3;28;4;6;0:19:15:0;0:20:28:0;1
3;ZD28;6;3;0:20:28:0;0:21:33:0;3
4;VD20;3;4;0:6:43:0;0:7:15:0;4
4;20;4;6;0:7:15:0;0:8:50:0;1
4;82;6;8;0:9:37:0;0:10:48:0;1
4;94;8;6;0:12:15:0;0:13:26:0;1
4;75;6;5;0:14:41:0;0:15:58:0;1
4;16;5;4;0:16:17:0;0:16:44:0;1
4;47;4;7;0:17:55:0;0:18:36:0;1
4;59;7;4;0:19:20:0;0:19:57:0;1
4;9;4;5;0:20:1:0;0:20:25:0;1
