*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
14;1;3;-1
15;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD1;3;4;0:7:5:0;0:7:32:0;4
1;1;4;5;0:7:32:0;0:9:42:0;1
1;63;5;6;0:10:8:0;0:11:39:0;1
1;74;6;5;0:13:44:0;0:15:19:0;1
1;66;5;6;0:15:28:0;0:17:3:0;1
1;77;6;5;0:17:44:0;0:19:19:0;1
1;69;5;6;0:19:28:0;0:20:52:0;1
1;79;6;5;0:23:4:0;1:0:28:0;1
1;ZD79;5;3;1:0:28:0;1:1:9:0;3
2;VD91;3;8;0:6:55:0;0:7:28:0;4
2;91;8;6;0:7:28:0;0:8:41:0;1
2;32;6;4;0:9:26:0;0:10:24:0;1
2;ZD32;4;3;0:10:24:0;0:10:51:0;3
3;VD61;3;5;0:6:47:0;0:7:28:0;4
3;61;5;6;0:7:28:0;0:9:17:0;1
3;72;6;5;0:9:44:0;0:11:15:0;1
3;64;5;6;0:12:8:0;0:13:39:0;1
3;75;6;5;0:15:4:0;0:16:39:0;1
3;67;5;6;0:16:48:0;0:18:23:0;1
3;78;6;5;0:19:4:0;0:20:28:0;1
3;ZD78;5;3;0:20:28:0;0:21:9:0;3
4;VD20;3;4;0:6:36:0;0:7:3:0;4
4;20;4;6;0:7:3:0;0:8:13:0;1
4;81;6;8;0:8:39:0;0:9:52:0;1
4;93;8;6;0:10:8:0;0:11:9:0;1
4;83;6;8;0:11:59:0;0:13:0:0;1
4;95;8;6;0:14:8:0;0:15:11:0;1
4;85;6;8;0:15:19:0;0:16:22:0;1
4;97;8;6;0:16:48:0;0:17:51:0;1
4;87;6;8;0:17:59:0;0:19:2:0;1
4;99;8;6;0:19:28:0;0:20:24:0;1
4;89;6;8;0:23:19:0;1:0:15:0;1
4;ZD89;8;3;1:0:15:0;1:0:48:0;3
5;VD80;3;6;0:6:35:0;0:7:19:0;4
5;80;6;8;0:7:19:0;0:8:32:0;1
5;92;8;6;0:8:48:0;0:10:1:0;1
5;ZD92;6;3;0:10:1:0;0:10:45:0;3
6;VD70;3;6;0:6:20:0;0:7:4:0;4
6;70;6;5;0:7:4:0;0:8:53:0;1
6;12;5;4;0:9:35:0;0:11:23:0;1
6;4;4;5;0:12:12:0;0:14:0:0;1
6;15;5;4;0:14:55:0;0:16:48:0;1
6;7;4;5;0:16:52:0;0:18:45:0;1
6;18;5;4;0:18:55:0;0:20:48:0;1
6;ZD18;4;3;0:20:48:0;0:21:15:0;3
7;VD10;3;5;0:6:14:0;0:6:55:0;4
7;10;5;4;0:6:55:0;0:9:5:0;1
7;3;4;5;0:10:12:0;0:12:0:0;1
7;14;5;4;0:13:35:0;0:15:28:0;1
7;6;4;5;0:15:32:0;0:17:25:0;1
7;17;5;4;0:17:35:0;0:19:28:0;1
7;9;4;5;0:19:32:0;0:21:12:0;1
7;ZD9;5;3;0:21:12:0;0:21:53:0;3
8;VD50;3;7;0:6:9:0;0:6:20:0;4
8;50;7;4;0:6:20:0;0:7:15:0;1
8;41;4;7;0:7:24:0;0:8:19:0;1
8;52;7;4;0:9:0:0;0:9:46:0;1
8;43;4;7;0:10:4:0;0:10:50:0;1
8;54;7;4;0:13:0:0;0:13:48:0;1
8;45;4;7;0:14:4:0;0:14:52:0;1
8;56;7;4;0:15:40:0;0:16:28:0;1
8;47;4;7;0:16:44:0;0:17:32:0;1
8;58;7;4;0:18:20:0;0:19:8:0;1
8;49;4;7;0:19:24:0;0:20:6:0;1
8;ZD49;7;3;0:20:6:0;0:20:17:0;3
9;VD30;3;6;0:6:2:0;0:6:46:0;4
