*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD31;3;6;0:7:24:0;0:8:3:0;4
1;31;6;4;0:8:3:0;0:9:37:0;1
1;22;4;6;0:9:59:0;0:11:17:0;1
1;73;6;5;0:11:53:0;0:12:40:0;1
1;15;5;4;0:14:5:0;0:14:58:0;1
1;25;4;6;0:15:19:0;0:16:40:0;1
1;87;6;8;0:16:59:0;0:17:50:0;1
1;98;8;6;0:18:7:0;0:18:58:0;1
1;78;6;5;0:19:13:0;0:19:56:0;1
1;ZD78;5;3;0:19:56:0;0:20:38:0;3
2;VD41;3;4;0:6:53:0;0:7:22:0;4
2;41;4;7;0:7:22:0;0:9:16:0;1
2;52;7;4;0:9:46:0;0:11:21:0;1
2;23;4;6;0:11:59:0;0:13:17:0;1
2;74;6;5;0:13:53:0;0:14:42:0;1
2;16;5;4;0:15:25:0;0:16:18:0;1
2;26;4;6;0:16:39:0;0:18:0:0;1
2;88;6;8;0:18:19:0;0:19:10:0;1
2;99;8;6;0:19:27:0;0:20:12:0;1
2;ZD99;6;3;0:20:12:0;0:20:51:0;3
3;VD11;3;5;0:6:43:0;0:7:25:0;4
3;11;5;4;0:7:25:0;0:8:25:0;1
3;21;4;6;0:8:39:0;0:10:13:0;1
3;83;6;8;0:10:19:0;0:11:8:0;1
3;94;8;6;0:12:7:0;0:12:56:0;1
3;34;6;4;0:13:23:0;0:14:44:0;1
3;5;4;5;0:14:45:0;0:15:38:0;1
3;66;5;6;0:15:49:0;0:16:38:0;1
3;37;6;4;0:17:23:0;0:18:44:0;1
3;49;4;7;0:19:22:0;0:20:49:0;1
3;59;7;4;0:23:6:0;1:0:33:0;1
3;ZD59;4;3;1:0:33:0;1:1:2:0;3
4;VD0;3;4;0:6:16:0;0:6:45:0;4
4;0;4;5;0:6:45:0;0:7:45:0;1
4;61;5;6;0:7:49:0;0:8:45:0;1
4;32;6;4;0:9:23:0;0:10:41:0;1
4;44;4;7;0:12:2:0;0:13:37:0;1
4;55;7;4;0:15:6:0;0:16:45:0;1
4;48;4;7;0:18:2:0;0:19:41:0;1
4;ZD48;7;3;0:19:41:0;0:20:35:0;3
5;VD50;3;7;0:6:12:0;0:7:6:0;4
5;50;7;4;0:7:6:0;0:9:0:0;1
5;2;4;5;0:9:25:0;0:10:15:0;1
5;63;5;6;0:11:9:0;0:11:56:0;1
5;84;6;8;0:12:19:0;0:13:8:0;1
5;95;8;6;0:14:7:0;0:14:58:0;1
5;75;6;5;0:15:13:0;0:16:2:0;1
5;17;5;4;0:16:45:0;0:17:38:0;1
5;27;4;6;0:17:59:0;0:19:20:0;1
5;89;6;8;0:19:39:0;0:20:24:0;1
5;ZD89;8;3;0:20:24:0;0:20:44:0;3
6;VD30;3;6;0:6:4:0;0:6:43:0;4
6;30;6;4;0:6:43:0;0:8:17:0;1
6;42;4;7;0:8:42:0;0:10:36:0;1
6;53;7;4;0:11:46:0;0:13:21:0;1
6;4;4;5;0:13:25:0;0:14:18:0;1
6;65;5;6;0:14:29:0;0:15:18:0;1
6;36;6;4;0:16:3:0;0:17:24:0;1
6;7;4;5;0:17:25:0;0:18:18:0;1
6;68;5;6;0:18:29:0;0:19:18:0;1
6;39;6;4;0:20:3:0;0:21:15:0;1
6;29;4;6;0:23:19:0;1:0:31:0;1
6;ZD29;6;3;1:0:31:0;1:1:10:0;3
7;VD90;3;8;0:5:47:0;0:6:7:0;4
7;90;8;6;0:6:7:0;0:7:5:0;1
7;70;6;5;0:7:13:0;0:8:9:0;1
7;12;5;4;0:8:45:0;0:9:45:0;1
7;43;4;7;0:10:2:0;0:11:37:0;1
7;54;7;4;0:13:46:0;0:15:25:0;1
7;6;4;5;0:16:5:0;0:16:58:0;1
7;67;5;6;0:17:9:0;0:17:58:0;1
7;38;6;4;0:18:43:0;0:20:4:0;1
7;9;4;5;0:20:5:0;0:20:52:0;1
7;ZD9;5;3;0:20:52:0;0:21:34:0;3
8;VD60;3;5;0:5:47:0;0:6:29:0;4
8;60;5;6;0:6:29:0;0:7:25:0;1
8;81;6;8;0:7:39:0;0:8:37:0;1
8;92;8;6;0:8:47:0;0:9:45:0;1
8;72;6;5;0:9:53:0;0:10:40:0;1
8;14;5;4;0:12:5:0;0:12:55:0;1
8;46;4;7;0:15:22:0;0:17:1:0;1
8;57;7;4;0:17:46:0;0:19:25:0;1
8;ZD57;4;3;0:19:25:0;0:19:54:0;3
9;VD80;3;6;0:5:40:0;0:6:19:0;4
9;80;6;8;0:6:19:0;0:7:17:0;1
9;91;8;6;0:7:27:0;0:8:25:0;1
9;71;6;5;0:8:33:0;0:9:29:0;1
9;13;5;4;0:10:5:0;0:10:55:0;1
9;24;4;6;0:13:59:0;0:15:20:0;1
9;86;6;8;0:15:39:0;0:16:30:0;1
9;97;8;6;0:16:47:0;0:17:38:0;1
9;77;6;5;0:17:53:0;0:18:42:0;1
9;19;5;4;0:19:25:0;0:20:12:0;1
9;ZD19;4;3;0:20:12:0;0:20:41:0;3
10;VD40;3;4;0:5:33:0;0:6:2:0;4
10;40;4;7;0:6:2:0;0:7:56:0;1
10;51;7;4;0:8:26:0;0:10:20:0;1
10;3;4;5;0:11:25:0;0:12:15:0;1
10;64;5;6;0:13:9:0;0:13:58:0;1
10;85;6;8;0:14:19:0;0:15:10:0;1
10;96;8;6;0:15:27:0;0:16:18:0;1
10;76;6;5;0:16:33:0;0:17:22:0;1
10;18;5;4;0:18:5:0;0:18:58:0;1
10;28;4;6;0:19:19:0;0:20:31:0;1
10;ZD28;6;3;0:20:31:0;0:21:10:0;3
11;VD10;3;5;0:5:23:0;0:6:5:0;4
11;10;5;4;0:6:5:0;0:7:5:0;1
11;20;4;6;0:7:19:0;0:8:53:0;1
