*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
14;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD30;3;6;0:6:59:0;0:7:18:0;4
1;30;6;4;0:7:18:0;0:8:47:0;1
1;42;4;7;0:8:54:0;0:10:52:0;1
1;53;7;4;0:11:24:0;0:13:3:0;1
1;45;4;7;0:14:14:0;0:15:57:0;1
1;56;7;4;0:16:4:0;0:17:47:0;1
1;8;4;5;0:18:19:0;0:19:31:0;1
1;19;5;4;0:20:11:0;0:21:15:0;1
1;ZD19;4;3;0:21:15:0;0:22:5:0;3
2;VD1;3;4;0:6:49:0;0:7:39:0;4
2;1;4;5;0:7:39:0;0:9:2:0;1
2;12;5;4;0:9:31:0;0:10:40:0;1
2;4;4;5;0:12:19:0;0:13:28:0;1
2;64;5;6;0:13:36:0;0:14:36:0;1
2;35;6;4;0:15:18:0;0:16:36:0;1
2;47;4;7;0:16:54:0;0:18:37:0;1
2;58;7;4;0:18:44:0;0:20:27:0;1
2;ZD38;4;3;0:20:27:0;0:21:17:0;3
3;VD80;3;6;0:6:48:0;0:7:7:0;4
3;80;6;8;0:7:7:0;0:8:35:0;1
3;92;8;6;0:8:47:0;0:10:15:0;1
3;83;6;8;0:11:47:0;0:13:0:0;1
3;95;8;6;0:14:7:0;0:15:23:0;1
3;76;6;5;0:16:13:0;0:17:13:0;1
3;67;5;6;0:17:36:0;0:18:36:0;1
3;38;6;4;0:19:18:0;0:20:27:0;1
3;ZD38;4;3;0:20:27:0;0:21:17:0;3
4;VD91;3;8;0:6:47:0;0:7:27:0;4
4;91;8;6;0:7:27:0;0:8:55:0;1
4;72;6;5;0:9:33:0;0:10:31:0;1
4;14;5;4;0:13:31:0;0:14:43:0;1
4;25;4;6;0:15:3:0;0:16:21:0;1
4;86;6;8;0:16:27:0;0:17:43:0;1
4;98;8;6;0:18:7:0;0:19:23:0;1
4;ZD98;6;3;0:19:23:0;0:19:42:0;3
5;VD41;3;4;0:6:44:0;0:7:34:0;4
5;41;4;7;0:7:34:0;0:9:32:0;1
5;ZD41;7;3;0:9:32:0;0:9:35:0;3
6;VD50;3;7;0:6:41:0;0:6:44:0;4
6;50;7;4;0:6:44:0;0:8:42:0;1
6;2;4;5;0:8:59:0;0:10:22:0;1
6;13;5;4;0:11:31:0;0:12:40:0;1
6;5;4;5;0:14:19:0;0:15:31:0;1
6;16;5;4;0:16:11:0;0:17:23:0;1
6;27;4;6;0:17:43:0;0:19:1:0;1
6;88;6;8;0:19:7:0;0:20:15:0;1
6;ZD88;8;3;0:20:15:0;0:20:55:0;3
7;VD70;3;6;0:6:34:0;0:6:53:0;4
7;70;6;5;0:6:53:0;0:8:2:0;1
7;61;5;6;0:8:16:0;0:9:25:0;1
7;82;6;8;0:9:47:0;0:11:0:0;1
7;94;8;6;0:12:7:0;0:13:20:0;1
7;74;6;5;0:13:33:0;0:14:33:0;1
7;65;5;6;0:14:56:0;0:15:56:0;1
7;36;6;4;0:16:38:0;0:17:56:0;1
7;48;4;7;0:18:14:0;0:19:57:0;1
7;59;7;4;0:20:4:0;0:21:35:0;1
7;29;4;6;0:23:3:0;1:0:12:0;1
7;ZD29;6;3;1:0:12:0;1:0:31:0;3
8;VD20;3;4;0:6:13:0;0:7:3:0;4
8;20;4;6;0:7:3:0;0:8:32:0;1
8;31;6;4;0:8:38:0;0:10:7:0;1
8;43;4;7;0:10:14:0;0:11:53:0;1
8;54;7;4;0:13:24:0;0:15:7:0;1
8;6;4;5;0:15:39:0;0:16:51:0;1
8;17;5;4;0:17:31:0;0:18:43:0;1
8;28;4;6;0:19:3:0;0:20:12:0;1
8;79;6;5;0:20:13:0;0:21:6:0;1
8;ZD79;5;3;0:21:6:0;0:21:52:0;3
9;VD60;3;5;0:6:10:0;0:6:56:0;4
9;60;5;6;0:6:56:0;0:8:5:0;1
9;81;6;8;0:8:27:0;0:9:55:0;1
9;93;8;6;0:10:7:0;0:11:20:0;1
9;73;6;5;0:11:33:0;0:12:31:0;1
9;15;5;4;0:14:51:0;0:16:3:0;1
9;26;4;6;0:16:23:0;0:17:41:0;1
9;87;6;8;0:17:47:0;0:19:3:0;1
9;99;8;6;0:19:27:0;0:20:35:0;1
9;39;6;4;0:23:18:0;1:0:27:0;1
9;ZD39;4;3;1:0:27:0;1:1:17:0;3
10;VD10;3;5;0:6:5:0;0:6:51:0;4
10;10;5;4;0:6:51:0;0:8:14:0;1
10;21;4;6;0:8:23:0;0:9:52:0;1
10;32;6;4;0:9:58:0;0:11:12:0;1
10;23;4;6;0:11:43:0;0:12:57:0;1
10;34;6;4;0:13:58:0;0:15:16:0;1
10;46;4;7;0:15:34:0;0:17:17:0;1
10;57;7;4;0:17:24:0;0:19:7:0;1
10;9;4;5;0:19:39:0;0:20:43:0;1
10;ZD9;5;3;0:20:43:0;0:21:29:0;3
11;VD0;3;4;0:5:29:0;0:6:19:0;4
11;0;4;5;0:6:19:0;0:7:42:0;1
11;11;5;4;0:8:11:0;0:9:34:0;1
11;22;4;6;0:9:43:0;0:10:57:0;1
11;33;6;4;0:11:58:0;0:13:12:0;1
11;24;4;6;0:13:43:0;0:15:1:0;1
11;85;6;8;0:15:7:0;0:16:23:0;1
11;97;8;6;0:16:47:0;0:18:3:0;1
11;78;6;5;0:18:53:0;0:19:53:0;1
11;69;5;6;0:20:16:0;0:21:9:0;1
11;89;6;8;0:23:7:0;1:0:15:0;1
11;ZD89;8;3;1:0:15:0;1:0:55:0;3
12;VD90;3;8;0:5:27:0;0:6:7:0;4
12;90;8;6;0:6:7:0;0:7:35:0;1
12;71;6;5;0:8:13:0;0:9:22:0;1
12;62;5;6;0:9:36:0;0:10:34:0;1
12;84;6;8;0:13:47:0;0:15:3:0;1
12;96;8;6;0:15:27:0;0:16:43:0;1
12;77;6;5;0:17:33:0;0:18:33:0;1
12;68;5;6;0:18:56:0;0:19:56:0;1
12;ZD68;6;3;0:19:56:0;0:20:15:0;3
13;VD40;3;4;0:5:24:0;0:6:14:0;4
13;40;4;7;0:6:14:0;0:8:12:0;1
13;52;7;4;0:9:24:0;0:11:3:0;1
13;44;4;7;0:12:14:0;0:13:53:0;1
13;55;7;4;0:14:44:0;0:16:27:0;1
13;7;4;5;0:16:59:0;0:18:11:0;1
13;18;5;4;0:18:51:0;0:20:3:0;1
13;ZD18;4;3;0:20:3:0;0:20:53:0;3
14;VD51;3;7;0:8:1:0;0:8:4:0;4
14;51;7;4;0:8:4:0;0:10:2:0;1
14;3;4;5;0:10:19:0;0:11:28:0;1
14;63;5;6;0:11:36:0;0:12:34:0;1
14;75;6;5;0:14:53:0;0:15:53:0;1
14;66;5;6;0:16:16:0;0:17:16:0;1
14;37;6;4;0:17:58:0;0:19:16:0;1
14;49;4;7;0:19:34:0;0:21:5:0;1
14;ZD49;7;3;0:21:5:0;0:21:8:0;3
