*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
12;1;3;-1
13;1;3;-1
14;1;3;-1
15;1;3;-1
16;1;3;-1
17;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD11;3;5;0:7:47:0;0:8:23:0;4
1;11;5;4;0:8:23:0;0:11:9:0;1
1;3;4;5;0:11:9:0;0:13:28:0;1
1;65;5;6;0:14:20:0;0:16:31:0;1
1;37;6;4;0:16:42:0;0:18:14:0;1
1;8;4;5;0:18:29:0;0:20:54:0;1
1;ZD8;5;3;0:20:54:0;0:21:30:0;3
2;VD41;3;4;0:7:26:0;0:8:0:0;4
2;41;4;7;0:8:0:0;0:8:37:0;1
2;52;7;4;0:9:35:0;0:10:6:0;1
2;23;4;6;0:11:6:0;0:12:34:0;1
2;74;6;5;0:13:8:0;0:15:19:0;1
2;16;5;4;0:16:23:0;0:18:48:0;1
2;49;4;7;0:20:0:0;0:20:28:0;1
2;ZD49;7;3;0:20:28:0;0:21:15:0;3
3;VD91;3;8;0:7:13:0;0:7:32:0;4
3;91;8;6;0:7:32:0;0:9:6:0;1
3;72;6;5;0:9:8:0;0:11:13:0;1
3;13;5;4;0:11:43:0;0:14:2:0;1
3;46;4;7;0:16:0:0;0:16:32:0;1
3;57;7;4;0:17:35:0;0:18:7:0;1
3;48;4;7;0:18:40:0;0:19:12:0;1
3;59;7;4;0:20:15:0;0:20:43:0;1
3;ZD39;4;3;0:20:43:0;0:21:17:0;3
4;VD61;3;5;0:7:4:0;0:7:40:0;4
4;61;5;6;0:7:40:0;0:10:10:0;1
4;83;6;8;0:10:15:0;0:11:34:0;1
4;95;8;6;0:14:12:0;0:15:34:0;1
4;76;6;5;0:15:48:0;0:17:59:0;1
4;18;5;4;0:19:3:0;0:21:11:0;1
4;ZD18;4;3;0:21:11:0;0:21:45:0;3
5;VD81;3;6;0:6:46:0;0:7:35:0;4
5;81;6;8;0:7:35:0;0:9:9:0;1
5;93;8;6;0:10:12:0;0:11:31:0;1
5;85;6;8;0:14:15:0;0:15:37:0;1
5;97;8;6;0:16:52:0;0:18:14:0;1
5;78;6;5;0:18:28:0;0:20:39:0;1
5;ZD78;5;3;0:20:39:0;0:21:15:0;3
6;VD31;3;6;0:6:33:0;0:7:22:0;4
6;31;6;4;0:7:22:0;0:9:7:0;1
6;2;4;5;0:9:9:0;0:11:28:0;1
6;64;5;6;0:13:0:0;0:15:11:0;1
6;36;6;4;0:15:22:0;0:16:54:0;1
6;27;4;6;0:17:6:0;0:18:38:0;1
6;89;6;8;0:19:35:0;0:20:48:0;1
6;ZD89;8;3;0:20:48:0;0:21:7:0;3
7;VD10;3;5;0:6:27:0;0:7:3:0;4
7;10;5;4;0:7:3:0;0:9:49:0;1
7;43;4;7;0:11:20:0;0:11:51:0;1
7;54;7;4;0:13:35:0;0:14:7:0;1
7;5;4;5;0:14:29:0;0:16:54:0;1
7;67;5;6;0:17:0:0;0:19:11:0;1
7;39;6;4;0:19:22:0;0:20:43:0;1
7;ZD39;4;3;0:20:43:0;0:21:17:0;3
8;VD50;3;7;0:6:8:0;0:6:55:0;4
8;50;7;4;0:6:55:0;0:7:32:0;1
8;21;4;6;0:7:46:0;0:9:31:0;1
8;33;6;4;0:10:2:0;0:11:30:0;1
8;4;4;5;0:13:9:0;0:15:34:0;1
8;66;5;6;0:15:40:0;0:17:51:0;1
8;38;6;4;0:18:2:0;0:19:34:0;1
8;29;4;6;0:19:46:0;0:21:7:0;1
8;ZD29;6;3;0:21:7:0;0:21:56:0;3
9;VD40;3;4;0:6:6:0;0:6:40:0;4
9;40;4;7;0:6:40:0;0:7:17:0;1
9;51;7;4;0:8:15:0;0:8:52:0;1
9;22;4;6;0:9:6:0;0:10:34:0;1
9;73;6;5;0:11:8:0;0:13:13:0;1
9;14;5;4;0:13:43:0;0:16:8:0;1
9;47;4;7;0:17:20:0;0:17:52:0;1
9;58;7;4;0:18:55:0;0:19:27:0;1
9;9;4;5;0:19:49:0;0:21:57:0;1
9;19;5;4;0:23:3:0;1:1:11:0;1
9;ZD19;4;3;1:1:11:0;1:1:45:0;3
10;VD0;3;4;0:5:55:0;0:6:29:0;4
10;0;4;5;0:6:29:0;0:9:15:0;1
10;12;5;4;0:9:43:0;0:12:2:0;1
10;44;4;7;0:13:20:0;0:13:52:0;1
10;55;7;4;0:14:55:0;0:15:27:0;1
10;6;4;5;0:15:49:0;0:18:14:0;1
10;68;5;6;0:18:20:0;0:20:31:0;1
10;ZD68;6;3;0:20:31:0;0:21:20:0;3
11;VD90;3;8;0:5:53:0;0:6:12:0;4
11;90;8;6;0:6:12:0;0:7:46:0;1
11;71;6;5;0:7:48:0;0:10:18:0;1
11;15;5;4;0:15:3:0;0:17:28:0;1
11;28;4;6;0:18:26:0;0:19:58:0;1
11;ZD28;6;3;0:19:58:0;0:20:47:0;3
12;VD20;3;4;0:5:52:0;0:6:26:0;4
12;20;4;6;0:6:26:0;0:8:11:0;1
12;32;6;4;0:8:42:0;0:10:27:0;1
12;25;4;6;0:14:26:0;0:15:58:0;1
12;87;6;8;0:16:55:0;0:18:17:0;1
12;99;8;6;0:19:32:0;0:20:45:0;1
12;ZD99;6;3;0:20:45:0;0:21:34:0;3
13;VD60;3;5;0:5:44:0;0:6:20:0;4
13;60;5;6;0:6:20:0;0:8:50:0;1
13;82;6;8;0:8:55:0;0:10:29:0;1
13;94;8;6;0:12:12:0;0:13:31:0;1
13;75;6;5;0:14:28:0;0:16:39:0;1
13;17;5;4;0:17:43:0;0:20:8:0;1
13;ZD17;4;3;0:20:8:0;0:20:42:0;3
14;VD70;3;6;0:5:39:0;0:6:28:0;4
14;70;6;5;0:6:28:0;0:8:58:0;1
14;62;5;6;0:9:0:0;0:11:5:0;1
14;34;6;4;0:12:2:0;0:13:30:0;1
14;45;4;7;0:14:40:0;0:15:12:0;1
14;56;7;4;0:16:15:0;0:16:47:0;1
14;7;4;5;0:17:9:0;0:19:34:0;1
14;69;5;6;0:19:40:0;0:21:36:0;1
14;ZD69;6;3;0:21:36:0;0:22:25:0;3
15;VD80;3;6;0:5:26:0;0:6:15:0;4
15;80;6;8;0:6:15:0;0:7:49:0;1
15;92;8;6;0:8:52:0;0:10:26:0;1
15;84;6;8;0:12:15:0;0:13:34:0;1
15;96;8;6;0:15:32:0;0:16:54:0;1
15;77;6;5;0:17:8:0;0:19:19:0;1
15;ZD77;5;3;0:19:19:0;0:19:55:0;3
16;VD30;3;6;0:5:13:0;0:6:2:0;4
16;30;6;4;0:6:2:0;0:7:47:0;1
16;1;4;5;0:7:49:0;0:10:35:0;1
16;63;5;6;0:11:0:0;0:13:5:0;1
16;35;6;4;0:14:2:0;0:15:34:0;1
16;26;4;6;0:15:46:0;0:17:18:0;1
16;88;6;8;0:18:15:0;0:19:37:0;1
16;ZD88;8;3;0:19:37:0;0:19:56:0;3
17;VD42;3;4;0:8:46:0;0:9:20:0;4
17;42;4;7;0:9:20:0;0:9:51:0;1
17;53;7;4;0:11:35:0;0:12:6:0;1
17;24;4;6;0:13:6:0;0:14:38:0;1
17;86;6;8;0:15:35:0;0:16:57:0;1
17;98;8;6;0:18:12:0;0:19:34:0;1
17;79;6;5;0:19:48:0;0:21:44:0;1
17;ZD79;5;3;0:21:44:0;0:22:20:0;3
