*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD90;3;8;0:5:20:0;0:6:23:0;4
1;90;8;6;0:6:23:0;0:7:48:0;1
1;82;6;8;0:9:3:0;0:10:14:0;1
1;93;8;6;0:11:3:0;0:12:14:0;1
1;34;6;4;0:13:54:0;0:14:24:0;1
1;25;4;6;0:14:26:0;0:14:56:0;1
1;76;6;5;0:15:36:0;0:16:7:0;1
1;17;5;4;0:16:42:0;0:17:35:0;1
1;8;4;5;0:18:16:0;0:19:9:0;1
1;69;5;6;0:19:36:0;0:20:3:0;1
1;ZD69;6;3;0:20:3:0;0:20:38:0;3
2;VD0;3;4;0:5:28:0;0:6:16:0;4
2;0;4;5;0:6:16:0;0:7:17:0;1
2;61;5;6;0:7:36:0;0:8:11:0;1
2;31;6;4;0:8:34:0;0:9:8:0;1
2;42;4;7;0:9:15:0;0:9:42:0;1
2;53;7;4;0:10:19:0;0:10:46:0;1
2;44;4;7;0:13:15:0;0:13:43:0;1
2;55;7;4;0:14:19:0;0:14:47:0;1
2;46;4;7;0:15:55:0;0:16:23:0;1
2;57;7;4;0:16:59:0;0:17:27:0;1
2;48;4;7;0:18:35:0;0:19:3:0;1
2;59;7;4;0:19:39:0;0:20:4:0;1
2;ZD59;4;3;0:20:4:0;0:20:52:0;3
3;VD10;3;5;0:5:30:0;0:6:2:0;4
3;10;5;4;0:6:2:0;0:7:3:0;1
3;1;4;5;0:7:36:0;0:8:37:0;1
3;62;5;6;0:8:56:0;0:9:31:0;1
3;32;6;4;0:9:54:0;0:10:22:0;1
3;23;4;6;0:11:6:0;0:11:34:0;1
3;74;6;5;0:12:16:0;0:12:46:0;1
3;15;5;4;0:14:2:0;0:14:55:0;1
3;6;4;5;0:15:36:0;0:16:29:0;1
3;67;5;6;0:16:56:0;0:17:27:0;1
3;37;6;4;0:17:54:0;0:18:24:0;1
3;28;4;6;0:18:26:0;0:18:56:0;1
3;79;6;5;0:19:36:0;0:20:3:0;1
3;ZD79;5;3;0:20:3:0;0:20:35:0;3
4;VD50;3;7;0:5:31:0;0:6:19:0;4
