*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD81;3;6;0:7:8:0;0:7:43:0;4
1;81;6;8;0:7:43:0;0:9:8:0;1
1;ZD81;8;3;0:9:8:0;0:10:11:0;3
2;VD91;3;8;0:6:40:0;0:7:43:0;4
2;91;8;6;0:7:43:0;0:9:8:0;1
2;ZD91;6;3;0:9:8:0;0:9:43:0;3
3;VD80;3;6;0:5:48:0;0:6:23:0;4
3;80;6;8;0:6:23:0;0:7:48:0;1
3;92;8;6;0:9:3:0;0:10:14:0;1
3;33;6;4;0:11:54:0;0:12:22:0;1
3;45;4;7;0:14:35:0;0:15:3:0;1
3;56;7;4;0:15:39:0;0:16:7:0;1
3;47;4;7;0:17:15:0;0:17:43:0;1
3;58;7;4;0:18:19:0;0:18:47:0;1
3;49;4;7;0:19:55:0;0:20:20:0;1
3;ZD49;7;3;0:20:20:0;0:21:8:0;3
4;VD40;3;4;0:5:47:0;0:6:35:0;4
4;40;4;7;0:6:35:0;0:7:7:0;1
4;51;7;4;0:7:39:0;0:8:11:0;1
4;22;4;6;0:9:6:0;0:9:34:0;1
4;73;6;5;0:10:16:0;0:10:46:0;1
4;14;5;4;0:12:2:0;0:12:53:0;1
4;44;4;7;0:13:15:0;0:13:43:0;1
4;55;7;4;0:14:19:0;0:14:47:0;1
4;46;4;7;0:15:55:0;0:16:23:0;1
4;57;7;4;0:16:59:0;0:17:27:0;1
4;48;4;7;0:18:35:0;0:19:3:0;1
4;59;7;4;0:19:39:0;0:20:4:0;1
4;ZD59;4;3;0:20:4:0;0:20:52:0;3
5;VD60;3;5;0:5:44:0;0:6:16:0;4
5;60;5;6;0:6:16:0;0:6:51:0;1
5;30;6;4;0:7:14:0;0:7:48:0;1
5;41;4;7;0:7:55:0;0:8:27:0;1
5;52;7;4;0:8:59:0;0:9:31:0;1
5;4;4;5;0:12:16:0;0:13:7:0;1
5;65;5;6;0:14:16:0;0:14:47:0;1
5;35;6;4;0:15:14:0;0:15:44:0;1
5;26;4;6;0:15:46:0;0:16:16:0;1
5;77;6;5;0:16:56:0;0:17:27:0;1
5;18;5;4;0:18:2:0;0:18:55:0;1
5;9;4;5;0:19:36:0;0:20:23:0;1
5;ZD9;5;3;0:20:23:0;0:20:55:0;3
6;VD70;3;6;0:5:41:0;0:6:16:0;4
6;70;6;5;0:6:16:0;0:6:51:0;1
6;11;5;4;0:7:22:0;0:8:23:0;1
6;2;4;5;0:8:56:0;0:9:57:0;1
6;63;5;6;0:10:16:0;0:10:46:0;1
6;83;6;8;0:11:3:0;0:12:14:0;1
6;94;8;6;0:13:3:0;0:14:17:0;1
6;85;6;8;0:14:23:0;0:15:37:0;1
6;96;8;6;0:15:43:0;0:16:57:0;1
6;87;6;8;0:17:3:0;0:18:17:0;1
6;98;8;6;0:18:23:0;0:19:37:0;1
6;89;6;8;0:19:43:0;0:20:49:0;1
6;ZD89;8;3;0:20:49:0;0:21:52:0;3
7;VD20;3;4;0:5:38:0;0:6:26:0;4
7;20;4;6;0:6:26:0;0:7:0:0;1
7;71;6;5;0:7:36:0;0:8:11:0;1
7;12;5;4;0:8:42:0;0:9:43:0;1
7;3;4;5;0:10:16:0;0:11:7:0;1
7;64;5;6;0:12:16:0;0:12:46:0;1
7;84;6;8;0:13:3:0;0:14:17:0;1
7;95;8;6;0:14:23:0;0:15:37:0;1
7;86;6;8;0:15:43:0;0:16:57:0;1
7;97;8;6;0:17:3:0;0:18:17:0;1
7;88;6;8;0:18:23:0;0:19:37:0;1
7;99;8;6;0:19:43:0;0:20:49:0;1
7;39;6;4;0:23:14:0;0:23:40:0;1
