*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID;DepotGroupID
1;1;3;-1
2;1;3;-1
3;1;3;-1
4;1;3;-1
5;1;3;-1
6;1;3;-1
7;1;3;-1
8;1;3;-1
9;1;3;-1
10;1;3;-1
11;1;3;-1
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType
1;VD81;3;6;0:7:8:0;0:7:43:0;4
1;81;6;8;0:7:43:0;0:9:8:0;1
1;ZD81;8;3;0:9:8:0;0:10:11:0;3
2;VD91;3;8;0:6:40:0;0:7:43:0;4
2;91;8;6;0:7:43:0;0:9:8:0;1
2;ZD91;6;3;0:9:8:0;0:9:43:0;3
3;VD80;3;6;0:5:48:0;0:6:23:0;4
3;80;6;8;0:6:23:0;0:7:48:0;1
3;92;8;6;0:9:3:0;0:10:14:0;1
3;33;6;4;0:11:54:0;0:12:22:0;1
3;24;4;6;0:13:6:0;0:13:36:0;1
3;75;6;5;0:14:16:0;0:14:47:0;1
3;16;5;4;0:15:22:0;0:16:15:0;1
3;7;4;5;0:16:56:0;0:17:49:0;1
3;68;5;6;0:18:16:0;0:18:47:0;1
3;38;6;4;0:19:14:0;0:19:40:0;1
3;29;4;6;0:19:46:0;0:20:12:0;1
3;ZD29;6;3;0:20:12:0;0:20:47:0;3
4;VD40;3;4;0:5:47:0;0:6:35:0;4
4;40;4;7;0:6:35:0;0:7:7:0;1
4;51;7;4;0:7:39:0;0:8:11:0;1
4;2;4;5;0:8:56:0;0:9:57:0;1
4;63;5;6;0:10:16:0;0:10:46:0;1
4;83;6;8;0:11:3:0;0:12:14:0;1
4;94;8;6;0:13:3:0;0:14:17:0;1
4;85;6;8;0:14:23:0;0:15:37:0;1
4;96;8;6;0:15:43:0;0:16:57:0;1
4;87;6;8;0:17:3:0;0:18:17:0;1
4;98;8;6;0:18:23:0;0:19:37:0;1
4;89;6;8;0:19:43:0;0:20:49:0;1
4;ZD89;8;3;0:20:49:0;0:21:52:0;3
5;VD60;3;5;0:5:44:0;0:6:16:0;4
5;60;5;6;0:6:16:0;0:6:51:0;1
5;30;6;4;0:7:14:0;0:7:48:0;1
5;41;4;7;0:7:55:0;0:8:27:0;1
5;52;7;4;0:8:59:0;0:9:31:0;1
5;3;4;5;0:10:16:0;0:11:7:0;1
5;64;5;6;0:12:16:0;0:12:46:0;1
5;84;6;8;0:13:3:0;0:14:17:0;1
5;95;8;6;0:14:23:0;0:15:37:0;1
5;86;6;8;0:15:43:0;0:16:57:0;1
5;97;8;6;0:17:3:0;0:18:17:0;1
5;88;6;8;0:18:23:0;0:19:37:0;1
5;99;8;6;0:19:43:0;0:20:49:0;1
5;39;6;4;0:23:14:0;0:23:40:0;1
5;ZD39;4;3;0:23:40:0;1:0:28:0;3
6;VD70;3;6;0:5:41:0;0:6:16:0;4
6;70;6;5;0:6:16:0;0:6:51:0;1
6;11;5;4;0:7:22:0;0:8:23:0;1
6;22;4;6;0:9:6:0;0:9:34:0;1
6;73;6;5;0:10:16:0;0:10:46:0;1
6;14;5;4;0:12:2:0;0:12:53:0;1
6;44;4;7;0:13:15:0;0:13:43:0;1
6;55;7;4;0:14:19:0;0:14:47:0;1
6;46;4;7;0:15:55:0;0:16:23:0;1
6;57;7;4;0:16:59:0;0:17:27:0;1
6;48;4;7;0:18:35:0;0:19:3:0;1
6;59;7;4;0:19:39:0;0:20:4:0;1
6;ZD59;4;3;0:20:4:0;0:20:52:0;3
7;VD20;3;4;0:5:38:0;0:6:26:0;4
7;20;4;6;0:6:26:0;0:7:0:0;1
7;71;6;5;0:7:36:0;0:8:11:0;1
7;12;5;4;0:8:42:0;0:9:43:0;1
7;43;4;7;0:11:15:0;0:11:42:0;1
7;54;7;4;0:12:19:0;0:12:46:0;1
7;5;4;5;0:14:16:0;0:15:9:0;1
7;66;5;6;0:15:36:0;0:16:7:0;1
7;36;6;4;0:16:34:0;0:17:4:0;1
