* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;1;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;2;3;000:06:33:00;000:08:03:00;0;0;1;0;0
1;1;2;3;000:07:13:00;000:08:43:00;0;0;1;0;0
2;1;2;3;000:07:53:00;000:09:23:00;0;0;1;0;0
3;1;2;3;000:08:33:00;000:10:03:00;0;0;1;0;0
4;1;2;3;000:09:13:00;000:10:31:00;0;0;1;0;0
5;1;2;3;000:10:13:00;000:11:31:00;0;0;1;0;0
6;1;2;3;000:11:13:00;000:12:31:00;0;0;1;0;0
7;1;2;3;000:12:13:00;000:13:31:00;0;0;1;0;0
8;1;2;3;000:13:13:00;000:14:37:00;0;0;1;0;0
9;1;2;3;000:13:53:00;000:15:17:00;0;0;1;0;0
10;1;2;3;000:14:33:00;000:15:57:00;0;0;1;0;0
11;1;2;3;000:15:13:00;000:16:37:00;0;0;1;0;0
12;1;2;3;000:15:53:00;000:17:17:00;0;0;1;0;0
13;1;2;3;000:16:33:00;000:17:57:00;0;0;1;0;0
14;1;2;3;000:17:13:00;000:18:37:00;0;0;1;0;0
15;1;2;3;000:17:53:00;000:19:17:00;0;0;1;0;0
16;1;2;3;000:18:33:00;000:19:57:00;0;0;1;0;0
17;1;2;3;000:19:13:00;000:20:25:00;0;0;1;0;0
18;1;2;3;000:21:13:00;000:22:25:00;0;0;1;0;0
19;1;2;3;000:23:13:00;001:00:25:00;0;0;1;0;0
20;1;3;2;000:06:05:00;000:07:35:00;0;0;1;0;0
21;1;3;2;000:06:45:00;000:08:15:00;0;0;1;0;0
22;1;3;2;000:07:25:00;000:08:55:00;0;0;1;0;0
23;1;3;2;000:08:05:00;000:09:35:00;0;0;1;0;0
24;1;3;2;000:08:45:00;000:10:15:00;0;0;1;0;0
25;1;3;2;000:09:25:00;000:10:43:00;0;0;1;0;0
26;1;3;2;000:10:25:00;000:11:43:00;0;0;1;0;0
27;1;3;2;000:11:25:00;000:12:43:00;0;0;1;0;0
28;1;3;2;000:12:25:00;000:13:43:00;0;0;1;0;0
29;1;3;2;000:13:25:00;000:14:49:00;0;0;1;0;0
30;1;3;2;000:14:05:00;000:15:29:00;0;0;1;0;0
31;1;3;2;000:14:45:00;000:16:09:00;0;0;1;0;0
32;1;3;2;000:15:25:00;000:16:49:00;0;0;1;0;0
33;1;3;2;000:16:05:00;000:17:29:00;0;0;1;0;0
34;1;3;2;000:16:45:00;000:18:09:00;0;0;1;0;0
35;1;3;2;000:17:25:00;000:18:49:00;0;0;1;0;0
36;1;3;2;000:18:05:00;000:19:29:00;0;0;1;0;0
37;1;3;2;000:18:45:00;000:20:09:00;0;0;1;0;0
38;1;3;2;000:19:25:00;000:20:37:00;0;0;1;0;0
39;1;3;2;000:21:25:00;000:22:37:00;0;0;1;0;0
40;2;2;4;000:06:09:00;000:07:03:00;0;0;1;0;0
41;2;2;4;000:06:49:00;000:07:43:00;0;0;1;0;0
42;2;2;4;000:07:29:00;000:08:23:00;0;0;1;0;0
43;2;2;4;000:08:09:00;000:09:03:00;0;0;1;0;0
44;2;2;4;000:08:49:00;000:09:43:00;0;0;1;0;0
45;2;2;4;000:09:29:00;000:10:17:00;0;0;1;0;0
46;2;2;4;000:10:29:00;000:11:17:00;0;0;1;0;0
47;2;2;4;000:11:29:00;000:12:17:00;0;0;1;0;0
48;2;2;4;000:12:29:00;000:13:17:00;0;0;1;0;0
49;2;2;4;000:13:29:00;000:14:20:00;0;0;1;0;0
50;2;2;4;000:14:09:00;000:15:00:00;0;0;1;0;0
51;2;2;4;000:14:49:00;000:15:40:00;0;0;1;0;0
52;2;2;4;000:15:29:00;000:16:20:00;0;0;1;0;0
53;2;2;4;000:16:09:00;000:17:00:00;0;0;1;0;0
54;2;2;4;000:16:49:00;000:17:40:00;0;0;1;0;0
55;2;2;4;000:17:29:00;000:18:20:00;0;0;1;0;0
56;2;2;4;000:18:09:00;000:19:00:00;0;0;1;0;0
57;2;2;4;000:18:49:00;000:19:40:00;0;0;1;0;0
58;2;2;4;000:19:29:00;000:20:12:00;0;0;1;0;0
59;2;2;4;000:21:29:00;000:22:12:00;0;0;1;0;0
60;2;4;2;000:06:03:00;000:06:57:00;0;0;1;0;0
61;2;4;2;000:06:43:00;000:07:37:00;0;0;1;0;0
62;2;4;2;000:07:23:00;000:08:17:00;0;0;1;0;0
63;2;4;2;000:08:03:00;000:08:57:00;0;0;1;0;0
64;2;4;2;000:08:43:00;000:09:37:00;0;0;1;0;0
65;2;4;2;000:09:23:00;000:10:11:00;0;0;1;0;0
66;2;4;2;000:10:23:00;000:11:11:00;0;0;1;0;0
67;2;4;2;000:11:23:00;000:12:11:00;0;0;1;0;0
68;2;4;2;000:12:23:00;000:13:11:00;0;0;1;0;0
69;2;4;2;000:13:23:00;000:14:14:00;0;0;1;0;0
70;2;4;2;000:14:03:00;000:14:54:00;0;0;1;0;0
71;2;4;2;000:14:43:00;000:15:34:00;0;0;1;0;0
72;2;4;2;000:15:23:00;000:16:14:00;0;0;1;0;0
73;2;4;2;000:16:03:00;000:16:54:00;0;0;1;0;0
74;2;4;2;000:16:43:00;000:17:34:00;0;0;1;0;0
75;2;4;2;000:17:23:00;000:18:14:00;0;0;1;0;0
76;2;4;2;000:18:03:00;000:18:54:00;0;0;1;0;0
77;2;4;2;000:18:43:00;000:19:34:00;0;0;1;0;0
78;2;4;2;000:19:23:00;000:20:06:00;0;0;1;0;0
79;2;4;2;000:21:23:00;000:22:06:00;0;0;1;0;0
80;3;2;5;000:06:00:00;000:06:54:00;0;0;1;0;0
81;3;2;5;000:06:40:00;000:07:34:00;0;0;1;0;0
82;3;2;5;000:07:20:00;000:08:14:00;0;0;1;0;0
83;3;2;5;000:08:00:00;000:08:54:00;0;0;1;0;0
84;3;2;5;000:08:40:00;000:09:34:00;0;0;1;0;0
85;3;2;5;000:09:20:00;000:10:07:00;0;0;1;0;0
86;3;2;5;000:10:20:00;000:11:07:00;0;0;1;0;0
87;3;2;5;000:11:20:00;000:12:07:00;0;0;1;0;0
88;3;2;5;000:12:20:00;000:13:07:00;0;0;1;0;0
89;3;2;5;000:13:20:00;000:14:10:00;0;0;1;0;0
90;3;2;5;000:14:00:00;000:14:50:00;0;0;1;0;0
91;3;2;5;000:14:40:00;000:15:30:00;0;0;1;0;0
92;3;2;5;000:15:20:00;000:16:10:00;0;0;1;0;0
93;3;2;5;000:16:00:00;000:16:50:00;0;0;1;0;0
94;3;2;5;000:16:40:00;000:17:30:00;0;0;1;0;0
95;3;2;5;000:17:20:00;000:18:10:00;0;0;1;0;0
96;3;2;5;000:18:00:00;000:18:50:00;0;0;1;0;0
97;3;2;5;000:18:40:00;000:19:30:00;0;0;1;0;0
98;3;2;5;000:19:20:00;000:20:03:00;0;0;1;0;0
99;3;2;5;000:21:20:00;000:22:03:00;0;0;1;0;0
100;3;5;2;000:06:32:00;000:07:26:00;0;0;1;0;0
101;3;5;2;000:07:12:00;000:08:06:00;0;0;1;0;0
102;3;5;2;000:07:52:00;000:08:46:00;0;0;1;0;0
103;3;5;2;000:08:32:00;000:09:26:00;0;0;1;0;0
104;3;5;2;000:09:12:00;000:09:59:00;0;0;1;0;0
105;3;5;2;000:10:12:00;000:10:59:00;0;0;1;0;0
106;3;5;2;000:11:12:00;000:11:59:00;0;0;1;0;0
107;3;5;2;000:12:12:00;000:12:59:00;0;0;1;0;0
108;3;5;2;000:13:12:00;000:14:02:00;0;0;1;0;0
109;3;5;2;000:13:52:00;000:14:42:00;0;0;1;0;0
110;3;5;2;000:14:32:00;000:15:22:00;0;0;1;0;0
111;3;5;2;000:15:12:00;000:16:02:00;0;0;1;0;0
112;3;5;2;000:15:52:00;000:16:42:00;0;0;1;0;0
113;3;5;2;000:16:32:00;000:17:22:00;0;0;1;0;0
114;3;5;2;000:17:12:00;000:18:02:00;0;0;1;0;0
115;3;5;2;000:17:52:00;000:18:42:00;0;0;1;0;0
116;3;5;2;000:18:32:00;000:19:22:00;0;0;1;0;0
117;3;5;2;000:19:12:00;000:19:55:00;0;0;1;0;0
118;3;5;2;000:21:12:00;000:21:55:00;0;0;1;0;0
119;3;5;2;000:23:12:00;000:23:55:00;0;0;1;0;0
120;4;3;4;000:06:25:00;000:07:01:00;0;0;1;0;0
121;4;3;4;000:07:05:00;000:07:41:00;0;0;1;0;0
122;4;3;4;000:07:45:00;000:08:21:00;0;0;1;0;0
