* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:36:00;000:08:31:00;0;0;1;0;0
1;1;4;5;000:07:16:00;000:09:11:00;0;0;1;0;0
2;1;4;5;000:07:56:00;000:09:51:00;0;0;1;0;0
3;1;4;5;000:08:36:00;000:10:31:00;0;0;1;0;0
4;1;4;5;000:09:16:00;000:10:52:00;0;0;1;0;0
5;1;4;5;000:10:16:00;000:11:52:00;0;0;1;0;0
6;1;4;5;000:11:16:00;000:12:52:00;0;0;1;0;0
7;1;4;5;000:12:16:00;000:13:52:00;0;0;1;0;0
8;1;4;5;000:13:16:00;000:14:56:00;0;0;1;0;0
9;1;4;5;000:13:56:00;000:15:36:00;0;0;1;0;0
10;1;4;5;000:14:36:00;000:16:16:00;0;0;1;0;0
11;1;4;5;000:15:16:00;000:16:56:00;0;0;1;0;0
12;1;4;5;000:15:56:00;000:17:36:00;0;0;1;0;0
13;1;4;5;000:16:36:00;000:18:16:00;0;0;1;0;0
14;1;4;5;000:17:16:00;000:18:56:00;0;0;1;0;0
15;1;4;5;000:17:56:00;000:19:36:00;0;0;1;0;0
16;1;4;5;000:18:36:00;000:20:16:00;0;0;1;0;0
17;1;4;5;000:19:16:00;000:20:45:00;0;0;1;0;0
18;1;4;5;000:21:16:00;000:22:45:00;0;0;1;0;0
19;1;4;5;000:23:16:00;001:00:45:00;0;0;1;0;0
20;1;5;4;000:06:39:00;000:08:34:00;0;0;1;0;0
21;1;5;4;000:07:19:00;000:09:14:00;0;0;1;0;0
22;1;5;4;000:07:59:00;000:09:54:00;0;0;1;0;0
23;1;5;4;000:08:39:00;000:10:34:00;0;0;1;0;0
24;1;5;4;000:09:19:00;000:10:55:00;0;0;1;0;0
25;1;5;4;000:10:19:00;000:11:55:00;0;0;1;0;0
26;1;5;4;000:11:19:00;000:12:55:00;0;0;1;0;0
27;1;5;4;000:12:19:00;000:13:55:00;0;0;1;0;0
28;1;5;4;000:13:19:00;000:14:59:00;0;0;1;0;0
29;1;5;4;000:13:59:00;000:15:39:00;0;0;1;0;0
30;1;5;4;000:14:39:00;000:16:19:00;0;0;1;0;0
31;1;5;4;000:15:19:00;000:16:59:00;0;0;1;0;0
32;1;5;4;000:15:59:00;000:17:39:00;0;0;1;0;0
33;1;5;4;000:16:39:00;000:18:19:00;0;0;1;0;0
34;1;5;4;000:17:19:00;000:18:59:00;0;0;1;0;0
35;1;5;4;000:17:59:00;000:19:39:00;0;0;1;0;0
36;1;5;4;000:18:39:00;000:20:19:00;0;0;1;0;0
37;1;5;4;000:19:19:00;000:20:48:00;0;0;1;0;0
38;1;5;4;000:21:19:00;000:22:48:00;0;0;1;0;0
39;1;5;4;000:23:19:00;001:00:48:00;0;0;1;0;0
40;2;4;6;000:06:08:00;000:06:42:00;0;0;1;0;0
41;2;4;6;000:06:48:00;000:07:22:00;0;0;1;0;0
42;2;4;6;000:07:28:00;000:08:02:00;0;0;1;0;0
43;2;4;6;000:08:08:00;000:08:42:00;0;0;1;0;0
44;2;4;6;000:08:48:00;000:09:22:00;0;0;1;0;0
45;2;4;6;000:09:28:00;000:09:57:00;0;0;1;0;0
46;2;4;6;000:10:28:00;000:10:57:00;0;0;1;0;0
47;2;4;6;000:11:28:00;000:11:57:00;0;0;1;0;0
48;2;4;6;000:12:28:00;000:12:57:00;0;0;1;0;0
49;2;4;6;000:13:28:00;000:13:58:00;0;0;1;0;0
50;2;4;6;000:14:08:00;000:14:38:00;0;0;1;0;0
51;2;4;6;000:14:48:00;000:15:18:00;0;0;1;0;0
52;2;4;6;000:15:28:00;000:15:58:00;0;0;1;0;0
53;2;4;6;000:16:08:00;000:16:38:00;0;0;1;0;0
54;2;4;6;000:16:48:00;000:17:18:00;0;0;1;0;0
55;2;4;6;000:17:28:00;000:17:58:00;0;0;1;0;0
56;2;4;6;000:18:08:00;000:18:38:00;0;0;1;0;0
57;2;4;6;000:18:48:00;000:19:18:00;0;0;1;0;0
58;2;4;6;000:19:28:00;000:19:55:00;0;0;1;0;0
59;2;4;6;000:21:28:00;000:21:55:00;0;0;1;0;0
60;2;6;4;000:06:19:00;000:06:53:00;0;0;1;0;0
61;2;6;4;000:06:59:00;000:07:33:00;0;0;1;0;0
62;2;6;4;000:07:39:00;000:08:13:00;0;0;1;0;0
63;2;6;4;000:08:19:00;000:08:53:00;0;0;1;0;0
64;2;6;4;000:08:59:00;000:09:33:00;0;0;1;0;0
65;2;6;4;000:09:39:00;000:10:08:00;0;0;1;0;0
66;2;6;4;000:10:39:00;000:11:08:00;0;0;1;0;0
67;2;6;4;000:11:39:00;000:12:08:00;0;0;1;0;0
68;2;6;4;000:12:39:00;000:13:08:00;0;0;1;0;0
69;2;6;4;000:13:39:00;000:14:09:00;0;0;1;0;0
70;2;6;4;000:14:19:00;000:14:49:00;0;0;1;0;0
71;2;6;4;000:14:59:00;000:15:29:00;0;0;1;0;0
72;2;6;4;000:15:39:00;000:16:09:00;0;0;1;0;0
73;2;6;4;000:16:19:00;000:16:49:00;0;0;1;0;0
74;2;6;4;000:16:59:00;000:17:29:00;0;0;1;0;0
75;2;6;4;000:17:39:00;000:18:09:00;0;0;1;0;0
76;2;6;4;000:18:19:00;000:18:49:00;0;0;1;0;0
77;2;6;4;000:18:59:00;000:19:29:00;0;0;1;0;0
78;2;6;4;000:19:39:00;000:20:06:00;0;0;1;0;0
79;2;6;4;000:21:39:00;000:22:06:00;0;0;1;0;0
80;3;4;7;000:06:01:00;000:06:48:00;0;0;1;0;0
81;3;4;7;000:06:41:00;000:07:28:00;0;0;1;0;0
82;3;4;7;000:07:21:00;000:08:08:00;0;0;1;0;0
83;3;4;7;000:08:01:00;000:08:48:00;0;0;1;0;0
84;3;4;7;000:08:41:00;000:09:28:00;0;0;1;0;0
85;3;4;7;000:09:21:00;000:10:01:00;0;0;1;0;0
86;3;4;7;000:10:21:00;000:11:01:00;0;0;1;0;0
87;3;4;7;000:11:21:00;000:12:01:00;0;0;1;0;0
88;3;4;7;000:12:21:00;000:13:01:00;0;0;1;0;0
89;3;4;7;000:13:21:00;000:14:02:00;0;0;1;0;0
