* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:26:00;000:07:30:00;0;0;1;0;0
1;1;4;5;000:07:06:00;000:08:10:00;0;0;1;0;0
2;1;4;5;000:07:46:00;000:08:50:00;0;0;1;0;0
3;1;4;5;000:08:26:00;000:09:30:00;0;0;1;0;0
4;1;4;5;000:09:06:00;000:10:02:00;0;0;1;0;0
5;1;4;5;000:10:06:00;000:11:02:00;0;0;1;0;0
6;1;4;5;000:11:06:00;000:12:02:00;0;0;1;0;0
7;1;4;5;000:12:06:00;000:13:02:00;0;0;1;0;0
8;1;4;5;000:13:06:00;000:14:06:00;0;0;1;0;0
9;1;4;5;000:13:46:00;000:14:46:00;0;0;1;0;0
10;1;4;5;000:14:26:00;000:15:26:00;0;0;1;0;0
11;1;4;5;000:15:06:00;000:16:06:00;0;0;1;0;0
12;1;4;5;000:15:46:00;000:16:46:00;0;0;1;0;0
13;1;4;5;000:16:26:00;000:17:26:00;0;0;1;0;0
14;1;4;5;000:17:06:00;000:18:06:00;0;0;1;0;0
15;1;4;5;000:17:46:00;000:18:46:00;0;0;1;0;0
16;1;4;5;000:18:26:00;000:19:26:00;0;0;1;0;0
17;1;4;5;000:19:06:00;000:19:57:00;0;0;1;0;0
18;1;4;5;000:21:06:00;000:21:57:00;0;0;1;0;0
19;1;4;5;000:23:06:00;000:23:57:00;0;0;1;0;0
20;1;5;4;000:06:10:00;000:07:14:00;0;0;1;0;0
21;1;5;4;000:06:50:00;000:07:54:00;0;0;1;0;0
22;1;5;4;000:07:30:00;000:08:34:00;0;0;1;0;0
23;1;5;4;000:08:10:00;000:09:14:00;0;0;1;0;0
24;1;5;4;000:08:50:00;000:09:54:00;0;0;1;0;0
25;1;5;4;000:09:30:00;000:10:26:00;0;0;1;0;0
26;1;5;4;000:10:30:00;000:11:26:00;0;0;1;0;0
27;1;5;4;000:11:30:00;000:12:26:00;0;0;1;0;0
28;1;5;4;000:12:30:00;000:13:26:00;0;0;1;0;0
29;1;5;4;000:13:30:00;000:14:30:00;0;0;1;0;0
30;1;5;4;000:14:10:00;000:15:10:00;0;0;1;0;0
31;1;5;4;000:14:50:00;000:15:50:00;0;0;1;0;0
32;1;5;4;000:15:30:00;000:16:30:00;0;0;1;0;0
33;1;5;4;000:16:10:00;000:17:10:00;0;0;1;0;0
34;1;5;4;000:16:50:00;000:17:50:00;0;0;1;0;0
35;1;5;4;000:17:30:00;000:18:30:00;0;0;1;0;0
36;1;5;4;000:18:10:00;000:19:10:00;0;0;1;0;0
37;1;5;4;000:18:50:00;000:19:50:00;0;0;1;0;0
38;1;5;4;000:19:30:00;000:20:21:00;0;0;1;0;0
39;1;5;4;000:21:30:00;000:22:21:00;0;0;1;0;0
40;2;4;6;000:06:22:00;000:07:44:00;0;0;1;0;0
41;2;4;6;000:07:02:00;000:08:24:00;0;0;1;0;0
42;2;4;6;000:07:42:00;000:09:04:00;0;0;1;0;0
43;2;4;6;000:08:22:00;000:09:44:00;0;0;1;0;0
44;2;4;6;000:09:02:00;000:10:14:00;0;0;1;0;0
45;2;4;6;000:10:02:00;000:11:14:00;0;0;1;0;0
46;2;4;6;000:11:02:00;000:12:14:00;0;0;1;0;0
47;2;4;6;000:12:02:00;000:13:14:00;0;0;1;0;0
48;2;4;6;000:13:02:00;000:14:19:00;0;0;1;0;0
49;2;4;6;000:13:42:00;000:14:59:00;0;0;1;0;0
50;2;4;6;000:14:22:00;000:15:39:00;0;0;1;0;0
51;2;4;6;000:15:02:00;000:16:19:00;0;0;1;0;0
52;2;4;6;000:15:42:00;000:16:59:00;0;0;1;0;0
53;2;4;6;000:16:22:00;000:17:39:00;0;0;1;0;0
54;2;4;6;000:17:02:00;000:18:19:00;0;0;1;0;0
55;2;4;6;000:17:42:00;000:18:59:00;0;0;1;0;0
56;2;4;6;000:18:22:00;000:19:39:00;0;0;1;0;0
57;2;4;6;000:19:02:00;000:20:08:00;0;0;1;0;0
58;2;4;6;000:21:02:00;000:22:08:00;0;0;1;0;0
59;2;4;6;000:23:02:00;001:00:08:00;0;0;1;0;0
60;2;6;4;000:06:10:00;000:07:32:00;0;0;1;0;0
61;2;6;4;000:06:50:00;000:08:12:00;0;0;1;0;0
62;2;6;4;000:07:30:00;000:08:52:00;0;0;1;0;0
63;2;6;4;000:08:10:00;000:09:32:00;0;0;1;0;0
64;2;6;4;000:08:50:00;000:10:12:00;0;0;1;0;0
65;2;6;4;000:09:30:00;000:10:42:00;0;0;1;0;0
66;2;6;4;000:10:30:00;000:11:42:00;0;0;1;0;0
67;2;6;4;000:11:30:00;000:12:42:00;0;0;1;0;0
68;2;6;4;000:12:30:00;000:13:42:00;0;0;1;0;0
69;2;6;4;000:13:30:00;000:14:47:00;0;0;1;0;0
70;2;6;4;000:14:10:00;000:15:27:00;0;0;1;0;0
71;2;6;4;000:14:50:00;000:16:07:00;0;0;1;0;0
72;2;6;4;000:15:30:00;000:16:47:00;0;0;1;0;0
73;2;6;4;000:16:10:00;000:17:27:00;0;0;1;0;0
74;2;6;4;000:16:50:00;000:18:07:00;0;0;1;0;0
75;2;6;4;000:17:30:00;000:18:47:00;0;0;1;0;0
76;2;6;4;000:18:10:00;000:19:27:00;0;0;1;0;0
77;2;6;4;000:18:50:00;000:20:07:00;0;0;1;0;0
78;2;6;4;000:19:30:00;000:20:36:00;0;0;1;0;0
79;2;6;4;000:21:30:00;000:22:36:00;0;0;1;0;0
80;3;4;7;000:06:16:00;000:07:17:00;0;0;1;0;0
81;3;4;7;000:06:56:00;000:07:57:00;0;0;1;0;0
82;3;4;7;000:07:36:00;000:08:37:00;0;0;1;0;0
83;3;4;7;000:08:16:00;000:09:17:00;0;0;1;0;0
84;3;4;7;000:08:56:00;000:09:57:00;0;0;1;0;0
85;3;4;7;000:09:36:00;000:10:29:00;0;0;1;0;0
86;3;4;7;000:10:36:00;000:11:29:00;0;0;1;0;0
87;3;4;7;000:11:36:00;000:12:29:00;0;0;1;0;0
88;3;4;7;000:12:36:00;000:13:29:00;0;0;1;0;0
89;3;4;7;000:13:36:00;000:14:33:00;0;0;1;0;0
90;3;4;7;000:14:16:00;000:15:13:00;0;0;1;0;0
91;3;4;7;000:14:56:00;000:15:53:00;0;0;1;0;0
92;3;4;7;000:15:36:00;000:16:33:00;0;0;1;0;0
93;3;4;7;000:16:16:00;000:17:13:00;0;0;1;0;0
