* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:12:00;000:08:22:00;0;0;1;0;0
1;1;4;5;000:06:52:00;000:09:02:00;0;0;1;0;0
2;1;4;5;000:07:32:00;000:09:42:00;0;0;1;0;0
3;1;4;5;000:08:12:00;000:10:22:00;0;0;1;0;0
4;1;4;5;000:08:52:00;000:11:02:00;0;0;1;0;0
5;1;4;5;000:09:32:00;000:11:20:00;0;0;1;0;0
6;1;4;5;000:10:32:00;000:12:20:00;0;0;1;0;0
7;1;4;5;000:11:32:00;000:13:20:00;0;0;1;0;0
8;1;4;5;000:12:32:00;000:14:20:00;0;0;1;0;0
9;1;4;5;000:13:32:00;000:15:25:00;0;0;1;0;0
10;1;4;5;000:14:12:00;000:16:05:00;0;0;1;0;0
11;1;4;5;000:14:52:00;000:16:45:00;0;0;1;0;0
12;1;4;5;000:15:32:00;000:17:25:00;0;0;1;0;0
13;1;4;5;000:16:12:00;000:18:05:00;0;0;1;0;0
14;1;4;5;000:16:52:00;000:18:45:00;0;0;1;0;0
15;1;4;5;000:17:32:00;000:19:25:00;0;0;1;0;0
16;1;4;5;000:18:12:00;000:20:05:00;0;0;1;0;0
17;1;4;5;000:18:52:00;000:20:45:00;0;0;1;0;0
18;1;4;5;000:19:32:00;000:21:12:00;0;0;1;0;0
19;1;4;5;000:21:32:00;000:23:12:00;0;0;1;0;0
20;1;5;4;000:06:15:00;000:08:25:00;0;0;1;0;0
21;1;5;4;000:06:55:00;000:09:05:00;0;0;1;0;0
22;1;5;4;000:07:35:00;000:09:45:00;0;0;1;0;0
23;1;5;4;000:08:15:00;000:10:25:00;0;0;1;0;0
24;1;5;4;000:08:55:00;000:11:05:00;0;0;1;0;0
25;1;5;4;000:09:35:00;000:11:23:00;0;0;1;0;0
26;1;5;4;000:10:35:00;000:12:23:00;0;0;1;0;0
27;1;5;4;000:11:35:00;000:13:23:00;0;0;1;0;0
28;1;5;4;000:12:35:00;000:14:23:00;0;0;1;0;0
29;1;5;4;000:13:35:00;000:15:28:00;0;0;1;0;0
30;1;5;4;000:14:15:00;000:16:08:00;0;0;1;0;0
31;1;5;4;000:14:55:00;000:16:48:00;0;0;1;0;0
32;1;5;4;000:15:35:00;000:17:28:00;0;0;1;0;0
33;1;5;4;000:16:15:00;000:18:08:00;0;0;1;0;0
34;1;5;4;000:16:55:00;000:18:48:00;0;0;1;0;0
35;1;5;4;000:17:35:00;000:19:28:00;0;0;1;0;0
36;1;5;4;000:18:15:00;000:20:08:00;0;0;1;0;0
37;1;5;4;000:18:55:00;000:20:48:00;0;0;1;0;0
38;1;5;4;000:19:35:00;000:21:15:00;0;0;1;0;0
39;1;5;4;000:21:35:00;000:23:15:00;0;0;1;0;0
40;2;4;6;000:06:23:00;000:07:33:00;0;0;1;0;0
41;2;4;6;000:07:03:00;000:08:13:00;0;0;1;0;0
42;2;4;6;000:07:43:00;000:08:53:00;0;0;1;0;0
43;2;4;6;000:08:23:00;000:09:33:00;0;0;1;0;0
44;2;4;6;000:09:03:00;000:10:01:00;0;0;1;0;0
45;2;4;6;000:10:03:00;000:11:01:00;0;0;1;0;0
46;2;4;6;000:11:03:00;000:12:01:00;0;0;1;0;0
47;2;4;6;000:12:03:00;000:13:01:00;0;0;1;0;0
48;2;4;6;000:13:03:00;000:14:04:00;0;0;1;0;0
49;2;4;6;000:13:43:00;000:14:44:00;0;0;1;0;0
50;2;4;6;000:14:23:00;000:15:24:00;0;0;1;0;0
51;2;4;6;000:15:03:00;000:16:04:00;0;0;1;0;0
52;2;4;6;000:15:43:00;000:16:44:00;0;0;1;0;0
53;2;4;6;000:16:23:00;000:17:24:00;0;0;1;0;0
54;2;4;6;000:17:03:00;000:18:04:00;0;0;1;0;0
55;2;4;6;000:17:43:00;000:18:44:00;0;0;1;0;0
56;2;4;6;000:18:23:00;000:19:24:00;0;0;1;0;0
57;2;4;6;000:19:03:00;000:19:57:00;0;0;1;0;0
58;2;4;6;000:21:03:00;000:21:57:00;0;0;1;0;0
59;2;4;6;000:23:03:00;000:23:57:00;0;0;1;0;0
60;2;6;4;000:06:06:00;000:07:16:00;0;0;1;0;0
61;2;6;4;000:06:46:00;000:07:56:00;0;0;1;0;0
62;2;6;4;000:07:26:00;000:08:36:00;0;0;1;0;0
63;2;6;4;000:08:06:00;000:09:16:00;0;0;1;0;0
64;2;6;4;000:08:46:00;000:09:56:00;0;0;1;0;0
65;2;6;4;000:09:26:00;000:10:24:00;0;0;1;0;0
66;2;6;4;000:10:26:00;000:11:24:00;0;0;1;0;0
67;2;6;4;000:11:26:00;000:12:24:00;0;0;1;0;0
68;2;6;4;000:12:26:00;000:13:24:00;0;0;1;0;0
69;2;6;4;000:13:26:00;000:14:27:00;0;0;1;0;0
70;2;6;4;000:14:06:00;000:15:07:00;0;0;1;0;0
71;2;6;4;000:14:46:00;000:15:47:00;0;0;1;0;0
72;2;6;4;000:15:26:00;000:16:27:00;0;0;1;0;0
73;2;6;4;000:16:06:00;000:17:07:00;0;0;1;0;0
74;2;6;4;000:16:46:00;000:17:47:00;0;0;1;0;0
75;2;6;4;000:17:26:00;000:18:27:00;0;0;1;0;0
76;2;6;4;000:18:06:00;000:19:07:00;0;0;1;0;0
77;2;6;4;000:18:46:00;000:19:47:00;0;0;1;0;0
78;2;6;4;000:19:26:00;000:20:20:00;0;0;1;0;0
79;2;6;4;000:21:26:00;000:22:20:00;0;0;1;0;0
80;3;4;7;000:06:04:00;000:06:59:00;0;0;1;0;0
81;3;4;7;000:06:44:00;000:07:39:00;0;0;1;0;0
82;3;4;7;000:07:24:00;000:08:19:00;0;0;1;0;0
83;3;4;7;000:08:04:00;000:08:59:00;0;0;1;0;0
84;3;4;7;000:08:44:00;000:09:39:00;0;0;1;0;0
85;3;4;7;000:09:24:00;000:10:10:00;0;0;1;0;0
86;3;4;7;000:10:24:00;000:11:10:00;0;0;1;0;0
87;3;4;7;000:11:24:00;000:12:10:00;0;0;1;0;0
88;3;4;7;000:12:24:00;000:13:10:00;0;0;1;0;0
89;3;4;7;000:13:24:00;000:14:12:00;0;0;1;0;0
90;3;4;7;000:14:04:00;000:14:52:00;0;0;1;0;0
91;3;4;7;000:14:44:00;000:15:32:00;0;0;1;0;0
92;3;4;7;000:15:24:00;000:16:12:00;0;0;1;0;0
93;3;4;7;000:16:04:00;000:16:52:00;0;0;1;0;0
94;3;4;7;000:16:44:00;000:17:32:00;0;0;1;0;0
95;3;4;7;000:17:24:00;000:18:12:00;0;0;1;0;0
96;3;4;7;000:18:04:00;000:18:52:00;0;0;1;0;0
97;3;4;7;000:18:44:00;000:19:32:00;0;0;1;0;0
98;3;4;7;000:19:24:00;000:20:06:00;0;0;1;0;0
99;3;4;7;000:21:24:00;000:22:06:00;0;0;1;0;0
100;3;7;4;000:06:20:00;000:07:15:00;0;0;1;0;0
101;3;7;4;000:07:00:00;000:07:55:00;0;0;1;0;0
102;3;7;4;000:07:40:00;000:08:35:00;0;0;1;0;0
103;3;7;4;000:08:20:00;000:09:15:00;0;0;1;0;0
104;3;7;4;000:09:00:00;000:09:46:00;0;0;1;0;0
105;3;7;4;000:10:00:00;000:10:46:00;0;0;1;0;0
106;3;7;4;000:11:00:00;000:11:46:00;0;0;1;0;0
107;3;7;4;000:12:00:00;000:12:46:00;0;0;1;0;0
108;3;7;4;000:13:00:00;000:13:48:00;0;0;1;0;0
109;3;7;4;000:13:40:00;000:14:28:00;0;0;1;0;0
110;3;7;4;000:14:20:00;000:15:08:00;0;0;1;0;0
111;3;7;4;000:15:00:00;000:15:48:00;0;0;1;0;0
112;3;7;4;000:15:40:00;000:16:28:00;0;0;1;0;0
113;3;7;4;000:16:20:00;000:17:08:00;0;0;1;0;0
114;3;7;4;000:17:00:00;000:17:48:00;0;0;1;0;0
