* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;1;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;2;3;000:06:06:00;000:07:25:00;0;0;1;0;0
1;1;2;3;000:06:26:00;000:07:45:00;0;0;1;0;0
2;1;2;3;000:06:46:00;000:08:05:00;0;0;1;0;0
3;1;2;3;000:07:06:00;000:08:25:00;0;0;1;0;0
4;1;2;3;000:07:26:00;000:08:45:00;0;0;1;0;0
5;1;2;3;000:07:46:00;000:09:05:00;0;0;1;0;0
6;1;2;3;000:08:06:00;000:09:25:00;0;0;1;0;0
7;1;2;3;000:08:26:00;000:09:45:00;0;0;1;0;0
8;1;2;3;000:08:46:00;000:10:05:00;0;0;1;0;0
9;1;2;3;000:09:06:00;000:10:12:00;0;0;1;0;0
10;1;2;3;000:09:36:00;000:10:42:00;0;0;1;0;0
11;1;2;3;000:10:06:00;000:11:12:00;0;0;1;0;0
12;1;2;3;000:10:36:00;000:11:42:00;0;0;1;0;0
13;1;2;3;000:11:06:00;000:12:12:00;0;0;1;0;0
14;1;2;3;000:11:36:00;000:12:42:00;0;0;1;0;0
15;1;2;3;000:12:06:00;000:13:12:00;0;0;1;0;0
16;1;2;3;000:12:36:00;000:13:42:00;0;0;1;0;0
17;1;2;3;000:13:06:00;000:14:14:00;0;0;1;0;0
18;1;2;3;000:13:26:00;000:14:34:00;0;0;1;0;0
19;1;2;3;000:13:46:00;000:14:54:00;0;0;1;0;0
20;1;2;3;000:14:06:00;000:15:14:00;0;0;1;0;0
21;1;2;3;000:14:26:00;000:15:34:00;0;0;1;0;0
22;1;2;3;000:14:46:00;000:15:54:00;0;0;1;0;0
23;1;2;3;000:15:06:00;000:16:14:00;0;0;1;0;0
24;1;2;3;000:15:26:00;000:16:34:00;0;0;1;0;0
25;1;2;3;000:15:46:00;000:16:54:00;0;0;1;0;0
26;1;2;3;000:16:06:00;000:17:14:00;0;0;1;0;0
27;1;2;3;000:16:26:00;000:17:34:00;0;0;1;0;0
28;1;2;3;000:16:46:00;000:17:54:00;0;0;1;0;0
29;1;2;3;000:17:06:00;000:18:14:00;0;0;1;0;0
30;1;2;3;000:17:26:00;000:18:34:00;0;0;1;0;0
31;1;2;3;000:17:46:00;000:18:54:00;0;0;1;0;0
32;1;2;3;000:18:06:00;000:19:14:00;0;0;1;0;0
33;1;2;3;000:18:26:00;000:19:34:00;0;0;1;0;0
34;1;2;3;000:18:46:00;000:19:54:00;0;0;1;0;0
35;1;2;3;000:19:06:00;000:20:07:00;0;0;1;0;0
36;1;2;3;000:20:06:00;000:21:07:00;0;0;1;0;0
37;1;2;3;000:21:06:00;000:22:07:00;0;0;1;0;0
38;1;2;3;000:22:06:00;000:23:07:00;0;0;1;0;0
39;1;2;3;000:23:06:00;001:00:07:00;0;0;1;0;0
40;1;3;2;000:06:10:00;000:07:29:00;0;0;1;0;0
41;1;3;2;000:06:30:00;000:07:49:00;0;0;1;0;0
42;1;3;2;000:06:50:00;000:08:09:00;0;0;1;0;0
43;1;3;2;000:07:10:00;000:08:29:00;0;0;1;0;0
44;1;3;2;000:07:30:00;000:08:49:00;0;0;1;0;0
45;1;3;2;000:07:50:00;000:09:09:00;0;0;1;0;0
