* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:11:00;000:08:22:00;0;0;1;0;0
1;1;4;5;000:06:31:00;000:08:42:00;0;0;1;0;0
2;1;4;5;000:06:51:00;000:09:02:00;0;0;1;0;0
3;1;4;5;000:07:11:00;000:09:22:00;0;0;1;0;0
4;1;4;5;000:07:31:00;000:09:42:00;0;0;1;0;0
5;1;4;5;000:07:51:00;000:10:02:00;0;0;1;0;0
6;1;4;5;000:08:11:00;000:10:22:00;0;0;1;0;0
7;1;4;5;000:08:31:00;000:10:42:00;0;0;1;0;0
8;1;4;5;000:08:51:00;000:11:02:00;0;0;1;0;0
9;1;4;5;000:09:11:00;000:11:06:00;0;0;1;0;0
10;1;4;5;000:09:41:00;000:11:36:00;0;0;1;0;0
11;1;4;5;000:10:11:00;000:12:06:00;0;0;1;0;0
12;1;4;5;000:10:41:00;000:12:36:00;0;0;1;0;0
13;1;4;5;000:11:11:00;000:13:06:00;0;0;1;0;0
14;1;4;5;000:11:41:00;000:13:36:00;0;0;1;0;0
15;1;4;5;000:12:11:00;000:14:06:00;0;0;1;0;0
16;1;4;5;000:12:41:00;000:14:36:00;0;0;1;0;0
17;1;4;5;000:13:11:00;000:15:13:00;0;0;1;0;0
18;1;4;5;000:13:31:00;000:15:33:00;0;0;1;0;0
19;1;4;5;000:13:51:00;000:15:53:00;0;0;1;0;0
20;1;4;5;000:14:11:00;000:16:13:00;0;0;1;0;0
21;1;4;5;000:14:31:00;000:16:33:00;0;0;1;0;0
22;1;4;5;000:14:51:00;000:16:53:00;0;0;1;0;0
23;1;4;5;000:15:11:00;000:17:13:00;0;0;1;0;0
24;1;4;5;000:15:31:00;000:17:33:00;0;0;1;0;0
25;1;4;5;000:15:51:00;000:17:53:00;0;0;1;0;0
26;1;4;5;000:16:11:00;000:18:13:00;0;0;1;0;0
27;1;4;5;000:16:31:00;000:18:33:00;0;0;1;0;0
28;1;4;5;000:16:51:00;000:18:53:00;0;0;1;0;0
29;1;4;5;000:17:11:00;000:19:13:00;0;0;1;0;0
30;1;4;5;000:17:31:00;000:19:33:00;0;0;1;0;0
31;1;4;5;000:17:51:00;000:19:53:00;0;0;1;0;0
32;1;4;5;000:18:11:00;000:20:13:00;0;0;1;0;0
33;1;4;5;000:18:31:00;000:20:33:00;0;0;1;0;0
34;1;4;5;000:18:51:00;000:20:53:00;0;0;1;0;0
35;1;4;5;000:19:11:00;000:20:56:00;0;0;1;0;0
36;1;4;5;000:20:11:00;000:21:56:00;0;0;1;0;0
37;1;4;5;000:21:11:00;000:22:56:00;0;0;1;0;0
38;1;4;5;000:22:11:00;000:23:56:00;0;0;1;0;0
39;1;4;5;000:23:11:00;001:00:56:00;0;0;1;0;0
40;1;5;4;000:06:03:00;000:08:14:00;0;0;1;0;0
41;1;5;4;000:06:23:00;000:08:34:00;0;0;1;0;0
42;1;5;4;000:06:43:00;000:08:54:00;0;0;1;0;0
43;1;5;4;000:07:03:00;000:09:14:00;0;0;1;0;0
44;1;5;4;000:07:23:00;000:09:34:00;0;0;1;0;0
45;1;5;4;000:07:43:00;000:09:54:00;0;0;1;0;0
46;1;5;4;000:08:03:00;000:10:14:00;0;0;1;0;0
47;1;5;4;000:08:23:00;000:10:34:00;0;0;1;0;0
48;1;5;4;000:08:43:00;000:10:54:00;0;0;1;0;0
49;1;5;4;000:09:03:00;000:10:58:00;0;0;1;0;0
50;1;5;4;000:09:33:00;000:11:28:00;0;0;1;0;0
51;1;5;4;000:10:03:00;000:11:58:00;0;0;1;0;0
52;1;5;4;000:10:33:00;000:12:28:00;0;0;1;0;0
53;1;5;4;000:11:03:00;000:12:58:00;0;0;1;0;0
54;1;5;4;000:11:33:00;000:13:28:00;0;0;1;0;0
55;1;5;4;000:12:03:00;000:13:58:00;0;0;1;0;0
56;1;5;4;000:12:33:00;000:14:28:00;0;0;1;0;0
57;1;5;4;000:13:03:00;000:15:05:00;0;0;1;0;0
58;1;5;4;000:13:23:00;000:15:25:00;0;0;1;0;0
59;1;5;4;000:13:43:00;000:15:45:00;0;0;1;0;0
60;1;5;4;000:14:03:00;000:16:05:00;0;0;1;0;0
61;1;5;4;000:14:23:00;000:16:25:00;0;0;1;0;0
62;1;5;4;000:14:43:00;000:16:45:00;0;0;1;0;0
63;1;5;4;000:15:03:00;000:17:05:00;0;0;1;0;0
64;1;5;4;000:15:23:00;000:17:25:00;0;0;1;0;0
65;1;5;4;000:15:43:00;000:17:45:00;0;0;1;0;0
66;1;5;4;000:16:03:00;000:18:05:00;0;0;1;0;0
67;1;5;4;000:16:23:00;000:18:25:00;0;0;1;0;0
68;1;5;4;000:16:43:00;000:18:45:00;0;0;1;0;0
69;1;5;4;000:17:03:00;000:19:05:00;0;0;1;0;0
70;1;5;4;000:17:23:00;000:19:25:00;0;0;1;0;0
71;1;5;4;000:17:43:00;000:19:45:00;0;0;1;0;0
72;1;5;4;000:18:03:00;000:20:05:00;0;0;1;0;0
73;1;5;4;000:18:23:00;000:20:25:00;0;0;1;0;0
74;1;5;4;000:18:43:00;000:20:45:00;0;0;1;0;0
