* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
9;9;9
10;10;10
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:16:00;000:06:46:00;0;0;1;0;0
1;1;4;5;000:06:36:00;000:07:06:00;0;0;1;0;0
2;1;4;5;000:06:56:00;000:07:26:00;0;0;1;0;0
3;1;4;5;000:07:16:00;000:07:46:00;0;0;1;0;0
4;1;4;5;000:07:36:00;000:08:06:00;0;0;1;0;0
5;1;4;5;000:07:56:00;000:08:26:00;0;0;1;0;0
6;1;4;5;000:08:16:00;000:08:46:00;0;0;1;0;0
7;1;4;5;000:08:36:00;000:09:06:00;0;0;1;0;0
8;1;4;5;000:08:56:00;000:09:26:00;0;0;1;0;0
9;1;4;5;000:09:16:00;000:09:42:00;0;0;1;0;0
10;1;4;5;000:09:46:00;000:10:12:00;0;0;1;0;0
11;1;4;5;000:10:16:00;000:10:42:00;0;0;1;0;0
12;1;4;5;000:10:46:00;000:11:12:00;0;0;1;0;0
13;1;4;5;000:11:16:00;000:11:42:00;0;0;1;0;0
14;1;4;5;000:11:46:00;000:12:12:00;0;0;1;0;0
15;1;4;5;000:12:16:00;000:12:42:00;0;0;1;0;0
16;1;4;5;000:12:46:00;000:13:12:00;0;0;1;0;0
17;1;4;5;000:13:16:00;000:13:44:00;0;0;1;0;0
18;1;4;5;000:13:36:00;000:14:04:00;0;0;1;0;0
19;1;4;5;000:13:56:00;000:14:24:00;0;0;1;0;0
20;1;4;5;000:14:16:00;000:14:44:00;0;0;1;0;0
21;1;4;5;000:14:36:00;000:15:04:00;0;0;1;0;0
22;1;4;5;000:14:56:00;000:15:24:00;0;0;1;0;0
