* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:12:00;000:07:40:00;0;0;1;0;0
1;1;4;5;000:06:32:00;000:08:00:00;0;0;1;0;0
2;1;4;5;000:06:52:00;000:08:20:00;0;0;1;0;0
3;1;4;5;000:07:12:00;000:08:40:00;0;0;1;0;0
4;1;4;5;000:07:32:00;000:09:00:00;0;0;1;0;0
5;1;4;5;000:07:52:00;000:09:20:00;0;0;1;0;0
6;1;4;5;000:08:12:00;000:09:40:00;0;0;1;0;0
7;1;4;5;000:08:32:00;000:10:00:00;0;0;1;0;0
8;1;4;5;000:08:52:00;000:10:20:00;0;0;1;0;0
9;1;4;5;000:09:12:00;000:10:29:00;0;0;1;0;0
10;1;4;5;000:09:42:00;000:10:59:00;0;0;1;0;0
11;1;4;5;000:10:12:00;000:11:29:00;0;0;1;0;0
12;1;4;5;000:10:42:00;000:11:59:00;0;0;1;0;0
13;1;4;5;000:11:12:00;000:12:29:00;0;0;1;0;0
14;1;4;5;000:11:42:00;000:12:59:00;0;0;1;0;0
15;1;4;5;000:12:12:00;000:13:29:00;0;0;1;0;0
16;1;4;5;000:12:42:00;000:13:59:00;0;0;1;0;0
17;1;4;5;000:13:12:00;000:14:34:00;0;0;1;0;0
18;1;4;5;000:13:32:00;000:14:54:00;0;0;1;0;0
19;1;4;5;000:13:52:00;000:15:14:00;0;0;1;0;0
20;1;4;5;000:14:12:00;000:15:34:00;0;0;1;0;0
21;1;4;5;000:14:32:00;000:15:54:00;0;0;1;0;0
22;1;4;5;000:14:52:00;000:16:14:00;0;0;1;0;0
23;1;4;5;000:15:12:00;000:16:34:00;0;0;1;0;0
24;1;4;5;000:15:32:00;000:16:54:00;0;0;1;0;0
25;1;4;5;000:15:52:00;000:17:14:00;0;0;1;0;0
26;1;4;5;000:16:12:00;000:17:34:00;0;0;1;0;0
27;1;4;5;000:16:32:00;000:17:54:00;0;0;1;0;0
28;1;4;5;000:16:52:00;000:18:14:00;0;0;1;0;0
29;1;4;5;000:17:12:00;000:18:34:00;0;0;1;0;0
30;1;4;5;000:17:32:00;000:18:54:00;0;0;1;0;0
31;1;4;5;000:17:52:00;000:19:14:00;0;0;1;0;0
32;1;4;5;000:18:12:00;000:19:34:00;0;0;1;0;0
33;1;4;5;000:18:32:00;000:19:54:00;0;0;1;0;0
34;1;4;5;000:18:52:00;000:20:14:00;0;0;1;0;0
35;1;4;5;000:19:12:00;000:20:22:00;0;0;1;0;0
36;1;4;5;000:20:12:00;000:21:22:00;0;0;1;0;0
37;1;4;5;000:21:12:00;000:22:22:00;0;0;1;0;0
38;1;4;5;000:22:12:00;000:23:22:00;0;0;1;0;0
39;1;4;5;000:23:12:00;001:00:22:00;0;0;1;0;0
40;1;5;4;000:06:14:00;000:07:42:00;0;0;1;0;0
41;1;5;4;000:06:34:00;000:08:02:00;0;0;1;0;0
42;1;5;4;000:06:54:00;000:08:22:00;0;0;1;0;0
43;1;5;4;000:07:14:00;000:08:42:00;0;0;1;0;0
44;1;5;4;000:07:34:00;000:09:02:00;0;0;1;0;0
45;1;5;4;000:07:54:00;000:09:22:00;0;0;1;0;0
46;1;5;4;000:08:14:00;000:09:42:00;0;0;1;0;0
47;1;5;4;000:08:34:00;000:10:02:00;0;0;1;0;0
48;1;5;4;000:08:54:00;000:10:22:00;0;0;1;0;0
49;1;5;4;000:09:14:00;000:10:31:00;0;0;1;0;0
50;1;5;4;000:09:44:00;000:11:01:00;0;0;1;0;0
51;1;5;4;000:10:14:00;000:11:31:00;0;0;1;0;0
52;1;5;4;000:10:44:00;000:12:01:00;0;0;1;0;0
53;1;5;4;000:11:14:00;000:12:31:00;0;0;1;0;0
54;1;5;4;000:11:44:00;000:13:01:00;0;0;1;0;0
55;1;5;4;000:12:14:00;000:13:31:00;0;0;1;0;0
56;1;5;4;000:12:44:00;000:14:01:00;0;0;1;0;0
57;1;5;4;000:13:14:00;000:14:36:00;0;0;1;0;0
58;1;5;4;000:13:34:00;000:14:56:00;0;0;1;0;0
59;1;5;4;000:13:54:00;000:15:16:00;0;0;1;0;0
60;1;5;4;000:14:14:00;000:15:36:00;0;0;1;0;0
61;1;5;4;000:14:34:00;000:15:56:00;0;0;1;0;0
62;1;5;4;000:14:54:00;000:16:16:00;0;0;1;0;0
63;1;5;4;000:15:14:00;000:16:36:00;0;0;1;0;0
64;1;5;4;000:15:34:00;000:16:56:00;0;0;1;0;0
65;1;5;4;000:15:54:00;000:17:16:00;0;0;1;0;0
66;1;5;4;000:16:14:00;000:17:36:00;0;0;1;0;0
67;1;5;4;000:16:34:00;000:17:56:00;0;0;1;0;0
68;1;5;4;000:16:54:00;000:18:16:00;0;0;1;0;0
69;1;5;4;000:17:14:00;000:18:36:00;0;0;1;0;0
70;1;5;4;000:17:34:00;000:18:56:00;0;0;1;0;0
71;1;5;4;000:17:54:00;000:19:16:00;0;0;1;0;0
72;1;5;4;000:18:14:00;000:19:36:00;0;0;1;0;0
73;1;5;4;000:18:34:00;000:19:56:00;0;0;1;0;0
74;1;5;4;000:18:54:00;000:20:16:00;0;0;1;0;0
75;1;5;4;000:19:14:00;000:20:24:00;0;0;1;0;0
76;1;5;4;000:20:14:00;000:21:24:00;0;0;1;0;0
77;1;5;4;000:21:14:00;000:22:24:00;0;0;1;0;0
78;1;5;4;000:22:14:00;000:23:24:00;0;0;1;0;0
79;1;5;4;000:23:14:00;001:00:24:00;0;0;1;0;0
80;2;4;6;000:06:02:00;000:06:53:00;0;0;1;0;0
81;2;4;6;000:06:22:00;000:07:13:00;0;0;1;0;0
82;2;4;6;000:06:42:00;000:07:33:00;0;0;1;0;0
83;2;4;6;000:07:02:00;000:07:53:00;0;0;1;0;0
84;2;4;6;000:07:22:00;000:08:13:00;0;0;1;0;0
85;2;4;6;000:07:42:00;000:08:33:00;0;0;1;0;0
86;2;4;6;000:08:02:00;000:08:53:00;0;0;1;0;0
87;2;4;6;000:08:22:00;000:09:13:00;0;0;1;0;0
88;2;4;6;000:08:42:00;000:09:33:00;0;0;1;0;0
89;2;4;6;000:09:02:00;000:09:47:00;0;0;1;0;0
90;2;4;6;000:09:32:00;000:10:17:00;0;0;1;0;0
91;2;4;6;000:10:02:00;000:10:47:00;0;0;1;0;0
92;2;4;6;000:10:32:00;000:11:17:00;0;0;1;0;0
93;2;4;6;000:11:02:00;000:11:47:00;0;0;1;0;0
94;2;4;6;000:11:32:00;000:12:17:00;0;0;1;0;0
95;2;4;6;000:12:02:00;000:12:47:00;0;0;1;0;0
96;2;4;6;000:12:32:00;000:13:17:00;0;0;1;0;0
97;2;4;6;000:13:02:00;000:13:50:00;0;0;1;0;0
98;2;4;6;000:13:22:00;000:14:10:00;0;0;1;0;0
99;2;4;6;000:13:42:00;000:14:30:00;0;0;1;0;0
100;2;4;6;000:14:02:00;000:14:50:00;0;0;1;0;0
101;2;4;6;000:14:22:00;000:15:10:00;0;0;1;0;0
102;2;4;6;000:14:42:00;000:15:30:00;0;0;1;0;0
103;2;4;6;000:15:02:00;000:15:50:00;0;0;1;0;0
104;2;4;6;000:15:22:00;000:16:10:00;0;0;1;0;0
105;2;4;6;000:15:42:00;000:16:30:00;0;0;1;0;0
106;2;4;6;000:16:02:00;000:16:50:00;0;0;1;0;0
107;2;4;6;000:16:22:00;000:17:10:00;0;0;1;0;0
108;2;4;6;000:16:42:00;000:17:30:00;0;0;1;0;0
109;2;4;6;000:17:02:00;000:17:50:00;0;0;1;0;0
110;2;4;6;000:17:22:00;000:18:10:00;0;0;1;0;0
111;2;4;6;000:17:42:00;000:18:30:00;0;0;1;0;0
112;2;4;6;000:18:02:00;000:18:50:00;0;0;1;0;0
113;2;4;6;000:18:22:00;000:19:10:00;0;0;1;0;0
114;2;4;6;000:18:42:00;000:19:30:00;0;0;1;0;0
115;2;4;6;000:19:02:00;000:19:43:00;0;0;1;0;0
116;2;4;6;000:20:02:00;000:20:43:00;0;0;1;0;0
117;2;4;6;000:21:02:00;000:21:43:00;0;0;1;0;0
118;2;4;6;000:22:02:00;000:22:43:00;0;0;1;0;0
119;2;4;6;000:23:02:00;000:23:43:00;0;0;1;0;0
120;2;6;4;000:06:07:00;000:06:58:00;0;0;1;0;0
121;2;6;4;000:06:27:00;000:07:18:00;0;0;1;0;0
122;2;6;4;000:06:47:00;000:07:38:00;0;0;1;0;0
123;2;6;4;000:07:07:00;000:07:58:00;0;0;1;0;0
124;2;6;4;000:07:27:00;000:08:18:00;0;0;1;0;0
125;2;6;4;000:07:47:00;000:08:38:00;0;0;1;0;0
126;2;6;4;000:08:07:00;000:08:58:00;0;0;1;0;0
127;2;6;4;000:08:27:00;000:09:18:00;0;0;1;0;0
128;2;6;4;000:08:47:00;000:09:38:00;0;0;1;0;0
129;2;6;4;000:09:07:00;000:09:52:00;0;0;1;0;0
130;2;6;4;000:09:37:00;000:10:22:00;0;0;1;0;0
131;2;6;4;000:10:07:00;000:10:52:00;0;0;1;0;0
132;2;6;4;000:10:37:00;000:11:22:00;0;0;1;0;0
133;2;6;4;000:11:07:00;000:11:52:00;0;0;1;0;0
134;2;6;4;000:11:37:00;000:12:22:00;0;0;1;0;0
135;2;6;4;000:12:07:00;000:12:52:00;0;0;1;0;0
136;2;6;4;000:12:37:00;000:13:22:00;0;0;1;0;0
137;2;6;4;000:13:07:00;000:13:55:00;0;0;1;0;0
138;2;6;4;000:13:27:00;000:14:15:00;0;0;1;0;0
139;2;6;4;000:13:47:00;000:14:35:00;0;0;1;0;0
140;2;6;4;000:14:07:00;000:14:55:00;0;0;1;0;0
141;2;6;4;000:14:27:00;000:15:15:00;0;0;1;0;0
142;2;6;4;000:14:47:00;000:15:35:00;0;0;1;0;0
143;2;6;4;000:15:07:00;000:15:55:00;0;0;1;0;0
144;2;6;4;000:15:27:00;000:16:15:00;0;0;1;0;0
145;2;6;4;000:15:47:00;000:16:35:00;0;0;1;0;0
146;2;6;4;000:16:07:00;000:16:55:00;0;0;1;0;0
147;2;6;4;000:16:27:00;000:17:15:00;0;0;1;0;0
148;2;6;4;000:16:47:00;000:17:35:00;0;0;1;0;0
149;2;6;4;000:17:07:00;000:17:55:00;0;0;1;0;0
150;2;6;4;000:17:27:00;000:18:15:00;0;0;1;0;0
151;2;6;4;000:17:47:00;000:18:35:00;0;0;1;0;0
152;2;6;4;000:18:07:00;000:18:55:00;0;0;1;0;0
153;2;6;4;000:18:27:00;000:19:15:00;0;0;1;0;0
154;2;6;4;000:18:47:00;000:19:35:00;0;0;1;0;0
155;2;6;4;000:19:07:00;000:19:48:00;0;0;1;0;0
156;2;6;4;000:20:07:00;000:20:48:00;0;0;1;0;0
