* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:06:00;000:07:10:00;0;0;1;0;0
1;1;4;5;000:06:26:00;000:07:30:00;0;0;1;0;0
2;1;4;5;000:06:46:00;000:07:50:00;0;0;1;0;0
3;1;4;5;000:07:06:00;000:08:10:00;0;0;1;0;0
4;1;4;5;000:07:26:00;000:08:30:00;0;0;1;0;0
5;1;4;5;000:07:46:00;000:08:50:00;0;0;1;0;0
6;1;4;5;000:08:06:00;000:09:10:00;0;0;1;0;0
7;1;4;5;000:08:26:00;000:09:30:00;0;0;1;0;0
8;1;4;5;000:08:46:00;000:09:50:00;0;0;1;0;0
9;1;4;5;000:09:06:00;000:10:02:00;0;0;1;0;0
10;1;4;5;000:09:36:00;000:10:32:00;0;0;1;0;0
11;1;4;5;000:10:06:00;000:11:02:00;0;0;1;0;0
12;1;4;5;000:10:36:00;000:11:32:00;0;0;1;0;0
13;1;4;5;000:11:06:00;000:12:02:00;0;0;1;0;0
14;1;4;5;000:11:36:00;000:12:32:00;0;0;1;0;0
15;1;4;5;000:12:06:00;000:13:02:00;0;0;1;0;0
16;1;4;5;000:12:36:00;000:13:32:00;0;0;1;0;0
17;1;4;5;000:13:06:00;000:14:06:00;0;0;1;0;0
18;1;4;5;000:13:26:00;000:14:26:00;0;0;1;0;0
19;1;4;5;000:13:46:00;000:14:46:00;0;0;1;0;0
20;1;4;5;000:14:06:00;000:15:06:00;0;0;1;0;0
21;1;4;5;000:14:26:00;000:15:26:00;0;0;1;0;0
22;1;4;5;000:14:46:00;000:15:46:00;0;0;1;0;0
23;1;4;5;000:15:06:00;000:16:06:00;0;0;1;0;0
24;1;4;5;000:15:26:00;000:16:26:00;0;0;1;0;0
25;1;4;5;000:15:46:00;000:16:46:00;0;0;1;0;0
26;1;4;5;000:16:06:00;000:17:06:00;0;0;1;0;0
27;1;4;5;000:16:26:00;000:17:26:00;0;0;1;0;0
28;1;4;5;000:16:46:00;000:17:46:00;0;0;1;0;0
29;1;4;5;000:17:06:00;000:18:06:00;0;0;1;0;0
30;1;4;5;000:17:26:00;000:18:26:00;0;0;1;0;0
31;1;4;5;000:17:46:00;000:18:46:00;0;0;1;0;0
32;1;4;5;000:18:06:00;000:19:06:00;0;0;1;0;0
33;1;4;5;000:18:26:00;000:19:26:00;0;0;1;0;0
34;1;4;5;000:18:46:00;000:19:46:00;0;0;1;0;0
35;1;4;5;000:19:06:00;000:19:57:00;0;0;1;0;0
36;1;4;5;000:20:06:00;000:20:57:00;0;0;1;0;0
37;1;4;5;000:21:06:00;000:21:57:00;0;0;1;0;0
38;1;4;5;000:22:06:00;000:22:57:00;0;0;1;0;0
39;1;4;5;000:23:06:00;000:23:57:00;0;0;1;0;0
40;1;5;4;000:06:10:00;000:07:14:00;0;0;1;0;0
41;1;5;4;000:06:30:00;000:07:34:00;0;0;1;0;0
42;1;5;4;000:06:50:00;000:07:54:00;0;0;1;0;0
43;1;5;4;000:07:10:00;000:08:14:00;0;0;1;0;0
44;1;5;4;000:07:30:00;000:08:34:00;0;0;1;0;0
45;1;5;4;000:07:50:00;000:08:54:00;0;0;1;0;0
46;1;5;4;000:08:10:00;000:09:14:00;0;0;1;0;0
47;1;5;4;000:08:30:00;000:09:34:00;0;0;1;0;0
48;1;5;4;000:08:50:00;000:09:54:00;0;0;1;0;0
49;1;5;4;000:09:10:00;000:10:06:00;0;0;1;0;0
50;1;5;4;000:09:40:00;000:10:36:00;0;0;1;0;0
