* Haltestellen
*
$STOPPOINT:ID;Code;Name
0;0;0
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
*
* Linien
*
$LINE:ID;Code;Name
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
*
* Fahrzeugtypen
*
$VEHICLETYPE:ID;Code;Name;VehCost;KmCost;HourCost;Capacity
1;1;1;1000;0;60;1000
*
* FahrzeugtypGruppen
*
$VEHICLETYPEGROUP:ID;Code;Name
1;1;1
*
* FahrzeugtypZuFahrzeugtypGruppe
*
$VEHTYPETOVEHTYPEGROUP:VehTypeID;VehTypeGroupID
1;1
*
* FahrzeugKapazitaetenZuHaltestelle
*
$VEHTYPECAPTOSTOPPOINT:VehTypeID;StoppointID;Min;Max
1;3;0;1000
*
* Linienfahrten
*
$SERVICEJOURNEY:ID;LineID;FromStopID;ToStopID;DepTime;ArrTime;MinAheadTime;MinLayoverTime;VehTypeGroupID;MaxShiftBackwardSeconds;MaxShiftForwardSeconds
0;1;4;5;000:06:19:00;000:07:42:00;0;0;1;0;0
1;1;4;5;000:06:39:00;000:08:02:00;0;0;1;0;0
2;1;4;5;000:06:59:00;000:08:22:00;0;0;1;0;0
3;1;4;5;000:07:19:00;000:08:42:00;0;0;1;0;0
4;1;4;5;000:07:39:00;000:09:02:00;0;0;1;0;0
5;1;4;5;000:07:59:00;000:09:22:00;0;0;1;0;0
6;1;4;5;000:08:19:00;000:09:42:00;0;0;1;0;0
7;1;4;5;000:08:39:00;000:10:02:00;0;0;1;0;0
8;1;4;5;000:08:59:00;000:10:22:00;0;0;1;0;0
9;1;4;5;000:09:19:00;000:10:28:00;0;0;1;0;0
10;1;4;5;000:09:49:00;000:10:58:00;0;0;1;0;0
11;1;4;5;000:10:19:00;000:11:28:00;0;0;1;0;0
12;1;4;5;000:10:49:00;000:11:58:00;0;0;1;0;0
13;1;4;5;000:11:19:00;000:12:28:00;0;0;1;0;0
14;1;4;5;000:11:49:00;000:12:58:00;0;0;1;0;0
15;1;4;5;000:12:19:00;000:13:28:00;0;0;1;0;0
16;1;4;5;000:12:49:00;000:13:58:00;0;0;1;0;0
17;1;4;5;000:13:19:00;000:14:31:00;0;0;1;0;0
18;1;4;5;000:13:39:00;000:14:51:00;0;0;1;0;0
19;1;4;5;000:13:59:00;000:15:11:00;0;0;1;0;0
20;1;4;5;000:14:19:00;000:15:31:00;0;0;1;0;0
21;1;4;5;000:14:39:00;000:15:51:00;0;0;1;0;0
22;1;4;5;000:14:59:00;000:16:11:00;0;0;1;0;0
23;1;4;5;000:15:19:00;000:16:31:00;0;0;1;0;0
